Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																														
Дата голосования: 04.12.2011																																														
																																														
Наименование Избирательной комиссии:    Кормиловская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837					
1	"Число избирателей, внесенных в список избирателей"	19394	539	2217	846	1014	2366	640	910	784	130	88	541	119	134	512	252	456	581	291	37	526	639	72	447	107	275	986	146	900	85	151	57	504	526	184	707	66	130	86	343					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18695	500	2000	850	900	2000	600	900	800	130	100	500	130	130	550	200	500	600	300	50	450	650	80	450	110	280	1000	160	900	85	140	70	500	500	190	750	80	140	70	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11349	291	1197	483	524	1268	320	449	518	52	50	361	93	84	367	125	244	380	186	24	315	401	52	286	67	164	777	104	552	58	93	51	307	304	114	391	42	71	53	131					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1455	17	86	27	82	42	16	17	67	39	19	24	5	8	27	50	59	50	15	8	50	49	13	48	11	23	104	13	69	5	2	6	61	35	22	84	11	26	7	158					
6	Число погашенных избирательных бюллетеней	5891	192	717	340	294	690	264	434	215	39	31	115	32	38	156	25	197	170	99	18	85	200	15	116	32	93	119	43	279	22	45	13	132	161	54	275	27	43	10	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1455	17	86	27	82	42	16	17	67	39	19	24	5	8	27	50	59	50	15	8	50	49	13	48	11	23	104	13	69	5	2	6	61	35	22	84	11	26	7	158					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11336	291	1184	483	524	1268	320	449	518	52	50	361	93	84	367	125	244	380	186	24	315	401	52	286	67	164	777	104	552	58	93	51	307	304	114	391	42	71	53	131					
9	Число недействительных избирательных бюллетеней	262	5	27	5	13	26	5	12	22	1	2	7	3	2	8	0	5	10	4	2	9	9	4	4	3	4	6	3	17	2	3	1	9	7	2	10	0	3	0	7					
10	Число действительных избирательных бюллетеней	12529	303	1243	505	593	1284	331	454	563	90	67	378	95	90	386	175	298	420	197	30	356	441	61	330	75	183	875	114	604	61	92	56	359	332	134	465	53	94	60	282					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	952	5	33	25	15	30	10	15	70	5	25	30	10	10	70	10	20	45	19	5	20	37	15	35	5	13	95	20	74	0	5	11	15	15	10	100	10	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	891	5	33	14	13	25	7	11	70	5	18	30	10	10	70	10	20	45	19	5	13	37	15	29	2	4	95	20	74	0	4	11	15	15	10	100	10	5	2	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	232	5	26	9	10	10	2	6	6	0	6	4	2	6	12	5	6	3	2	2	12	7	6	5	1	4	9	3	12	3	6	1	2	5	11	7	4	4	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	61	0	0	11	2	5	3	4	0	0	7	0	0	0	0	0	0	0	0	0	7	0	0	6	3	9	0	0	0	0	1	0	0	0	0	0	0	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1400	28	153	83	72	225	57	78	49	8	7	42	8	15	42	15	42	28	17	0	25	29	2	38	5	11	67	14	57	7	7	6	26	42	8	43	5	5	9	25					
		10.95%	9.09%	12.05%	16.27%	11.88%	17.18%	16.96%	16.74%	8.38%	8.79%	10.14%	10.91%	8.16%	16.30%	10.66%	8.57%	13.86%	6.51%	8.46%	0.00%	6.85%	6.44%	3.08%	11.38%	6.41%	5.88%	7.60%	11.97%	9.18%	11.11%	7.37%	10.53%	7.07%	12.39%	5.88%	9.05%	9.43%	5.15%	15.00%	8.65%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1721	63	175	62	83	206	48	77	73	13	6	51	27	8	53	30	29	58	29	5	63	65	7	46	15	30	68	18	83	9	15	7	33	32	18	41	4	13	14	44					
		13.45%	20.45%	13.78%	12.16%	13.70%	15.73%	14.29%	16.52%	12.48%	14.29%	8.70%	13.25%	27.55%	8.70%	13.45%	17.14%	9.57%	13.49%	14.43%	15.63%	17.26%	14.44%	10.77%	13.77%	19.23%	16.04%	7.72%	15.38%	13.37%	14.29%	15.79%	12.28%	8.97%	9.44%	13.24%	8.63%	7.55%	13.40%	23.33%	15.22%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	114	1	8	3	2	15	4	4	7	1	0	2	0	2	2	2	1	1	7	0	3	4	0	5	3	1	3	1	3	1	7	1	0	2	1	7	0	3	5	2					
		0.89%	0.32%	0.63%	0.59%	0.33%	1.15%	1.19%	0.86%	1.20%	1.10%	0.00%	0.52%	0.00%	2.17%	0.51%	1.14%	0.33%	0.23%	3.48%	0.00%	0.82%	0.89%	0.00%	1.50%	3.85%	0.53%	0.34%	0.85%	0.48%	1.59%	7.37%	1.75%	0.00%	0.59%	0.74%	1.47%	0.00%	3.09%	8.33%	0.69%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2494	82	393	139	179	296	68	89	104	5	7	65	6	10	89	33	55	51	25	4	48	67	12	68	5	35	93	14	129	10	11	4	36	68	33	76	8	29	10	38					
		19.50%	26.62%	30.94%	27.25%	29.54%	22.60%	20.24%	19.10%	17.78%	5.49%	10.14%	16.88%	6.12%	10.87%	22.59%	18.86%	18.15%	11.86%	12.44%	12.50%	13.15%	14.89%	18.46%	20.36%	6.41%	18.72%	10.56%	11.97%	20.77%	15.87%	11.58%	7.02%	9.78%	20.06%	24.26%	16.00%	15.09%	29.90%	16.67%	13.15%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	169	3	18	7	9	26	7	8	9	0	0	3	2	0	5	3	4	5	3	0	4	5	2	5	0	3	3	2	5	1	1	0	5	5	3	7	0	0	0	6					
