Выборы Президента Российской Федерации																																																												
Дата голосования: 02.03.2008																																																												
																																																												
Наименование Избирательной комиссии:    Выксунская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
	Число участковых избирательных комиссий	53																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	53																																																										
																																																												
		Сумма	УИК №628	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №2490					
1	"Число избирателей, включенных в списки избирателей"	72044	453	2167	1140	2305	2092	1124	1295	1935	1955	1890	2008	448	2360	2373	1670	2151	325	2540	2321	1786	1674	2216	2500	2600	2263	1448	1269	1596	763	1733	1901	2263	1795	1047	1001	815	664	1449	1480	309	855	1154	508	649	334	352	135	151	923	178	257	741	683					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	71300	500	2200	1140	2000	2000	1100	1250	1900	1950	1850	1980	600	2200	2400	1640	2020	320	2500	2200	1760	1680	2300	2570	2640	2350	1380	1250	1600	780	1780	1950	2000	1850	1000	980	810	670	1430	1540	290	860	1140	480	640	340	380	130	150	900	210	260	740	710					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	45043	63	1381	783	1522	1227	666	733	1015	1249	1238	1208	448	1371	1530	1008	1507	199	1574	1401	1084	917	1369	1762	1478	1413	799	858	900	460	1290	1493	1223	944	651	714	626	437	812	890	180	634	801	355	447	236	205	76	85	520	127	223	469	442					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3372	302	16	8	93	62	21	41	67	4	17	95	0	65	43	44	61	19	14	36	40	47	25	25	39	55	114	6	154	126	40	19	217	208	39	89	10	62	111	94	38	66	126	72	60	49	53	25	25	145	21	17	146	1					
6	Число погашенных избирательных бюллетеней	22885	135	803	349	385	711	413	476	818	697	595	677	152	764	827	588	452	102	912	763	636	716	906	783	1123	882	467	386	546	194	450	438	560	698	310	177	174	171	507	556	72	160	213	53	133	55	122	29	40	235	62	20	125	267					
