Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
"Наименование Избирательной комиссии:    Тула, Зареченская "																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596					
1	"Число избирателей, внесенных в списки"	82328	2046	109	2634	2594	2058	2063	2060	2002	2702	2433	2380	3222	2220	2101	2265	2442	2438	2274	2658	2416	2612	2794	2189	2286	2080	2257	2291	2351	2443	2055	2652	2559	2823	2240	2062	1517					
2	"Число бюллетеней, полученных участковыми комиссиями"	82249	2048	120	2649	2625	2067	2083	2074	2015	2749	2413	2320	3057	2217	2078	2180	2452	2427	2246	2681	2419	2638	2837	2168	2321	2069	2276	2285	2375	2474	2066	2695	2564	2840	2259	2018	1444					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39801	991	109	1258	1202	855	857	1112	1070	1349	1048	1159	2050	1007	918	872	1152	1168	1231	1326	1174	1311	1429	1118	1102	1048	1183	1053	1253	1112	1023	1332	1169	1385	1023	798	554					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1556	60	0	27	48	51	29	26	32	59	79	29	23	34	58	62	41	65	38	47	88	69	34	17	51	42	22	18	25	30	32	23	35	24	34	122	82					
6	Число погашенных бюллетеней	40892	997	11	1364	1375	1161	1197	936	913	1341	1286	1132	984	1176	1102	1246	1259	1194	977	1308	1157	1258	1374	1033	1168	979	1071	1214	1097	1332	1011	1340	1360	1431	1202	1098	808					
7	Число бюллетеней в переносных ящиках для голосования	1555	60	0	27	48	51	29	26	32	59	79	29	23	34	58	62	41	65	38	47	88	69	34	17	51	42	22	18	25	30	32	23	35	24	34	122	81					
8	Число бюллетеней в стационарных ящиках для голосования	39731	989	109	1250	1198	854	857	1110	1068	1346	1045	1159	2050	1007	918	872	1152	1168	1231	1324	1172	1311	1427	1117	1101	1045	1183	1051	1250	1109	1013	1331	1166	1374	1023	798	553					
9	Число недействительных бюллетеней	491	16	0	12	28	5	12	14	12	10	12	16	45	15	6	10	30	9	10	18	15	9	12	19	11	13	16	4	17	16	13	6	10	13	12	15	10					
10	Число действительных бюллетеней	40795	1033	109	1265	1218	900	874	1122	1088	1395	1112	1172	2028	1026	970	924	1163	1224	1259	1353	1245	1371	1449	1115	1141	1074	1189	1065	1258	1123	1032	1348	1191	1385	1045	905	624					
