Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Полярнинская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408					
1	"Число избирателей, внесенных в списки"	16132	2725	1128	846	2134	1645	1357	561	1251	650	1307	2242	118	168					
2	"Число бюллетеней, полученных участковыми комиссиями"	14645	2400	1000	800	1896	1450	1200	500	1150	600	1150	1999	115	385					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8545	1465	551	428	1050	1019	792	246	594	346	755	1182	64	53					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	165	9	3	4	4	2	1	1	2	3	11	11	0	114					
6	Число погашенных бюллетеней	5935	926	446	368	842	429	407	253	554	251	384	806	51	218					
7	Число бюллетеней в переносных ящиках для голосования	165	9	3	4	4	2	1	1	2	3	11	11	0	114					
8	Число бюллетеней в стационарных ящиках для голосования	8538	1464	551	427	1049	1019	792	246	593	346	755	1179	64	53					
9	Число недействительных бюллетеней	48	5	3	1	7	7	2	3	7	2	5	6	0	0					
10	Число действительных бюллетеней	8655	1468	551	430	1046	1014	791	244	588	347	761	1184	64	167					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	334	40	10	10	20	30	20	20	20	20	20	104	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	123	29	4	6	8	26	12	3	7	0	15	7	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	129	4	0	13	0	6	2	0	1	0	27	5	1	70					
14	Число погашенных открепительных удостоверений	211	11	6	4	12	4	8	17	13	20	5	97	4	10					
15	Число открепительных удостоверений выданных ТИК	6	2	0	1	1	0	1	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	75	18	3	3	7	12	9	0	1	6	4	9	1	2					
		0.86%	1.22%	0.54%	0.69%	0.66%	1.17%	1.13%	0.0%	0.16%	1.71%	0.52%	0.75%	1.56%	1.19%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	148	23	10	6	19	21	8	7	11	2	17	22	1	1					
		1.70%	1.56%	1.80%	1.39%	1.80%	2.05%	1.00%	2.83%	1.84%	0.57%	2.21%	1.84%	1.56%	0.59%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	350	56	24	10	29	38	52	8	16	18	48	45	1	5					
		4.02%	3.80%	4.33%	2.32%	2.75%	3.72%	6.55%	3.23%	2.68%	5.15%	6.26%	3.78%	1.56%	2.99%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	224	47	13	14	31	24	28	6	18	5	8	30	0	0					
		2.57%	3.19%	2.34%	3.24%	2.94%	2.35%	3.53%	2.42%	3.02%	1.43%	1.04%	2.52%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	26	6	0	1	1	5	3	0	1	5	0	3	1	0					
		0.29%	0.40%	0.0%	0.23%	0.09%	0.48%	0.37%	0.0%	0.16%	1.43%	0.0%	0.25%	1.56%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	3	1	0	1	3	0	1	0	0	2	0	0	0					
		0.12%	0.20%	0.18%	0.0%	0.09%	0.29%	0.0%	0.40%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	19	4	1	13	6	5	0	1	0	7	7	1	0					
		0.73%	1.28%	0.72%	0.23%	1.23%	0.58%	0.63%	0.0%	0.16%	0.0%	0.91%	0.58%	1.56%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	3	1	0	1	0	4	1	0	0	1	1	0	0					
		0.13%	0.20%	0.18%	0.0%	0.09%	0.0%	0.50%	0.40%	0.0%	0.0%	0.13%	0.08%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	4	3	3	3	1	3	1	0	6	3	3	0	0					
		0.34%	0.27%	0.54%	0.69%	0.28%	0.09%	0.37%	0.40%	0.0%	1.71%	0.39%	0.25%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	81	11	5	5	9	11	13	3	3	2	4	14	0	1					
		0.93%	0.74%	0.90%	1.16%	0.85%	1.07%	1.63%	1.21%	0.50%	0.57%	0.52%	1.17%	0.0%	0.59%					
28	"11. ""Истинные патриоты России"""	21	2	2	0	2	5	0	0	4	2	2	0	0	2					
		0.24%	0.13%	0.36%	0.0%	0.18%	0.48%	0.0%	0.0%	0.67%	0.57%	0.26%	0.0%	0.0%	1.19%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	99	13	1	4	15	10	12	2	16	3	12	10	0	1					
