Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    Гиагинская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31					
1	"Число избирателей, внесенных в список избирателей"	25578	2542	1959	2616	2023	1767	1398	1347	1142	206	1083	161	81	1003	1350	818	523	1043	94	1095	160	759	187	759	1326	136					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25967	2596	2007	2620	2030	1799	1422	1358	1152	209	1113	164	79	1015	1356	820	529	1082	94	1108	164	776	192	782	1361	139					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14175	1063	841	1216	908	851	681	607	650	115	413	127	57	809	1196	647	384	901	84	518	103	385	109	465	937	108					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1625	69	94	110	122	84	86	45	65	27	87	2	6	18	10	13	41	38	4	308	21	144	13	143	75	0					
6	Число погашенных избирательных бюллетеней	10167	1464	1072	1294	1000	864	655	706	437	67	613	35	16	188	150	160	104	143	6	282	40	247	70	174	349	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1625	69	94	110	122	84	86	45	65	27	87	2	6	18	10	13	41	38	4	308	21	144	13	143	75	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14174	1063	841	1216	908	851	681	607	650	115	413	127	57	809	1196	647	384	901	84	518	103	385	109	465	936	108					
9	Число недействительных избирательных бюллетеней	198	32	26	25	19	13	9	12	6	0	10	0	0	4	0	11	2	0	0	8	2	0	0	10	7	2					
10	Число действительных избирательных бюллетеней	15601	1100	909	1301	1011	922	758	640	709	142	490	129	63	823	1206	649	423	939	88	818	122	529	122	598	1004	106					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	105	6	13	8	3	3	6	4	3	3	5	3	3	3	3	3	3	4	3	3	3	3	3	6	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	74	6	13	8	1	1	5	4	3	2	5	1	0	1	3	2	1	4	0	3	0	1	1	4	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	6	3	1	2	2	6	3	2	0	0	0	0	1	1	3	0	0	0	4	0	1	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	31	0	0	0	2	2	1	0	0	1	0	2	3	2	0	1	2	0	3	0	3	2	2	2	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1351	129	98	149	137	101	89	96	52	16	55	2	6	11	12	51	18	27	1	61	14	44	24	57	95	6					
		8.55%	11.40%	10.48%	11.24%	13.30%	10.80%	11.60%	14.72%	7.27%	11.27%	11.00%	1.55%	9.52%	1.33%	0.99%	7.73%	4.24%	2.88%	1.14%	7.38%	11.29%	8.32%	19.67%	9.38%	9.40%	5.56%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1734	178	143	169	153	128	123	119	64	15	48	10	8	22	28	46	43	82	4	90	6	57	8	65	106	19					
		10.98%	15.72%	15.29%	12.75%	14.85%	13.69%	16.04%	18.25%	8.95%	10.56%	9.60%	7.75%	12.70%	2.66%	2.32%	6.97%	10.12%	8.73%	4.55%	10.90%	4.84%	10.78%	6.56%	10.69%	10.48%	17.59%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	118	7	11	12	9	12	3	6	8	0	3	0	0	6	4	6	6	3	0	4	0	3	0	8	6	1					
		0.75%	0.62%	1.18%	0.90%	0.87%	1.28%	0.39%	0.92%	1.12%	0.00%	0.60%	0.00%	0.00%	0.73%	0.33%	0.91%	1.41%	0.32%	0.00%	0.48%	0.00%	0.57%	0.00%	1.32%	0.59%	0.93%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2434	235	173	337	220	226	94	152	143	18	83	40	5	44	70	60	42	81	3	120	25	82	11	56	104	10					
		15.41%	20.76%	18.50%	25.41%	21.36%	24.17%	12.26%	23.31%	20.00%	12.68%	16.60%	31.01%	7.94%	5.32%	5.80%	9.09%	9.88%	8.63%	3.41%	14.53%	20.16%	15.50%	9.02%	9.21%	10.29%	9.26%					
