Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    Гиагинская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31					
1	"Число избирателей, внесенных в списки избирателей"	24597	2518	1886	2649	1972	1810	1417	1193	1032	193	925	145	97	971	1310	770	483	1007	82	962	152	724	162	713	1286	138					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25748	2428	1949	2555	1960	1853	1466	1370	1131	212	1114	161	96	1012	1375	823	530	1074	98	1171	160	792	197	740	1339	142					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14691	1232	954	1322	1063	929	729	738	598	115	722	127	52	829	1112	677	301	869	71	593	85	301	118	357	699	98					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1177	49	90	126	59	48	68	32	53	17	88	11	7	34	28	14	42	37	4	147	12	106	13	48	44	0					
6	Число погашенных избирательных бюллетеней	9880	1147	905	1107	838	876	669	600	480	80	304	23	37	149	235	132	187	168	23	431	63	385	66	335	596	44					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1177	49	90	126	59	48	68	32	53	17	88	11	7	34	28	14	42	37	4	147	12	106	13	48	44	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14681	1232	954	1314	1063	927	729	738	598	115	722	127	52	829	1112	677	301	869	71	593	85	301	118	357	699	98					
9	Число недействительных избирательных бюллетеней	207	21	10	10	19	20	9	14	8	2	19	2	2	0	11	14	0	0	0	6	2	7	3	12	15	1					
10	Число действительных избирательных бюллетеней	15651	1260	1034	1430	1103	955	788	756	643	130	791	136	57	863	1129	677	343	906	75	734	95	400	128	393	728	97					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	145	6	9	11	5	5	5	5	5	5	6	5	5	5	5	8	5	5	5	5	5	5	5	5	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	79	6	7	11	2	4	5	5	3	2	6	0	0	1	1	6	0	1	0	0	1	1	0	5	10	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	30	3	2	5	2	0	0	2	2	0	0	0	0	1	4	2	0	0	1	2	0	1	0	0	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	66	0	2	0	3	1	0	0	2	3	0	5	5	4	4	2	5	4	5	5	4	4	5	0	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	1.Политическая партия «Аграрная партия России»	317	18	25	30	25	19	26	19	16	1	8	0	1	6	10	11	2	10	0	26	10	25	4	13	12	0					
		1.99%	1.41%	2.39%	2.08%	2.23%	1.95%	3.26%	2.47%	2.46%	0.76%	0.99%	0.00%	1.69%	0.70%	0.88%	1.59%	0.58%	1.10%	0.00%	3.51%	10.31%	6.14%	3.05%	3.21%	1.62%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	43	8	3	6	4	2	1	4	1	0	0	0	0	3	1	3	1	2	0	1	0	0	2	0	1	0					
		0.27%	0.62%	0.29%	0.42%	0.36%	0.21%	0.13%	0.52%	0.15%	0.00%	0.00%	0.00%	0.00%	0.35%	0.09%	0.43%	0.29%	0.22%	0.00%	0.14%	0.00%	0.00%	1.53%	0.00%	0.13%	0.00%					
20	3.Политическая партия «Демократическая партия России»	18	2	3	1	2	1	0	1	0	0	1	0	1	0	1	0	1	2	1	1	0	0	0	0	0	0					
		0.11%	0.16%	0.29%	0.07%	0.18%	0.10%	0.00%	0.13%	0.00%	0.00%	0.12%	0.00%	1.69%	0.00%	0.09%	0.00%	0.29%	0.22%	1.33%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1653	166	108	221	137	139	58	83	76	20	70	6	10	30	84	34	34	48	2	67	27	86	4	40	99	4					
		10.42%	12.96%	10.34%	15.35%	12.21%	14.26%	7.28%	10.78%	11.67%	15.15%	8.64%	4.35%	16.95%	3.48%	7.37%	4.92%	9.91%	5.30%	2.67%	9.05%	27.84%	21.13%	3.05%	9.88%	13.32%	4.08%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	24	4	1	9	5	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0					
		0.15%	0.31%	0.10%	0.63%	0.45%	0.00%	0.13%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.76%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	21	2	2	2	2	1	0	0	5	1	0	0	0	0	1	1	0	0	0	2	0	0	0	1	1	0					
		0.13%	0.16%	0.19%	0.14%	0.18%	0.10%	0.00%	0.00%	0.77%	0.76%	0.00%	0.00%	0.00%	0.00%	0.09%	0.14%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.25%	0.13%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1013	86	80	104	83	66	88	77	50	6	21	6	9	20	42	20	11	30	5	66	8	35	6	23	56	15					
		6.39%	6.71%	7.66%	7.22%	7.40%	6.77%	11.04%	10.00%	7.68%	4.55%	2.59%	4.35%	15.25%	2.32%	3.68%	2.89%	3.21%	3.31%	6.67%	8.92%	8.25%	8.60%	4.58%	5.68%	7.54%	15.31%					
