Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Жуковская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179					
1	"Число избирателей, внесенных в список"	36015	2307	2451	1959	607	2415	1251	880	184	103	225	228	512	436	276	400	241	1505	306	233	668	583	324	644	808	1132	1134	1180	1114	1161	1057	2534	2265	2153	2739					
2	Число полученных избирательных бюллетеней	36800	2500	2500	2000	500	2500	1000	1000	200	100	200	400	500	500	300	400	300	1600	300	200	700	600	400	600	800	1200	1200	1200	1200	1200	1200	2500	2000	2000	3000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19357	1298	1507	1105	368	1215	732	376	102	72	141	188	253	325	158	263	125	785	175	63	367	318	125	300	318	484	625	629	562	599	581	1337	1267	1183	1411					
5	"Число избирательных бюллетеней, выданных вне помещения"	1180	14	10	8	0	56	75	153	24	4	0	40	28	0	0	48	29	55	18	78	56	80	103	96	68	16	4	11	13	3	9	16	30	16	19					
6	Число погашенных избирательных бюллетеней	16263	1188	983	887	132	1229	193	471	74	24	59	172	219	175	142	89	146	760	107	59	277	202	172	204	414	700	571	560	625	598	610	1147	703	801	1570					
7	Число избирательных бюллетеней в переносных ящиках	1180	14	10	8	0	56	75	153	24	4	0	40	28	0	0	48	29	55	18	78	56	80	103	96	68	16	4	11	13	3	9	16	30	16	19					
8	Число бюллетеней в стационарных ящиках для голосования	19350	1296	1504	1105	367	1215	732	376	101	72	141	188	253	325	158	263	125	785	175	63	367	318	125	300	318	484	625	629	562	599	581	1337	1267	1183	1411					
9	Число недействительных избирательных бюллетеней	206	14	12	15	5	22	5	6	1	0	1	2	3	1	1	2	1	6	2	1	4	5	0	2	7	8	9	5	7	11	7	9	9	14	9					
10	Число действительных избирательных бюллетеней	20324	1296	1502	1098	362	1249	802	523	124	76	140	226	278	324	157	309	153	834	191	140	419	393	228	394	379	492	620	635	568	591	583	1344	1288	1185	1421					
11	Число полученных открепительных  удостоверений	581	46	40	32	9	40	18	14	3	2	3	6	8	7	4	6	3	28	5	1	10	8	5	10	12	19	18	20	18	20	18	40	35	33	40					
12	Число выданных открепительных удостоверений	145	9	4	11	1	6	10	6	0	0	0	2	0	0	0	2	2	10	0	1	5	2	0	1	2	2	6	4	4	8	2	12	9	6	18					
