Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
"Наименование Избирательной комиссии:    Рязань, Железнодорожная"																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910					
1	"Число избирателей, внесенных в список избирателей"	114104	2134	2123	1993	1592	2094	2312	2158	2356	2103	2773	2556	2783	2584	2858	2466	306	2248	2402	2237	2058	2537	2602	2394	2260	2447	2433	2597	2164	2042	2473	2502	2517	2212	2260	2437	2346	2531	1299	2674	2138	2749	2164	2126	2251	2360	2851	2237	2345	1987	1287	499	247					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108180	1900	2100	1800	1500	1900	2100	2100	2300	2100	2800	2500	2500	2600	2800	2300	288	2200	2400	1900	1900	2300	2500	2400	2200	2400	2200	2200	2100	2000	2500	2400	2500	2000	2000	2200	2300	2500	1250	2200	2100	2500	2100	2100	2200	2300	2500	2200	2300	1800	1200	495	247					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	55457	1178	1020	959	598	973	1009	1127	1250	881	1154	1160	1314	1203	1345	1037	192	904	1188	1237	1035	1261	1425	1218	1213	1050	1133	1472	1103	1006	1145	1067	1071	939	967	1136	1161	1157	726	1873	901	1129	1001	1017	1228	1189	1342	1080	1261	1078	629	468	247					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1479	42	41	20	19	30	4	10	11	13	30	18	18	15	33	37	75	15	29	40	21	28	20	38	26	19	27	40	14	32	32	18	45	43	30	32	21	9	7	125	109	53	17	27	16	20	31	22	31	20	6	0	0					
6	Число погашенных избирательных бюллетеней	51244	680	1039	821	883	897	1087	963	1039	1206	1616	1322	1168	1382	1422	1226	21	1281	1183	623	844	1011	1055	1144	961	1331	1040	688	983	962	1323	1315	1384	1018	1003	1032	1118	1334	517	202	1090	1318	1082	1056	956	1091	1127	1098	1008	702	565	27	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1476	42	39	20	19	30	4	10	11	13	30	18	18	15	33	37	75	14	29	40	21	28	20	38	26	19	27	40	14	32	32	18	45	43	30	32	21	9	7	125	109	53	17	27	16	20	31	22	31	20	6	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	55380	1177	1019	959	598	973	1009	1127	1250	881	1153	1160	1309	1203	1345	1035	192	902	1188	1230	1035	1258	1425	1218	1211	1050	1133	1454	1103	1006	1144	1067	1071	939	937	1136	1161	1157	726	1873	900	1128	1001	1017	1227	1189	1342	1080	1261	1078	628	468	247					
9	Число недействительных избирательных бюллетеней	793	17	15	7	9	18	8	15	20	16	8	16	21	14	23	20	1	10	9	28	8	16	18	9	21	24	20	19	13	18	15	17	17	9	11	15	23	21	8	20	20	22	21	14	14	21	25	11	13	18	3	6	8					
10	Число действительных избирательных бюллетеней	56063	1202	1043	972	608	985	1005	1122	1241	878	1175	1162	1306	1204	1355	1052	266	906	1208	1242	1048	1270	1427	1247	1216	1045	1140	1475	1104	1020	1161	1068	1099	973	956	1153	1159	1145	725	1978	989	1159	997	1030	1229	1188	1348	1091	1279	1080	631	462	239					
