Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
"Наименование Избирательной комиссии:    Рязань, Железнодорожная"																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550					
1	"Число избирателей, внесенных в списки избирателей"	117735	2152	2073	2054	1674	2129	2326	2158	2508	2274	2632	2644	2765	2660	2811	2654	2618	1196	2659	2560	2678	2296	2624	2209	2068	2359	2426	2546	2129	2138	2468	2235	2568	2419	2460	2048	2536	2332	2762	2288	2226	2397	2170	2697	2518	2329	2601	2882	2807	2537	435					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	108845	2000	1900	1900	1600	2000	2200	2000	2300	2100	2500	2500	2600	2500	2600	2200	2400	1100	2500	2400	2500	2100	2500	2000	1900	2200	2100	2300	2000	2000	2300	1900	2400	2200	2100	1900	2400	2100	2600	2100	2100	2200	2000	2500	2400	2200	2400	2800	2500	2400	445					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	65443	1262	1132	1056	771	1145	1146	1253	1440	1117	1448	1272	1486	1402	1410	1211	1236	598	1359	1165	1544	1321	1463	1223	1136	1419	1468	1306	1237	1254	1342	1308	1553	1287	1544	1190	1554	1232	1455	1278	1368	1358	1229	1432	1337	1301	1411	2402	1910	1237	435					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2025	44	37	29	13	30	7	10	12	7	27	21	35	19	26	230	55	20	41	48	35	39	16	38	37	23	28	20	23	37	31	23	44	24	257	34	38	26	49	39	10	43	23	38	56	35	12	28	102	106	0					
6	Число погашенных избирательных бюллетеней	41377	694	731	815	816	825	1047	737	848	976	1025	1207	1079	1079	1164	759	1109	482	1100	1187	921	740	1021	739	727	758	604	974	740	709	927	569	803	889	299	676	808	842	1096	783	722	799	748	1030	1007	864	977	370	488	1057	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2025	44	37	29	13	30	7	10	12	7	27	21	35	19	26	230	55	20	41	48	35	39	16	38	37	23	28	20	23	37	31	23	44	24	257	34	38	26	49	39	10	43	23	38	56	35	12	28	102	106	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65399	1262	1132	1056	771	1144	1143	1253	1439	1114	1445	1272	1485	1401	1410	1211	1236	597	1359	1162	1544	1321	1462	1223	1132	1419	1463	1306	1237	1253	1341	1306	1553	1287	1544	1189	1554	1232	1455	1278	1365	1358	1228	1432	1336	1300	1411	2400	1910	1233	435					
9	Число недействительных избирательных бюллетеней	712	16	13	11	6	12	14	10	13	7	10	12	12	10	17	11	17	4	12	9	12	18	10	8	8	16	16	14	17	14	16	12	16	16	27	14	18	6	19	23	17	10	9	14	13	19	15	26	25	18	30					
10	Число действительных избирательных бюллетеней	66712	1290	1156	1074	778	1162	1136	1253	1438	1114	1462	1281	1508	1410	1419	1430	1274	613	1388	1201	1567	1342	1468	1253	1161	1426	1475	1312	1243	1276	1356	1317	1581	1295	1774	1209	1574	1252	1485	1294	1358	1391	1242	1456	1379	1316	1408	2402	1987	1321	405					
