Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Вятскополянская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24467	1006	1076	1122	617	1160	1249	1106	594	1094	342	607	1074	1042	1330	1127	357	282	561	174	501	167	779	206	325	580	992	996	736	527	431	886	303	617	501									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24900	1015	1090	1140	640	1170	1265	1120	605	1120	345	610	1100	1060	1355	1130	370	280	580	165	515	170	790	220	330	590	1010	1010	790	545	405	900	310	635	520									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10482	344	365	423	199	498	473	527	251	462	171	196	415	383	577	391	180	169	274	80	229	70	317	87	153	219	414	484	500	319	222	453	113	277	247									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1475	40	16	23	34	27	48	16	12	23	19	47	11	37	30	62	16	24	54	36	56	21	160	24	17	79	54	101	44	82	50	51	85	39	37									
6	Число погашенных избирательных бюллетеней	12943	631	709	694	407	645	744	577	342	635	155	367	674	640	748	677	174	87	252	49	230	79	313	109	160	292	542	425	246	144	133	396	112	319	236									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1475	40	16	23	34	27	48	16	12	23	19	47	11	37	30	62	16	24	54	36	56	21	160	24	17	79	54	101	44	82	50	51	85	39	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10480	344	365	423	199	498	473	527	251	460	171	196	415	383	577	391	180	169	274	80	229	70	317	87	153	219	414	484	500	319	222	453	113	277	247									
9	Число недействительных избирательных бюллетеней	439	19	8	16	7	9	17	22	6	16	0	7	13	13	23	7	16	8	2	3	8	5	7	4	16	6	17	67	10	21	12	25	4	11	14									
10	Число действительных избирательных бюллетеней	11516	365	373	430	226	516	504	521	257	467	190	236	413	407	584	446	180	185	326	113	277	86	470	107	154	292	451	518	534	380	260	479	194	305	270									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	528	20	15	15	10	15	20	20	15	20	15	15	23	15	20	20	5	5	20	10	15	10	15	10	15	10	15	15	50	15	10	15	15	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	378	9	7	8	9	5	7	20	7	20	11	5	21	14	20	15	0	1	16	0	15	3	15	10	10	2	11	5	50	15	5	12	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	115	6	2	4	3	3	1	7	1	2	7	7	7	9	1	12	2	3	2	6	0	1	2	0	5	1	7	1	0	1	1	4	3	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	150	11	8	7	1	10	13	0	8	0	4	10	2	1	0	5	5	4	4	10	0	7	0	0	5	8	4	10	0	0	5	3	5	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	151	7	5	9	10	6	5	3	6	6	0	6	11	10	4	9	15	0	3	0	1	2	2	3	0	0	2	1	5	2	3	2	0	10	3									
