Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Галичская городская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140					
1	"Число избирателей, внесенных в список"	14874	1290	768	1866	1221	1532	1065	1167	1239	1119	1673	1231	703					
2	Число полученных избирательных бюллетеней	14860	1300	780	1880	1230	1520	1050	1180	1250	1120	1620	1220	710					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7599	627	424	1080	704	831	558	513	604	466	772	661	359					
5	"Число избирательных бюллетеней, выданных вне помещения"	547	27	14	51	38	38	58	62	38	59	98	42	22					
6	Число погашенных избирательных бюллетеней	6714	646	342	749	488	651	434	605	608	595	750	517	329					
7	Число избирательных бюллетеней в переносных ящиках	547	27	14	51	38	38	58	62	38	59	98	42	22					
8	Число бюллетеней в стационарных ящиках для голосования	7598	627	424	1080	704	831	558	513	604	465	772	661	359					
9	Число недействительных избирательных бюллетеней	54	10	5	4	5	2	4	3	2	7	7	4	1					
10	Число действительных избирательных бюллетеней	8091	644	433	1127	737	867	612	572	640	517	863	699	380					
11	Число полученных открепительных  удостоверений	213	18	15	20	18	20	17	17	18	17	20	18	15					
12	Число выданных открепительных удостоверений	37	0	2	7	1	5	5	1	2	1	2	7	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	1	3	4	5	7	8	3	2	1	9	2	1					
14	Число неиспользованных открепительных удостоверений	176	18	13	13	17	15	12	16	16	16	18	11	11					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	1	0	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	215	16	9	28	16	34	10	10	25	15	26	13	13					
		2.64%	2.45%	2.05%	2.48%	2.16%	3.91%	1.62%	1.74%	3.89%	2.86%	2.99%	1.85%	3.41%					
19	. Малышкин Олег Александрович	174	11	11	20	9	13	17	25	15	8	24	17	4					
		2.14%	1.68%	2.51%	1.77%	1.21%	1.50%	2.76%	4.35%	2.34%	1.53%	2.76%	2.42%	1.05%					
20	. Миронов Сергей Михайлович	65	1	7	9	7	4	6	3	3	2	11	5	7					
		0.80%	0.15%	1.60%	0.80%	0.94%	0.46%	0.97%	0.52%	0.47%	0.38%	1.26%	0.71%	1.84%					
21	. Путин Владимир Владимирович	5453	487	300	747	451	556	433	410	428	355	570	493	223					
		66.95%	74.46%	68.49%	66.05%	60.78%	63.98%	70.29%	71.30%	66.67%	67.75%	65.52%	70.13%	58.53%					
22	. Хакамада Ирина Муцуовна	190	10	9	22	17	21	21	11	27	11	21	14	6					
		2.33%	1.53%	2.05%	1.95%	2.29%	2.42%	3.41%	1.91%	4.21%	2.10%	2.41%	1.99%	1.57%					
23	. Харитонов Николай Михайлович	1761	110	83	268	206	203	111	102	126	112	187	133	120					
		21.62%	16.82%	18.95%	23.70%	27.76%	23.36%	18.02%	17.74%	19.63%	21.37%	21.49%	18.92%	31.50%					
																			
24	Против всех	233	9	14	33	31	36	14	11	16	14	24	24	7					
		2.86%	1.38%	3.20%	2.92%	4.18%	4.14%	2.27%	1.91%	2.49%	2.67%	2.76%	3.41%	1.84%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
