Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																			
Дата голосования: 18.09.2016																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Уссурийская городская																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																			
																																																																																																																			
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	142497	2490	2497	2282	1906	562	846	1829	1556	2513	2580	1748	1914	2383	911	2450	1921	2294	2740	2483	1310	1372	1662	1888	3096	263	1845	1222	1946	2557	2117	1208	2221	1674	1195	2699	3022	310	2632	2426	1676	2300	1926	680	1200	1534	1697	2038	834	1876	1403	592	2004	1773	2231	1508	1339	928	2534	1055	1760	1500	1567	1508	2445	1395	1674	2202	168	102	10	446	399	1726	532	113	111	419	235	233	124	1049	472	233	1903	2011	547	1384	2210	933	231	108	282	330	112	272	223	154	204	540	588	218	749	1887	1490									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	135705	2300	2300	2000	1900	500	800	1800	1500	2300	2300	1700	1900	2300	900	2000	1900	2300	2500	2500	1300	1300	1600	1800	3000	200	1800	1200	1900	2300	2000	1200	2200	1600	1200	2500	2700	300	2500	2500	1600	2200	1900	600	1200	1500	1700	2000	800	1700	1400	500	1800	1700	2000	1400	1300	800	2300	1000	1700	1500	1500	1500	2400	1300	1600	2000	250	100	50	500	400	1800	500	110	125	400	200	200	120	1000	450	200	1900	2000	500	1300	2200	900	200	100	200	300	100	250	200	150	200	500	500	200	700	1800	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	58727	946	1073	701	734	136	221	651	606	870	1414	668	703	758	389	832	659	789	942	1400	508	554	531	613	2223	59	854	378	426	1206	773	405	722	466	366	800	1053	70	814	881	575	1193	639	234	316	374	489	1527	223	1152	900	193	754	863	1558	893	485	379	846	509	398	1013	445	538	888	655	562	708	81	87	10	446	399	1429	473	98	74	227	155	126	77	464	284	142	838	611	265	581	667	546	102	58	105	140	80	125	112	99	73	257	144	90	253	1038	468									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2525	6	6	239	8	13	5	6	13	61	1	11	6	10	4	154	13	16	22	10	10	13	21	10	43	10	4	7	15	13	15	18	29	7	2	11	10	2	27	19	19	14	4	5	20	4	39	20	29	95	15	7	56	6	10	5	4	8	32	8	7	2	11	2	6	6	2	5	51	0	0	0	0	38	27	5	2	7	14	13	4	18	72	10	92	20	94	3	20	72	45	15	4	44	0	19	20	25	4	97	329	3	8	7	12									
6	Число погашенных избирательных бюллетеней	74374	1348	1221	1060	1158	351	574	1143	881	1369	885	1021	1191	1532	507	1014	1228	1495	1536	1090	782	733	1048	1177	734	131	942	815	1459	1081	1212	777	1449	1127	832	1689	1637	228	1659	1600	1006	993	1257	361	864	1122	1172	453	548	453	485	300	990	831	432	502	811	413	1422	483	1295	485	1044	960	1506	639	1036	1287	118	13	40	54	1	333	0	7	20	166	31	61	39	468	94	48	970	1369	141	716	1513	282	53	27	91	116	20	106	68	26	123	146	27	107	439	755	920									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2604	6	6	239	8	13	5	6	13	61	1	11	6	10	4	154	13	16	22	10	10	13	21	10	43	10	4	7	15	13	15	18	29	7	2	11	10	2	27	19	19	14	4	5	20	4	39	20	29	95	15	7	56	6	10	5	4	8	32	8	7	2	11	2	6	6	2	5	51	0	0	0	0	38	27	5	31	7	14	13	4	68	72	10	92	20	94	3	20	72	45	15	4	44	0	19	20	25	4	97	329	3	8	7	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	58575	946	1073	701	716	136	221	651	556	870	1413	664	697	758	389	832	659	789	942	1400	508	554	531	613	2223	59	847	369	426	1206	773	405	710	466	366	800	1053	70	814	879	574	1193	635	234	316	374	489	1519	223	1152	900	193	753	862	1558	893	485	379	833	509	398	1002	445	538	887	655	561	708	81	87	10	444	399	1429	473	98	74	227	155	126	77	464	284	142	838	611	265	581	667	546	102	58	105	140	80	125	112	99	73	257	144	90	253	1038	468									
9	Число недействительных избирательных бюллетеней	1620	3	13	31	12	4	5	23	17	0	61	16	25	21	15	32	16	25	36	41	0	15	0	24	43	3	20	11	25	28	29	7	11	4	14	29	40	2	27	33	21	38	20	4	2	12	13	30	1	0	6	5	16	13	31	15	25	16	26	4	21	14	14	14	15	28	38	27	9	5	0	36	112	10	5	0	3	3	3	0	2	10	4	3	0	25	1	17	23	28	2	3	4	8	3	0	0	0	4	10	13	7	9	21	7									
10	Число действительных избирательных бюллетеней	59559	949	1066	909	712	145	221	634	552	931	1353	659	678	747	378	954	656	780	928	1369	518	552	552	599	2223	66	831	365	416	1191	759	416	728	469	354	782	1023	70	814	865	572	1169	619	235	334	366	515	1509	251	1247	909	195	793	855	1537	883	464	371	839	513	384	990	442	526	878	633	525	686	123	82	10	408	287	1457	495	103	102	231	166	139	79	522	352	149	930	606	358	567	664	590	145	70	105	176	77	144	132	124	73	344	460	86	252	1024	473									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3225	60	60	50	50	10	20	50	40	60	40	30	50	60	20	60	40	60	60	60	30	30	40	47	13	5	40	30	50	50	50	30	60	40	20	60	70	5	50	50	40	50	50	20	30	40	50	50	20	40	40	15	50	40	50	40	20	10	60	30	40	40	40	30	60	40	40	50	0	0	0	0	0	50	15	5	5	10	5	5	5	20	10	5	40	40	10	30	50	20	5	5	5	10	5	5	5	5	5	10	10	5	20	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1158	19	17	27	21	4	8	20	12	24	12	28	14	15	8	17	26	22	22	21	14	17	17	9	13	0	21	7	20	26	9	9	14	16	9	23	18	0	22	9	9	27	12	5	3	2	7	13	2	13	15	2	7	10	17	16	7	7	19	9	16	12	10	18	23	6	19	19	0	0	0	0	0	12	15	5	0	10	2	5	5	8	10	0	7	21	2	13	18	20	5	5	0	10	2	3	5	5	1	4	9	1	2	10	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1065	5	7	8	9	8	17	9	9	9	11	7	6	3	5	2	9	16	5	15	6	11	14	12	9	1	9	10	2	7	11	3	14	10	4	5	10	6	5	5	6	12	6	7	6	11	9	30	4	9	30	9	159	8	19	9	12	20	6	42	9	5	6	11	10	4	8	4	7	1	0	105	0	26	3	0	0	8	1	8	0	4	1	5	5	9	1	2	2	1	6	3	2	3	1	4	4	4	2	9	35	7	1	9	1									
14	Число погашенных неиспользованных открепительных удостоверений	2067	41	43	23	29	6	12	30	28	36	28	2	36	45	12	43	14	38	38	39	16	13	23	38	0	5	19	23	30	24	41	21	46	24	11	37	52	5	28	41	31	23	38	15	27	38	43	37	18	27	25	13	43	30	33	24	13	3	41	21	24	28	30	12	37	34	21	31	0	0	0	0	0	38	0	0	5	0	3	0	0	12	0	5	33	19	8	17	32	0	0	0	5	0	3	2	0	0	4	6	1	4	18	30	22									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	592	17	20	13	17	3	7	16	4	15	20	16	7	11	2	6	11	21	21	10	3	4	11	10	1	0	4	4	7	39	9	2	11	7	11	26	15	1	4	10	6	2	5	2	0	2	3	7	1	5	2	1	3	5	3	4	5	5	10	0	11	1	4	5	6	5	4	16	0	0	0	0	0	0	1	0	0	1	0	1	0	6	0	0	0	4	1	6	9	1	0	1	0	0	0	0	0	0	0	0	0	0	2	13	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	750	2	18	20	5	0	2	24	10	2	21	15	22	17	9	19	11	14	17	26	1	13	1	12	32	0	13	3	2	3	2	8	17	3	4	22	32	0	11	4	3	17	9	5	4	4	6	2	9	0	11	1	10	1	8	10	9	7	21	2	4	6	9	9	16	1	7	11	0	1	0	2	3	20	0	0	1	4	0	0	2	14	4	1	1	1	2	13	12	4	0	0	1	0	0	3	1	1	0	3	4	2	5	4	2									
