Выборы Президента Российской Федерации																																																																																
																																																																																
Наименование Избирательной комиссии:    Ковылкинская																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423					
1	"Число избирателей, внесенных в список"	35935	266	184	102	128	79	169	400	115	71	282	397	80	319	188	81	188	1206	525	459	192	348	502	346	323	251	210	524	404	335	201	163	123	343	1185	344	396	551	154	366	319	449	293	181	96	515	171	527	248	635	1362	158	48	184	138	336	79	1062	202	506	578	715	1222	1330	1327	649	1294	1270	1358	1417	1393	1366	1506	501					
2	Число полученных избирательных бюллетеней	36371	268	186	105	130	80	170	399	116	71	284	400	80	328	192	81	189	1217	535	468	198	350	507	348	323	252	215	528	407	334	205	163	123	343	1196	344	400	568	155	364	321	457	297	181	95	516	175	529	249	646	1371	158	48	184	138	341	82	1070	206	510	572	719	1221	1333	1352	654	1294	1274	1374	1456	1436	1447	1536	507					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32812	266	184	102	123	78	145	291	99	71	282	359	72	287	178	70	174	1075	473	427	167	326	436	337	321	251	182	519	402	324	201	160	108	276	1118	332	349	536	90	346	302	423	240	160	83	494	165	525	248	607	1295	133	42	136	101	327	79	1015	194	360	400	587	1060	1187	1196	537	1018	1178	1301	1361	1345	1237	1438	501					
5	"Число избирательных бюллетеней, выданных вне помещения"	2889	0	0	0	4	0	24	108	15	0	0	38	8	29	10	10	14	121	45	28	24	18	61	7	2	0	27	0	0	8	0	3	15	67	62	12	47	7	62	17	17	25	53	21	12	19	5	0	0	24	64	25	6	48	37	9	0	38	8	142	170	126	150	136	118	106	267	81	46	40	37	115	51	0					
6	Число погашенных избирательных бюллетеней	670	2	2	3	3	2	1	0	2	0	2	3	0	12	4	1	1	21	17	13	7	6	10	4	0	1	6	9	5	2	4	0	0	0	16	0	4	25	3	1	2	9	4	0	0	3	5	4	1	15	12	0	0	0	0	5	3	17	4	8	2	6	11	10	38	11	9	15	27	55	54	95	47	6					
7	Число избирательных бюллетеней в переносных ящиках	2889	0	0	0	4	0	24	108	15	0	0	38	8	29	10	10	14	121	45	28	24	18	61	7	2	0	27	0	0	8	0	3	15	67	62	12	47	7	62	17	17	25	53	21	12	19	5	0	0	24	64	25	6	48	37	9	0	38	8	142	170	126	150	136	118	106	267	81	46	40	37	115	51	0					
8	Число бюллетеней в стационарных ящиках для голосования	32809	266	184	102	123	78	145	291	99	71	282	359	72	287	178	70	174	1075	473	427	167	326	436	337	321	251	182	519	402	324	201	160	108	276	1118	332	349	536	90	346	302	423	240	160	83	494	165	525	248	607	1292	133	42	136	101	327	79	1015	194	360	400	587	1060	1187	1196	537	1018	1178	1301	1361	1345	1237	1438	501					
9	Число недействительных избирательных бюллетеней	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
10	Число действительных избирательных бюллетеней	35688	266	184	102	127	78	168	399	114	71	282	397	80	316	188	80	188	1196	518	455	191	344	497	344	323	251	209	519	402	332	201	163	123	343	1180	344	396	540	152	362	319	447	293	179	95	513	170	525	248	631	1356	158	48	184	138	336	79	1053	202	502	570	713	1210	1323	1314	643	1285	1259	1347	1401	1382	1350	1489	501					
