Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Сарапульская городская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954					
1	"Число избирателей, внесенных в списки"	84367	1824	1919	945	1996	1169	1177	1594	1745	2003	1342	1416	2021	1875	1661	1901	1614	1407	1795	1573	1876	1653	1262	878	1641	1357	1327	1647	1682	1598	1033	1474	973	1900	2008	1816	1490	1945	1889	1797	1793	1975	1628	1866	1908	1988	2013	2000	1231	1521	1415	714	1507	430	155					
2	"Число бюллетеней, полученных участковыми комиссиями"	77940	1650	1750	900	1800	1100	1100	1450	1600	1850	1250	1300	1850	1700	1550	1700	1500	1300	1650	1450	1750	1550	1150	850	1500	1250	1250	1550	1550	1450	1000	1400	900	1750	1850	1700	1350	1800	1750	1650	1650	1800	1500	1700	1750	1850	1850	1850	1150	1400	1350	650	1400	435	155					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	41418	912	848	458	919	496	524	713	846	841	545	601	934	870	832	926	908	750	978	720	969	806	623	337	742	757	755	868	748	872	426	520	470	929	767	970	601	1082	918	976	901	1081	708	873	1051	1226	1161	1105	651	847	696	372	705	217	67					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	939	19	20	3	61	7	24	17	29	24	26	26	18	22	16	39	8	21	46	17	25	14	5	8	13	15	25	17	13	17	7	10	18	16	9	18	9	19	10	4	28	13	26	19	13	16	13	7	8	13	11	12	19	26	0					
6	Число погашенных бюллетеней	35583	719	882	439	820	597	552	720	725	985	679	673	898	808	702	735	584	529	626	713	756	730	522	505	745	478	470	665	789	561	567	870	412	805	1074	712	740	699	822	670	721	706	766	808	686	608	676	738	491	540	643	266	676	192	88					
7	Число бюллетеней в переносных ящиках для голосования	939	19	20	3	61	7	24	17	29	24	26	26	18	22	16	39	8	21	46	17	25	14	5	8	13	15	25	17	13	17	7	10	18	16	9	18	9	19	10	4	28	13	26	19	13	16	13	7	8	13	11	12	19	26	0					
8	Число бюллетеней в стационарных ящиках для голосования	41395	912	848	458	919	496	524	713	846	841	545	600	934	869	832	926	908	750	978	720	969	806	618	337	741	757	755	868	748	872	426	520	470	915	767	970	600	1082	918	976	901	1081	708	873	1051	1226	1161	1105	651	847	696	372	705	217	67					
9	Число недействительных бюллетеней	604	10	22	6	47	9	3	8	12	11	16	12	13	11	12	4	2	3	9	11	9	13	6	3	9	21	24	16	11	5	4	17	7	11	12	19	7	12	10	5	11	12	15	26	12	6	15	18	4	2	8	12	17	2	2					
10	Число действительных бюллетеней	41730	921	846	455	933	494	545	722	863	854	555	614	939	880	836	961	914	768	1015	726	985	807	617	342	745	751	756	869	750	884	429	513	481	920	764	969	602	1089	918	975	918	1082	719	866	1052	1236	1159	1094	655	858	699	372	707	241	65					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1300	20	20	10	80	15	15	15	15	15	15	15	80	15	15	15	15	80	20	20	20	20	20	10	15	25	15	20	20	20	15	15	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	100	20	100	10	15	20	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	431	3	6	5	5	1	5	11	8	2	7	6	27	11	5	9	6	9	11	10	8	8	2	1	2	9	5	6	4	10	4	0	4	6	11	15	1	2	10	10	6	6	1	1	2	7	5	5	97	11	21	0	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	195	9	2	0	2	2	7	0	6	4	1	10	3	4	2	4	4	10	5	2	4	2	3	1	1	2	2	2	2	1	1	1	12	1	4	10	3	3	3	1	1	4	5	4	2	1	1	2	10	18	8	1	0	1	1					
