Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Ленинская ТИК																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642					
1	"Число избирателей, внесенных в списки"	49699	2582	2476	1230	1882	1403	1542	1009	893	2287	2432	791	984	227	593	273	435	314	571	100	568	1281	1253	403	762	444	255	308	2008	1333	1614	1354	670	360	444	2093	2625	758	505	743	644	1056	411	1648	1091	878	2166					
2	"Число бюллетеней, полученных участковыми комиссиями"	50802	2600	2486	1212	1897	1404	1559	1526	848	2299	2465	844	1004	230	595	278	435	634	574	95	571	1297	1191	406	761	466	250	304	2042	1346	1646	1062	674	362	444	2135	2676	798	542	758	654	1097	420	1689	1129	905	2192					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22268	1310	1229	568	913	686	716	404	340	1140	1070	417	454	59	186	74	127	93	312	31	402	622	523	114	252	158	124	23	791	600	652	840	323	80	285	1040	1276	243	46	261	255	488	194	699	458	407	983					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3392	32	40	92	45	19	45	29	27	39	96	96	115	78	124	88	137	102	55	18	7	62	97	86	102	49	8	108	116	114	160	20	58	94	0	78	34	133	182	141	79	139	39	59	76	31	43					
6	Число погашенных бюллетеней	25142	1258	1217	552	939	699	798	1093	481	1120	1299	331	435	93	285	116	171	439	207	46	162	613	571	206	407	259	118	173	1135	632	834	202	293	188	159	1017	1366	422	314	356	320	470	187	931	595	467	1166					
7	Число бюллетеней в переносных ящиках для голосования	3392	32	40	92	45	19	45	29	27	39	96	96	115	78	124	88	137	102	55	18	7	62	97	86	102	49	8	108	116	114	160	20	58	94	0	78	34	133	182	141	79	139	39	59	76	31	43					
8	Число бюллетеней в стационарных ящиках для голосования	22259	1310	1229	568	913	686	716	404	340	1140	1070	413	454	59	186	74	127	93	312	31	402	622	523	114	251	158	124	23	791	600	652	837	323	80	285	1040	1276	243	46	261	255	488	194	699	457	407	983					
9	Число недействительных бюллетеней	483	26	28	15	8	8	9	2	19	20	21	13	10	1	8	0	14	4	11	1	5	21	10	4	3	4	5	0	16	11	16	3	5	7	1	22	16	4	1	15	12	11	2	18	18	13	22					
10	Число действительных бюллетеней	25168	1316	1241	645	950	697	752	431	348	1159	1145	496	559	136	302	162	250	191	356	48	404	663	610	196	350	203	127	131	891	703	796	854	376	167	284	1096	1294	372	227	387	322	616	231	740	515	425	1004					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	439	30	23	10	18	8	18	8	5	20	20	11	8	4	4	2	2	6	6	4	14	25	10	4	4	4	4	4	10	10	35	8	4	5	4	10	10	4	4	4	4	10	4	10	10	4	13					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	302	26	20	4	18	7	11	3	0	19	15	9	5	1	2	1	1	4	6	0	14	18	6	0	2	1	0	0	6	6	24	4	4	1	1	9	10	0	0	1	3	10	2	8	5	2	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	310	4	15	9	2	5	5	2	2	4	3	3	7	1	0	1	2	9	0	2	2	3	14	3	1	6	4	1	4	3	3	144	5	2	1	5	3	3	1	3	3	2	2	4	3	2	7					
14	Число погашенных открепительных удостоверений	137	4	3	6	0	1	7	5	5	1	5	2	3	3	2	1	1	2	0	4	0	7	4	4	2	3	4	4	4	4	11	4	0	4	3	1	0	4	4	3	1	0	2	2	5	2	0					
15	Число открепительных удостоверений выданных ТИК	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	"1. ""ЕДИНЕНИЕ"""	360	21	22	6	16	4	7	4	14	9	15	8	10	0	1	0	3	2	2	0	17	9	16	0	2	3	2	2	10	4	13	12	8	4	13	12	15	1	0	12	4	15	2	8	8	5	19					
		1.40%	1.56%	1.73%	0.90%	1.67%	0.56%	0.91%	0.92%	3.81%	0.76%	1.28%	1.57%	1.75%	0.0%	0.32%	0.0%	1.13%	1.02%	0.54%	0.0%	4.15%	1.31%	2.58%	0.0%	0.56%	1.44%	1.51%	1.52%	1.10%	0.56%	1.60%	1.40%	2.09%	2.29%	4.56%	1.07%	1.14%	0.26%	0.0%	2.98%	1.19%	2.39%	0.85%	1.05%	1.50%	1.14%	1.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	690	39	33	25	8	29	22	12	9	35	30	13	19	2	2	0	3	0	0	0	7	15	21	6	9	4	6	7	20	20	19	33	9	1	8	33	36	5	11	11	10	24	5	20	26	11	32					
		2.68%	2.90%	2.60%	3.78%	0.83%	4.11%	2.89%	2.77%	2.45%	2.96%	2.57%	2.55%	3.33%	1.45%	0.64%	0.0%	1.13%	0.0%	0.0%	0.0%	1.71%	2.19%	3.38%	3.0%	2.54%	1.93%	4.54%	5.34%	2.20%	2.80%	2.33%	3.85%	2.36%	0.57%	2.80%	2.95%	2.74%	1.32%	4.82%	2.73%	2.99%	3.82%	2.14%	2.63%	4.87%	2.51%	3.11%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1200	35	50	33	34	54	48	22	16	67	70	45	23	17	10	6	10	34	11	0	12	25	19	8	21	2	9	14	35	24	35	40	14	10	8	37	46	7	14	17	16	52	17	38	28	19	48					
		4.67%	2.60%	3.94%	5.0%	3.54%	7.65%	6.30%	5.08%	4.35%	5.68%	6.00%	8.84%	4.04%	12.40%	3.22%	3.70%	3.78%	17.43%	2.99%	0.0%	2.93%	3.65%	3.06%	4.0%	5.94%	0.96%	6.81%	10.68%	3.85%	3.36%	4.31%	4.66%	3.67%	5.74%	2.80%	3.30%	3.51%	1.86%	6.14%	4.22%	4.79%	8.29%	7.29%	5.01%	5.25%	4.33%	4.67%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	866	49	35	32	24	24	33	29	13	54	42	32	13	3	9	1	0	7	3	4	5	32	24	6	18	6	1	1	40	7	34	19	14	7	7	30	41	21	10	13	5	14	6	15	22	18	43					
		3.37%	3.65%	2.75%	4.84%	2.50%	3.40%	4.33%	6.69%	3.54%	4.58%	3.60%	6.28%	2.28%	2.18%	2.90%	0.61%	0.0%	3.58%	0.81%	8.16%	1.22%	4.67%	3.87%	3.0%	5.09%	2.89%	0.75%	0.76%	4.41%	0.98%	4.18%	2.21%	3.67%	4.02%	2.45%	2.68%	3.12%	5.58%	4.38%	3.23%	1.49%	2.23%	2.57%	1.97%	4.12%	4.10%	4.19%					
22	"5. ""За Русь Святую"""	306	14	14	11	9	6	15	7	7	18	7	14	7	0	0	1	4	0	4	1	4	6	8	5	2	3	3	1	8	3	24	6	5	0	1	12	6	1	17	8	3	10	2	10	6	7	6					
		1.19%	1.04%	1.10%	1.66%	0.93%	0.85%	1.97%	1.61%	1.90%	1.52%	0.60%	2.75%	1.23%	0.0%	0.0%	0.61%	1.51%	0.0%	1.08%	2.04%	0.97%	0.87%	1.29%	2.5%	0.56%	1.44%	2.27%	0.76%	0.88%	0.42%	2.95%	0.70%	1.31%	0.0%	0.35%	1.07%	0.45%	0.26%	7.45%	1.99%	0.89%	1.59%	0.85%	1.31%	1.12%	1.59%	0.58%					
23	"6. ""Объединенная Российская партия ""Русь"""	98	1	7	1	3	2	2	1	5	5	4	12	1	1	0	1	0	0	2	2	1	2	3	0	0	1	0	1	4	2	4	0	2	0	2	5	1	1	0	1	3	3	0	2	1	6	3					
		0.38%	0.07%	0.55%	0.15%	0.31%	0.28%	0.26%	0.23%	1.36%	0.42%	0.34%	2.35%	0.17%	0.72%	0.0%	0.61%	0.0%	0.0%	0.54%	4.08%	0.24%	0.29%	0.48%	0.0%	0.0%	0.48%	0.0%	0.76%	0.44%	0.28%	0.49%	0.0%	0.52%	0.0%	0.70%	0.44%	0.07%	0.26%	0.0%	0.24%	0.89%	0.47%	0.0%	0.26%	0.18%	1.36%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	219	7	16	4	11	2	3	5	13	7	11	12	5	1	3	0	3	0	0	0	8	1	6	0	0	1	3	0	12	3	6	12	2	1	0	7	22	7	2	6	0	3	0	2	3	1	8					
		0.85%	0.52%	1.26%	0.60%	1.14%	0.28%	0.39%	1.15%	3.54%	0.59%	0.94%	2.35%	0.87%	0.72%	0.96%	0.0%	1.13%	0.0%	0.0%	0.0%	1.95%	0.14%	0.96%	0.0%	0.0%	0.48%	2.27%	0.0%	1.32%	0.42%	0.73%	1.40%	0.52%	0.57%	0.0%	0.62%	1.67%	1.86%	0.87%	1.49%	0.0%	0.47%	0.0%	0.26%	0.56%	0.22%	0.77%					
25	"8. ""Народно-республиканская партия России"""	63	2	0	6	2	1	0	1	5	3	2	5	5	1	0	0	1	2	0	0	2	1	0	1	0	0	1	0	1	1	2	1	1	1	1	3	1	2	0	1	0	2	0	1	2	0	2					
		0.24%	0.14%	0.0%	0.90%	0.20%	0.14%	0.0%	0.23%	1.36%	0.25%	0.17%	0.98%	0.87%	0.72%	0.0%	0.0%	0.37%	1.02%	0.0%	0.0%	0.48%	0.14%	0.0%	0.5%	0.0%	0.0%	0.75%	0.0%	0.11%	0.14%	0.24%	0.11%	0.26%	0.57%	0.35%	0.26%	0.07%	0.53%	0.0%	0.24%	0.0%	0.31%	0.0%	0.13%	0.37%	0.0%	0.19%					
26	"9. ""Российская экологическая партия ""Зеленые"""	105	8	2	2	2	0	2	4	2	3	4	5	4	0	0	0	1	1	2	0	2	3	0	1	0	0	1	0	7	2	5	4	0	1	2	6	5	2	1	4	2	4	0	2	1	1	7					
