Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Марксовская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806					
1	"Число избирателей, внесенных в список"	46179	785	685	752	336	327	589	228	485	577	812	98	918	216	526	647	319	849	581	484	724	343	1294	1105	489	746	196	41	270	198	96	235	419	984	257	145	203	824	810	1236	1185	677	1808	2127	1289	1096	2767	2036	2546	3121	2315	1217	3166					
2	Число полученных избирательных бюллетеней	48292	788	743	778	324	330	641	269	566	586	831	102	911	228	582	666	326	831	629	528	705	369	1446	1238	548	740	210	40	277	220	96	235	472	990	249	139	204	795	829	1276	1189	693	1798	2237	1286	1322	2768	2603	2838	3048	2335	1214	3224					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36405	768	610	682	290	302	569	201	374	476	710	98	548	146	451	569	293	695	469	432	631	281	933	894	392	720	157	39	237	180	90	223	295	763	159	99	147	678	594	1176	793	565	1358	1017	689	754	2125	1839	1917	2690	2038	722	2527					
5	"Число избирательных бюллетеней, выданных вне помещения"	1808	10	30	19	12	11	20	3	19	19	29	0	40	19	19	24	12	84	28	16	65	25	53	88	26	20	12	0	18	11	0	0	14	43	10	12	0	18	61	17	44	26	71	60	161	36	78	103	73	120	27	56	46					
6	Число погашенных избирательных бюллетеней	10079	10	103	77	22	17	52	65	173	91	92	4	323	63	112	73	21	52	132	80	9	63	460	256	130	0	41	1	22	29	6	12	163	184	80	28	57	99	174	83	352	102	369	1160	436	532	565	661	848	238	270	436	651					
7	Число избирательных бюллетеней в переносных ящиках	1808	10	30	19	12	11	20	3	19	19	29	0	40	19	19	24	12	84	28	16	65	25	53	88	26	20	12	0	18	11	0	0	14	43	10	12	0	18	61	17	44	26	71	60	161	36	78	103	73	120	27	56	46					
8	Число бюллетеней в стационарных ящиках для голосования	36402	768	610	682	290	302	569	201	374	475	710	98	548	146	451	569	293	695	469	432	631	281	933	894	392	720	157	39	237	180	90	223	295	763	159	99	147	678	594	1176	793	565	1358	1017	689	752	2125	1839	1917	2690	2038	722	2527					
9	Число недействительных избирательных бюллетеней	359	48	4	2	20	1	1	1	3	1	8	2	8	0	2	1	6	4	20	0	7	0	0	4	1	3	0	3	11	12	0	3	6	6	2	1	3	0	6	42	2	0	10	8	2	4	8	31	5	6	9	5	27					
10	Число действительных избирательных бюллетеней	37851	730	636	699	282	312	588	203	390	493	731	96	580	165	468	592	299	775	477	448	689	306	986	978	417	737	169	36	244	179	90	220	303	800	167	110	144	696	649	1151	835	591	1419	1069	848	784	2195	1911	1985	2804	2056	773	2546					
11	Число полученных открепительных  удостоверений	1466	20	50	20	20	20	20	40	50	30	20	20	10	5	60	30	25	10	45	50	10	30	40	40	20	20	15	5	15	20	10	10	55	30	15	10	10	40	15	31	40	20	40	40	20	30	40	40	30	50	35	30	65					
12	Число выданных открепительных удостоверений	1219	4	50	20	14	20	20	36	40	30	20	7	8	4	60	28	6	8	45	50	8	30	40	40	20	20	15	0	15	20	2	1	55	27	3	0	2	40	15	31	5	15	39	22	15	18	39	31	30	45	26	15	65					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	330	3	3	3	1	2	2	2	4	5	2	5	5	1	7	5	0	4	8	11	4	5	2	2	2	7	2	3	0	3	2	2	3	5	2	11	1	5	3	5	3	4	12	14	11	9	10	9	13	14	17	55	17					
14	Число неиспользованных открепительных удостоверений	247	16	0	0	6	0	0	4	10	0	0	13	2	1	0	2	19	2	0	0	2	0	0	0	0	0	0	5	0	0	8	9	0	3	12	10	8	0	0	0	35	5	1	18	5	12	1	9	0	5	9	15	0					
15	"Число открепительных удостоверений, выданных в ТИК"	34	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	5	3	1	0	3	3	3	0	1	1	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	780	19	8	6	0	1	7	2	24	1	8	0	11	4	7	18	3	10	8	0	12	2	3	0	1	3	1	0	0	3	0	1	0	0	2	0	0	0	16	26	10	2	38	63	36	13	81	30	65	73	56	14	92					
		2.04%	2.44%	1.25%	0.86%	0.00%	0.32%	1.19%	0.98%	6.11%	0.20%	1.08%	0.00%	1.87%	2.42%	1.49%	3.04%	0.98%	1.28%	1.61%	0.00%	1.72%	0.65%	0.30%	0.00%	0.24%	0.41%	0.59%	0.00%	0.00%	1.57%	0.00%	0.45%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	2.44%	2.18%	1.19%	0.34%	2.66%	5.85%	4.24%	1.65%	3.68%	1.54%	3.27%	2.60%	2.71%	1.80%	3.58%					
19	. Малышкин Олег Александрович	509	9	5	15	7	1	12	5	10	4	2	0	19	2	2	8	1	20	17	0	1	2	0	15	1	9	2	0	4	4	0	3	0	2	2	1	0	0	14	16	7	8	22	14	18	2	31	26	31	32	24	24	55					
		1.33%	1.16%	0.78%	2.14%	2.32%	0.32%	2.04%	2.45%	2.54%	0.81%	0.27%	0.00%	3.23%	1.21%	0.43%	1.35%	0.33%	2.57%	3.42%	0.00%	0.14%	0.65%	0.00%	1.53%	0.24%	1.22%	1.18%	0.00%	1.57%	2.09%	0.00%	1.35%	0.00%	0.25%	1.18%	0.90%	0.00%	0.00%	2.14%	1.34%	0.84%	1.35%	1.54%	1.30%	2.12%	0.25%	1.41%	1.34%	1.56%	1.14%	1.16%	3.08%	2.14%					
20	. Миронов Сергей Михайлович	184	0	0	2	0	1	3	3	0	1	3	0	3	0	1	0	2	0	2	0	6	0	1	5	1	4	2	0	2	0	0	0	0	3	0	1	0	0	1	1	0	0	6	9	6	4	15	5	19	15	12	6	39					
		0.48%	0.00%	0.00%	0.29%	0.00%	0.32%	0.51%	1.47%	0.00%	0.20%	0.41%	0.00%	0.51%	0.00%	0.21%	0.00%	0.66%	0.00%	0.40%	0.00%	0.86%	0.00%	0.10%	0.51%	0.24%	0.54%	1.18%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.90%	0.00%	0.00%	0.15%	0.08%	0.00%	0.00%	0.42%	0.84%	0.71%	0.51%	0.68%	0.26%	0.95%	0.53%	0.58%	0.77%	1.52%					
21	. Путин Владимир Владимирович	29084	681	529	568	242	268	478	164	287	399	593	88	369	133	382	479	244	631	389	359	563	253	789	787	335	593	137	34	219	159	74	193	251	651	127	70	118	559	530	982	690	473	1080	629	457	559	1616	1379	1397	2132	1561	561	1843					
		76.12%	87.53%	82.66%	81.03%	80.13%	85.62%	81.15%	80.39%	73.03%	80.77%	80.24%	89.80%	62.76%	80.61%	81.28%	80.78%	80.00%	81.00%	78.27%	80.13%	80.89%	82.68%	80.02%	80.14%	80.14%	80.14%	81.07%	87.18%	85.88%	83.25%	82.22%	86.55%	81.23%	80.77%	75.15%	63.06%	80.27%	80.32%	80.92%	82.31%	82.44%	80.03%	75.58%	58.40%	53.76%	70.94%	73.35%	71.01%	70.20%	75.87%	75.59%	72.11%	71.63%					
22	. Хакамада Ирина Муцуовна	495	7	10	14	6	1	5	1	9	1	5	1	10	1	10	0	4	15	5	0	5	4	0	9	1	2	2	0	3	0	0	0	0	0	2	1	1	0	6	14	1	3	20	25	16	4	46	37	42	47	36	6	57					
		1.30%	0.90%	1.56%	2.00%	1.99%	0.32%	0.85%	0.49%	2.29%	0.20%	0.68%	1.02%	1.70%	0.61%	2.13%	0.00%	1.31%	1.93%	1.01%	0.00%	0.72%	1.31%	0.00%	0.92%	0.24%	0.27%	1.18%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	1.18%	0.90%	0.68%	0.00%	0.92%	1.17%	0.12%	0.51%	1.40%	2.32%	1.88%	0.51%	2.09%	1.91%	2.11%	1.67%	1.74%	0.77%	2.22%					
23	. Харитонов Николай Михайлович	5927	0	71	89	18	21	75	18	48	84	109	7	149	18	55	87	37	82	56	89	93	42	193	162	78	118	20	1	8	10	16	22	52	144	27	32	25	137	72	79	119	102	207	263	272	200	325	373	369	438	308	151	356					
