Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Невельская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14069	118	1942	2839	1731	2061	263	1245	1227	1041	590	1012									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12250	100	1800	2500	1300	2000	250	1000	1000	900	500	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	53	0	0	0	10	0	0	0	0	0	43	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4925	60	728	963	730	664	113	350	425	296	247	349									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	256	20	19	41	10	38	13	13	26	32	24	20									
6	Число погашенных избирательных бюллетеней	7016	20	1053	1496	550	1298	124	637	549	572	186	531									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	309	20	19	41	20	38	13	13	26	32	67	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4925	60	728	963	730	664	113	350	425	296	247	349									
9	Число недействительных избирательных бюллетеней	108	3	14	15	19	13	2	7	11	9	6	9									
10	Число действительных избирательных бюллетеней	5126	77	733	989	731	689	124	356	440	319	308	360									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	20	30	30	20	30	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	100	0	25	19	20	10	1	6	3	2	5	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	3	12	8	17	10	1	2	2	1	4	9									
14	Число погашенных неиспользованных открепительных удостоверений	150	20	5	11	0	20	19	14	17	18	15	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	2	6	6	1	0	0	1	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	71	1	16	10	12	6	6	1	1	5	3	10									
		1.36%	1.25%	2.14%	0.99%	1.60%	0.85%	4.76%	0.28%	0.22%	1.52%	0.96%	2.71%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	139	2	11	28	12	25	4	13	17	12	10	5									
		2.66%	2.50%	1.47%	2.79%	1.60%	3.56%	3.17%	3.58%	3.77%	3.66%	3.18%	1.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	139	1	25	29	14	20	4	7	11	10	8	10									
		2.66%	1.25%	3.35%	2.89%	1.87%	2.85%	3.17%	1.93%	2.44%	3.05%	2.55%	2.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2604	37	375	514	370	328	60	175	215	171	174	185									
		49.75%	46.25%	50.20%	51.20%	49.33%	46.72%	47.62%	48.21%	47.67%	52.13%	55.41%	50.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	41	0	7	7	5	4	2	2	2	2	3	7									
		0.78%	0.00%	0.94%	0.70%	0.67%	0.57%	1.59%	0.55%	0.44%	0.61%	0.96%	1.90%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	1	1	0	4	1	1	4	0	1	2	0									
		0.29%	1.25%	0.13%	0.00%	0.53%	0.14%	0.79%	1.10%	0.00%	0.30%	0.64%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1139	21	180	204	177	166	28	73	106	53	64	67									
		21.76%	26.25%	24.10%	20.32%	23.60%	23.65%	22.22%	20.11%	23.50%	16.16%	20.38%	18.16%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	0	1	11	3	4	0	0	1	1	4	0									
		0.48%	0.00%	0.13%	1.10%	0.40%	0.57%	0.00%	0.00%	0.22%	0.30%	1.27%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	34	0	7	7	4	3	1	1	5	1	2	3									
		0.65%	0.00%	0.94%	0.70%	0.53%	0.43%	0.79%	0.28%	1.11%	0.30%	0.64%	0.81%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	1	1	2	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.10%	0.13%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	37	0	7	3	9	10	0	0	0	4	2	2									
		0.71%	0.00%	0.94%	0.30%	1.20%	1.42%	0.00%	0.00%	0.00%	1.22%	0.64%	0.54%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	694	14	81	130	86	95	17	73	63	51	28	56									
		13.26%	17.50%	10.84%	12.95%	11.47%	13.53%	13.49%	20.11%	13.97%	15.55%	8.92%	15.18%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	0	3	4	7	1	1	1	1	3	2	7									
		0.57%	0.00%	0.40%	0.40%	0.93%	0.14%	0.79%	0.28%	0.22%	0.91%	0.64%	1.90%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	154	0	19	41	27	24	0	6	18	5	6	8									
		2.94%	0.00%	2.54%	4.08%	3.60%	3.42%	0.00%	1.65%	3.99%	1.52%	1.91%	2.17%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
