Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Молодежная поселковая								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №1481					
1	"Число избирателей, внесенных в списки избирателей"	2247	2247					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1427	1427					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	22	22					
6	Число погашенных избирательных бюллетеней	551	551					
7	Число избирательных бюллетеней в переносных ящиках для голосования	22	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1426	1426					
9	Число недействительных избирательных бюллетеней	23	23					
10	Число действительных избирательных бюллетеней	1425	1425					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	102	102					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	86	86					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	12	12					
14	Число погашенных неиспользованных открепительных удостоверений	16	16					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	10					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	29	29					
		2.00%	2.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	19	19					
		1.31%	1.31%					
20	3.Политическая партия «Демократическая партия России»	3	3					
		0.21%	0.21%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	219	219					
		15.12%	15.12%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	5					
		0.35%	0.35%					
23	6.Политическая партия «Партия социальной справедливости»	1	1					
		0.07%	0.07%					
24	7.Политическая партия «Либерально-демократическая партия России»	141	141					
		9.74%	9.74%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	79	79					
		5.46%	5.46%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	23	23					
		1.59%	1.59%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	892	892					
		61.60%	61.60%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	14	14					
		0.97%	0.97%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
