Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Хохольская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК  3832					
1	"Число избирателей, внесенных в список"	26398	2152	1261	826	2070	334	1375	317	1062	564	774	151	275	458	532	415	400	582	603	307	1541	853	926	1341	1062	1641	131	892	1354	639	642	404	514					
2	Число полученных избирательных бюллетеней	27000	2200	1285	850	2120	340	1400	325	1080	570	790	160	277	456	550	420	415	600	620	320	1562	847	1007	1367	1116	1685	130	900	1381	650	652	400	525					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14130	1159	626	489	886	184	600	86	501	174	258	79	176	265	277	135	216	239	249	134	723	422	693	770	776	1045	80	573	974	430	421	134	356					
5	"Число избирательных бюллетеней, выданных вне помещения"	5739	188	157	126	310	69	259	175	207	280	266	58	89	123	161	260	127	239	285	160	176	85	58	109	159	360	37	273	257	165	188	222	111					
6	Число погашенных избирательных бюллетеней	7131	853	502	235	924	87	541	64	372	116	266	23	12	68	112	25	72	122	86	26	663	340	256	488	181	280	13	54	150	55	43	44	58					
7	Число избирательных бюллетеней в переносных ящиках	5739	188	157	126	310	69	259	175	207	280	266	58	89	123	161	260	127	239	285	160	176	85	58	109	159	360	37	273	257	165	188	222	111					
8	Число бюллетеней в стационарных ящиках для голосования	14129	1159	626	489	886	184	600	86	500	174	258	79	176	265	277	135	216	239	249	134	723	422	693	770	776	1045	80	573	974	430	421	134	356					
9	Число недействительных избирательных бюллетеней	264	7	7	4	9	2	10	2	6	14	2	2	0	37	4	1	6	3	58	0	2	2	5	16	12	14	1	1	8	9	1	1	18					
10	Число действительных избирательных бюллетеней	19604	1340	776	611	1187	251	849	259	701	440	522	135	265	351	434	394	337	475	476	294	897	505	746	863	923	1391	116	845	1223	586	608	355	449					
11	Число полученных открепительных  удостоверений	224	25	12	5	14	3	13	3	5	3	9	3	3	3	3	3	8	8	3	3	10	6	25	5	5	10	3	10	5	3	6	3	4					
12	Число выданных открепительных удостоверений	166	25	12	3	11	2	11	0	4	0	6	1	0	0	2	0	7	8	0	0	5	3	25	3	5	10	0	10	5	1	1	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	177	13	6	0	4	5	5	1	3	0	1	3	2	0	2	0	2	5	2	2	11	4	4	4	13	11	12	5	23	11	3	13	7					
14	Число неиспользованных открепительных удостоверений	58	0	0	2	3	1	2	3	1	3	3	2	3	3	1	3	1	0	3	3	5	3	0	2	0	0	3	0	0	2	5	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	439	73	35	13	28	5	25	4	21	3	14	2	1	13	7	4	3	4	4	4	26	18	15	32	14	23	1	11	12	6	4	5	9					
		2.21%	5.42%	4.47%	2.11%	2.34%	1.98%	2.91%	1.53%	2.97%	0.66%	2.67%	1.46%	0.38%	3.35%	1.60%	1.01%	0.87%	0.84%	0.75%	1.36%	2.89%	3.55%	2.00%	3.64%	1.50%	1.64%	0.85%	1.30%	0.97%	1.01%	0.66%	1.40%	1.93%					
19	. Малышкин Олег Александрович	333	24	14	11	29	10	17	10	12	7	7	0	6	6	6	1	6	11	16	3	17	11	15	19	5	17	5	3	19	11	3	2	10					
		1.68%	1.78%	1.79%	1.79%	2.42%	3.95%	1.98%	3.83%	1.70%	1.54%	1.34%	0.00%	2.26%	1.55%	1.37%	0.25%	1.75%	2.30%	3.00%	1.02%	1.89%	2.17%	2.00%	2.16%	0.53%	1.21%	4.27%	0.35%	1.54%	1.85%	0.49%	0.56%	2.14%					
20	. Миронов Сергей Михайлович	166	13	8	5	9	6	14	4	9	0	1	3	1	10	0	5	1	1	9	6	6	5	10	2	4	5	7	6	2	2	4	0	8					
		0.84%	0.97%	1.02%	0.81%	0.75%	2.37%	1.63%	1.53%	1.27%	0.00%	0.19%	2.19%	0.38%	2.58%	0.00%	1.27%	0.29%	0.21%	1.69%	2.04%	0.67%	0.99%	1.33%	0.23%	0.43%	0.36%	5.98%	0.71%	0.16%	0.34%	0.66%	0.00%	1.71%					
21	. Путин Владимир Владимирович	14424	830	523	469	774	180	592	174	511	362	402	80	233	272	374	333	293	408	349	230	634	331	452	588	735	1094	89	716	947	392	473	281	303					
		72.60%	61.62%	66.79%	76.26%	64.72%	71.15%	68.92%	66.67%	72.28%	79.74%	76.72%	58.39%	87.92%	70.10%	85.39%	84.30%	85.42%	85.36%	65.36%	78.23%	70.52%	65.29%	60.19%	66.89%	78.61%	77.86%	76.07%	84.63%	76.93%	65.88%	77.67%	78.93%	64.88%					
22	. Хакамада Ирина Муцуовна	268	22	23	3	23	1	15	4	9	5	10	1	1	8	0	1	3	3	5	6	25	12	12	12	9	23	0	5	13	1	3	7	3					
		1.35%	1.63%	2.94%	0.49%	1.92%	0.40%	1.75%	1.53%	1.27%	1.10%	1.91%	0.73%	0.38%	2.06%	0.00%	0.25%	0.87%	0.63%	0.94%	2.04%	2.78%	2.37%	1.60%	1.37%	0.96%	1.64%	0.00%	0.59%	1.06%	0.17%	0.49%	1.97%	0.64%					
23	. Харитонов Николай Михайлович	3719	351	154	104	309	44	168	62	127	57	86	47	22	38	41	48	30	47	92	43	164	124	219	194	149	217	12	94	219	167	121	60	109					
