Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Канашская																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25891	812	831	475	104	250	262	435	190	153	188	390	236	91	500	328	239	2085	372	146	624	439	93	99	596	119	140	354	280	118	102	300	181	186	160	216	187	507	203	272	150	155	715	894	201	965	532	345	888	356	270	272	178	669	407	660	238	229	294	208	522	259	603	169	467	242	357	323	390	175	495									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26190	730	820	450	100	250	270	440	200	150	180	400	240	90	520	330	240	2140	380	140	630	450	100	100	590	120	140	350	280	120	100	310	180	200	170	230	190	540	220	270	160	170	720	930	200	980	530	340	870	350	270	270	160	680	410	670	240	230	300	240	540	250	650	170	490	250	360	350	390	170	490									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17890	496	570	382	85	164	174	291	127	119	115	243	160	81	317	248	176	1289	229	97	405	319	86	83	402	100	114	220	182	87	69	206	100	121	133	157	164	345	148	214	103	85	480	523	144	646	397	205	586	211	180	214	125	484	284	451	175	171	257	164	347	182	514	139	360	162	264	299	288	112	320									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1692	89	20	28	6	19	15	13	11	2	15	16	23	3	22	16	17	32	17	13	18	25	2	8	55	5	12	13	15	10	7	16	35	49	7	20	10	50	15	9	15	55	93	108	20	96	28	28	31	14	39	29	13	22	16	51	24	17	24	15	33	10	28	8	14	19	19	7	18	8	32									
6	Число погашенных избирательных бюллетеней	6608	145	230	40	9	67	81	136	62	29	50	141	57	6	181	66	47	819	134	30	207	106	12	9	133	15	14	117	83	23	24	88	45	30	30	53	16	145	57	47	42	30	147	299	36	238	105	107	253	125	51	27	22	174	110	168	41	42	19	61	160	58	108	23	116	69	77	44	84	50	138									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1692	89	20	28	6	19	15	13	11	2	15	16	23	3	22	16	17	32	17	13	18	25	2	8	55	5	12	13	15	10	7	16	35	49	7	20	10	50	15	9	15	55	93	108	20	96	28	28	31	14	39	29	13	22	16	51	24	17	24	15	33	10	28	8	14	19	19	7	18	8	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17889	496	570	382	85	164	174	291	127	119	115	243	160	81	317	248	176	1289	229	97	405	319	86	83	402	100	114	220	182	87	69	206	100	121	133	157	164	345	148	214	103	85	480	522	144	646	397	205	586	211	180	214	125	484	284	451	175	171	257	164	347	182	514	139	360	162	264	299	288	112	320									
9	Число недействительных избирательных бюллетеней	571	22	25	13	7	11	4	20	3	4	3	7	4	4	0	8	9	8	11	6	20	4	1	3	14	6	1	11	7	1	1	10	3	3	4	6	14	18	4	7	8	0	4	20	4	6	5	2	12	13	5	6	3	26	11	23	2	12	8	3	9	6	6	3	19	16	2	0	17	5	8									
10	Число действительных избирательных бюллетеней	19010	563	565	397	84	172	185	284	135	117	127	252	179	80	339	256	184	1313	235	104	403	340	87	88	443	99	125	222	190	96	75	212	132	167	136	171	160	377	159	216	110	140	569	610	160	736	420	231	605	212	214	237	135	480	289	479	197	176	273	176	371	186	536	144	355	165	281	306	289	115	344									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	842	21	24	13	5	7	8	13	9	7	5	15	7	2	19	13	7	43	11	4	19	16	3	6	20	6	5	10	8	3	3	12	5	8	10	7	14	12	9	8	6	7	24	28	6	30	15	13	20	10	8	10	4	21	15	23	9	10	12	10	18	7	21	7	18	10	14	14	15	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	842	21	24	13	5	7	8	13	9	7	5	15	7	2	19	13	7	43	11	4	19	16	3	6	20	6	5	10	8	3	3	12	5	8	10	7	14	12	9	8	6	7	24	28	6	30	15	13	20	10	8	10	4	21	15	23	9	10	12	10	18	7	21	7	18	10	14	14	15	5	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	223	6	10	3	5	2	0	2	0	3	2	1	1	0	0	3	0	10	1	1	4	4	6	3	5	1	0	5	4	0	0	1	2	1	4	1	2	1	1	2	1	1	8	4	0	30	6	3	32	5	1	3	4	2	1	5	1	0	2	3	0	3	1	0	0	0	2	0	4	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	258	4	6	3	0	1	2	3	3	0	1	4	0	0	2	0	1	12	0	1	6	2	5	4	2	0	0	0	0	0	0	1	1	1	2	0	1	27	4	7	4	5	5	18	2	10	8	1	4	3	2	2	1	11	2	2	2	0	8	17	4	1	17	0	1	0	1	12	8	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	165	6	8	2	0	4	2	1	0	0	1	2	2	1	3	3	1	19	2	0	1	5	0	1	1	1	0	1	3	0	0	2	1	0	1	2	4	9	0	1	1	1	2	3	1	2	4	3	10	3	3	5	1	3	1	4	0	3	2	1	2	1	4	1	1	2	4	1	4	0	2									
		0.84%	1.03%	1.36%	0.49%	0.00%	2.19%	1.06%	0.33%	0.00%	0.00%	0.77%	0.77%	1.09%	1.19%	0.88%	1.14%	0.52%	1.44%	0.81%	0.00%	0.24%	1.45%	0.00%	1.10%	0.22%	0.95%	0.00%	0.43%	1.52%	0.00%	0.00%	0.90%	0.74%	0.00%	0.71%	1.13%	2.30%	2.28%	0.00%	0.45%	0.85%	0.71%	0.35%	0.48%	0.61%	0.27%	0.94%	1.29%	1.62%	1.33%	1.37%	2.06%	0.72%	0.59%	0.33%	0.80%	0.00%	1.60%	0.71%	0.56%	0.53%	0.52%	0.74%	0.68%	0.27%	1.10%	1.41%	0.33%	1.31%	0.00%	0.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	540	18	10	14	3	6	5	7	7	4	4	15	5	3	13	10	4	45	8	0	9	19	5	1	16	4	0	11	7	5	8	8	6	6	1	6	3	5	4	2	0	3	10	6	5	7	25	5	31	5	6	14	3	13	6	8	4	4	1	2	5	3	13	4	7	3	5	3	9	7	16									
		2.76%	3.08%	1.69%	3.41%	3.30%	3.28%	2.65%	2.30%	5.07%	3.31%	3.08%	5.79%	2.73%	3.57%	3.83%	3.79%	2.07%	3.41%	3.25%	0.00%	2.13%	5.52%	5.68%	1.10%	3.50%	3.81%	0.00%	4.72%	3.55%	5.15%	10.53%	3.60%	4.44%	3.53%	0.71%	3.39%	1.72%	1.27%	2.45%	0.90%	0.00%	2.14%	1.75%	0.95%	3.05%	0.94%	5.88%	2.15%	5.02%	2.22%	2.74%	5.76%	2.17%	2.57%	2.00%	1.59%	2.01%	2.13%	0.36%	1.12%	1.32%	1.56%	2.40%	2.72%	1.87%	1.66%	1.77%	0.98%	2.94%	5.83%	4.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	430	16	18	6	1	4	6	4	2	0	4	11	1	2	4	7	4	35	14	3	15	6	1	0	8	2	6	6	10	0	2	4	2	2	3	2	3	7	3	6	3	3	10	7	1	27	4	11	22	8	9	7	3	15	3	7	1	2	3	4	5	2	9	2	6	1	4	9	9	1	2									
		2.20%	2.74%	3.05%	1.46%	1.10%	2.19%	3.17%	1.32%	1.45%	0.00%	3.08%	4.25%	0.55%	2.38%	1.18%	2.65%	2.07%	2.65%	5.69%	2.73%	3.55%	1.74%	1.14%	0.00%	1.75%	1.90%	4.76%	2.58%	5.08%	0.00%	2.63%	1.80%	1.48%	1.18%	2.14%	1.13%	1.72%	1.77%	1.84%	2.69%	2.54%	2.14%	1.75%	1.11%	0.61%	3.64%	0.94%	4.72%	3.57%	3.56%	4.11%	2.88%	2.17%	2.96%	1.00%	1.39%	0.50%	1.06%	1.07%	2.23%	1.32%	1.04%	1.66%	1.36%	1.60%	0.55%	1.41%	2.94%	2.94%	0.83%	0.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11924	287	320	253	60	96	117	177	93	90	73	146	122	41	200	173	147	718	116	69	260	210	43	58	269	68	79	114	92	59	43	136	84	130	99	102	100	274	100	116	69	95	377	380	91	542	278	137	298	92	143	154	79	304	180	315	144	112	198	126	286	144	372	102	220	92	184	249	169	56	202									
