Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    район Ховрино																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №3256					
1	"Число избирателей, внесенных в список избирателей"	54678	2492	2642	2850	2632	2616	2504	2628	2265	2806	2686	2538	2776	2787	2122	2491	2785	2495	2463	2754	2615	2579	152					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51700	2300	2500	2700	2400	2500	2400	2500	2100	2600	2600	2400	2600	2500	2700	2300	2600	2050	2400	2500	2500	2400	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	39132	1288	1914	2110	2120	1219	2037	1912	1778	2340	2060	1942	1910	1753	2099	1945	1371	1654	1459	1962	1852	2277	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	940	39	26	44	44	55	25	28	33	29	25	40	26	26	23	32	30	46	290	35	27	17	0					
6	Число погашенных избирательных бюллетеней	11628	973	560	546	236	1226	338	560	289	231	515	418	664	721	578	323	1199	350	651	503	621	106	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	934	39	26	44	44	55	25	28	33	29	25	40	26	20	23	32	30	46	290	35	27	17	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38674	1287	1914	2110	2012	1215	2019	1904	1778	2340	2055	1942	1910	1753	2099	1941	1367	1654	1161	1954	1852	2277	130					
9	Число недействительных избирательных бюллетеней	355	25	10	3	2	17	7	38	24	0	57	11	4	3	0	26	28	6	23	29	32	5	5					
10	Число действительных избирательных бюллетеней	39253	1301	1930	2151	2054	1253	2037	1894	1787	2369	2023	1971	1932	1770	2122	1947	1369	1694	1428	1960	1847	2289	125					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1201	50	60	60	50	50	60	50	50	70	50	50	50	50	100	50	50	50	100	50	50	51	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	982	37	55	50	36	33	58	50	25	68	50	41	44	47	43	45	45	29	95	34	48	49	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	553	21	39	40	19	22	0	20	21	26	15	21	23	72	12	17	27	13	26	29	15	27	48					
14	Число погашенных неиспользованных открепительных удостоверений	219	13	5	10	14	17	2	0	25	2	0	9	6	3	57	5	5	21	5	16	2	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	3	0	0	1	1	2	3	5	1	4	4	2	4	4	1	0	0	2	1	6	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4847	235	130	239	161	233	286	292	227	276	249	261	198	248	345	205	240	202	160	225	227	175	33					
		12.24%	17.72%	6.70%	11.10%	7.83%	18.35%	13.99%	15.11%	12.53%	11.65%	11.97%	13.17%	10.23%	13.99%	16.26%	10.39%	17.18%	11.88%	11.03%	11.31%	12.08%	7.63%	25.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2811	160	83	101	129	106	163	135	106	262	156	147	109	133	157	105	173	122	13	160	116	156	19					
		7.10%	12.07%	4.28%	4.69%	6.27%	8.35%	7.97%	6.99%	5.85%	11.06%	7.50%	7.42%	5.63%	7.50%	7.40%	5.32%	12.38%	7.18%	0.90%	8.04%	6.17%	6.80%	14.62%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	223	17	2	3	5	8	8	7	28	0	33	6	7	3	1	21	30	9	4	4	24	3	0					
		0.56%	1.28%	0.10%	0.14%	0.24%	0.63%	0.39%	0.36%	1.55%	0.00%	1.59%	0.30%	0.36%	0.17%	0.05%	1.06%	2.15%	0.53%	0.28%	0.20%	1.28%	0.13%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7185	362	363	358	371	328	313	392	311	415	377	319	329	302	399	354	367	290	196	336	333	341	29					
		18.14%	27.30%	18.71%	16.62%	18.04%	25.83%	15.31%	20.29%	17.17%	17.52%	18.13%	16.09%	16.99%	17.03%	18.80%	17.94%	26.27%	17.06%	13.51%	16.89%	17.72%	14.86%	22.31%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4001	212	292	209	296	319	197	273	204	240	232	177	201	10	9	215	261	29	37	183	194	202	9					
		10.10%	15.99%	15.05%	9.70%	14.40%	25.12%	9.64%	14.13%	11.26%	10.13%	11.15%	8.93%	10.38%	0.56%	0.42%	10.90%	18.68%	1.71%	2.55%	9.20%	10.32%	8.81%	6.92%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20031	301	1059	1238	1092	239	1061	788	907	1176	956	1056	1077	1071	1210	1040	285	1037	1012	1041	940	1411	34					
		50.57%	22.70%	54.59%	57.47%	53.11%	18.82%	51.91%	40.79%	50.08%	49.64%	45.96%	53.28%	55.63%	60.41%	57.02%	52.71%	20.40%	61.00%	69.75%	52.34%	50.03%	61.51%	26.15%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	155	14	1	3	0	20	9	7	4	0	20	5	11	3	1	7	13	5	6	11	13	1	1					
		0.39%	1.06%	0.05%	0.14%	0.00%	1.57%	0.44%	0.36%	0.22%	0.00%	0.96%	0.25%	0.57%	0.17%	0.05%	0.35%	0.93%	0.29%	0.41%	0.55%	0.69%	0.04%	0.77%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
