Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Шемышейская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195					
1	"Число избирателей, внесенных в списки"	15120	90	81	86	417	68	291	112	333	401	398	245	435	215	760	317	445	191	195	53	225	309	524	890	618	117	396	411	216	1224	1645	2078	1334					
2	"Число бюллетеней, полученных участковыми комиссиями"	13486	93	83	89	373	68	257	110	286	350	346	220	391	193	694	284	400	190	190	54	202	273	446	801	549	121	354	368	194	1074	1435	1822	1176					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9672	75	61	59	311	63	208	94	229	318	277	170	281	123	483	242	355	116	147	53	126	244	409	470	471	93	313	250	180	748	905	1120	678					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	939	8	13	11	38	0	45	7	13	16	66	12	56	37	20	29	33	38	8	0	43	27	24	114	37	19	38	47	0	39	36	34	31					
6	Число погашенных бюллетеней	2875	10	9	19	24	5	4	9	44	16	3	38	54	33	191	13	12	36	35	1	33	2	13	217	41	9	3	71	14	287	494	668	467					
7	Число бюллетеней в переносных ящиках для голосования	939	8	13	11	38	0	45	7	13	16	66	12	56	37	20	29	33	38	8	0	43	27	24	114	37	19	38	47	0	39	36	34	31					
8	Число бюллетеней в стационарных ящиках для голосования	9667	75	61	59	311	63	208	94	229	318	277	170	281	123	483	242	355	111	147	53	126	244	409	470	471	93	313	250	180	748	905	1120	678					
9	Число недействительных бюллетеней	174	0	1	0	0	0	0	0	4	0	3	4	13	0	16	2	22	0	0	2	7	2	1	24	5	0	10	8	0	11	14	9	16					
10	Число действительных бюллетеней	10432	83	73	70	349	63	253	101	238	334	340	178	324	160	487	269	366	149	155	51	162	269	432	560	503	112	341	289	180	776	927	1145	693					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	3	3	3	3	3	3	3	3	3	3	3	5	3	5	3	3	3	3	3	3	3	5	5	5	3	3	3	3	5	27	40	34					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	123	0	0	0	0	0	0	0	2	1	0	2	2	2	2	0	3	0	2	0	0	3	3	3	1	0	1	1	0	0	27	37	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	1	2	0	5	3	5	2	4	4	4	1	1	1	1	4	4	3	2	1	3	4	3	3	7	1	4	4	3	3	1	5	3					
14	Число погашенных открепительных удостоверений	77	3	3	3	3	3	3	3	1	2	3	1	3	1	3	3	0	3	1	3	3	0	2	2	4	3	2	2	3	5	0	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	171	0	0	0	8	0	3	0	3	0	1	4	8	0	10	2	3	1	0	0	2	7	9	18	8	0	6	1	2	34	16	13	12					
		1.61%	0.0%	0.0%	0.0%	2.29%	0.0%	1.18%	0.0%	1.23%	0.0%	0.29%	2.19%	2.37%	0.0%	1.98%	0.73%	0.77%	0.67%	0.0%	0.0%	1.18%	2.58%	2.07%	3.08%	1.57%	0.0%	1.70%	0.33%	1.11%	4.32%	1.70%	1.12%	1.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	48	0	0	0	0	0	0	0	2	1	0	0	1	0	5	0	0	0	1	0	0	2	2	7	1	0	0	0	0	4	8	7	7					
		0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.29%	0.0%	0.0%	0.29%	0.0%	0.99%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.73%	0.46%	1.19%	0.19%	0.0%	0.0%	0.0%	0.0%	0.50%	0.85%	0.60%	0.98%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	202	1	0	1	7	1	3	0	3	1	4	2	9	2	11	10	7	1	4	2	4	1	8	21	8	0	0	12	0	11	17	42	9					
		1.90%	1.20%	0.0%	1.42%	2.00%	1.58%	1.18%	0.0%	1.23%	0.29%	1.16%	1.09%	2.67%	1.25%	2.18%	3.69%	1.80%	0.67%	2.58%	3.77%	2.36%	0.36%	1.84%	3.59%	1.57%	0.0%	0.0%	4.04%	0.0%	1.39%	1.80%	3.63%	1.26%					
