Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
Наименование Избирательной комиссии:    Мишкинская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №1176					
1	"Число избирателей, внесенных в список избирателей"	15408	1138	493	1127	959	469	972	472	1096	159	333	677	113	787	56	206	93	504	277	927	409	801	146	345	69	324	217	220	207	106	86	312	115	247	212	73	661					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15400	1135	495	1120	960	470	980	445	1110	165	340	680	100	780	55	205	95	500	285	890	430	800	140	350	65	315	225	225	220	110	85	305	120	260	230	65	645					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7559	454	241	403	392	127	419	245	646	83	156	312	64	356	31	140	47	224	103	450	245	427	106	223	54	181	135	173	133	74	51	171	64	161	123	25	320					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1645	99	19	77	50	80	33	51	66	50	71	97	8	81	11	6	10	91	80	87	62	101	3	54	6	53	23	12	31	18	21	32	20	22	31	36	53					
6	Число погашенных избирательных бюллетеней	6196	582	235	640	518	263	528	149	398	32	113	271	28	343	13	59	38	185	102	353	123	272	31	73	5	81	67	40	56	18	13	102	36	77	76	4	272					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1645	99	19	77	50	80	33	51	66	50	71	97	8	81	11	6	10	91	80	87	62	101	3	54	6	53	23	12	31	18	21	32	20	22	31	36	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7559	454	241	403	392	127	419	245	646	83	156	312	64	356	31	140	47	224	103	450	245	427	106	223	54	181	135	173	133	74	51	171	64	161	123	25	320					
9	Число недействительных избирательных бюллетеней	121	6	4	6	5	4	7	5	10	2	1	5	0	2	0	0	0	5	0	6	5	11	3	4	0	10	3	0	3	1	2	4	0	2	1	2	2					
10	Число действительных избирательных бюллетеней	9083	547	256	474	437	203	445	291	702	131	226	404	72	435	42	146	57	310	183	531	302	517	106	273	60	224	155	185	161	91	70	199	84	181	153	59	371					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	390	26	10	25	20	12	20	12	23	5	5	13	3	13	2	5	3	10	8	18	10	18	2	16	2	10	8	8	6	3	3	8	3	17	27	1	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	387	26	10	25	20	12	17	12	23	5	5	13	3	13	2	5	3	10	8	18	10	18	2	16	2	10	8	8	6	3	3	8	3	17	27	1	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	117	11	3	8	5	5	6	6	6	1	2	5	3	5	0	0	0	3	2	10	2	2	0	1	0	6	0	5	2	1	1	3	1	0	5	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1149	76	43	79	83	16	61	41	82	11	25	48	13	48	3	15	14	28	15	66	38	57	3	51	8	16	18	19	15	13	6	32	8	20	20	14	44					
		12.48%	13.74%	16.54%	16.46%	18.78%	7.73%	13.50%	13.85%	11.52%	8.27%	11.01%	11.74%	18.06%	10.98%	7.14%	10.27%	24.56%	8.89%	8.20%	12.29%	12.38%	10.80%	2.75%	18.41%	13.33%	6.84%	11.39%	10.27%	9.15%	14.13%	8.33%	15.76%	9.52%	10.93%	12.99%	22.95%	11.80%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1408	86	37	65	64	39	70	44	89	27	42	63	10	58	6	31	14	56	30	79	57	103	25	24	8	42	10	14	27	12	3	34	8	41	28	7	55					
		15.30%	15.55%	14.23%	13.54%	14.48%	18.84%	15.49%	14.86%	12.50%	20.30%	18.50%	15.40%	13.89%	13.27%	14.29%	21.23%	24.56%	17.78%	16.39%	14.71%	18.57%	19.51%	22.94%	8.66%	13.33%	17.95%	6.33%	7.57%	16.46%	13.04%	4.17%	16.75%	9.52%	22.40%	18.18%	11.48%	14.75%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	76	2	1	4	5	3	4	6	3	0	1	4	2	1	0	3	1	1	2	5	2	5	1	2	2	1	4	0	3	0	1	1	0	2	1	0	3					
		0.83%	0.36%	0.38%	0.83%	1.13%	1.45%	0.88%	2.03%	0.42%	0.00%	0.44%	0.98%	2.78%	0.23%	0.00%	2.05%	1.75%	0.32%	1.09%	0.93%	0.65%	0.95%	0.92%	0.72%	3.33%	0.43%	2.53%	0.00%	1.83%	0.00%	1.39%	0.49%	0.00%	1.09%	0.65%	0.00%	0.80%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1957	135	70	102	86	39	132	64	108	26	50	105	13	75	6	41	10	45	49	113	65	89	8	44	13	56	35	84	38	9	25	46	20	36	30	4	86					
		21.26%	24.41%	26.92%	21.25%	19.46%	18.84%	29.20%	21.62%	15.17%	19.55%	22.03%	25.67%	18.06%	17.16%	14.29%	28.08%	17.54%	14.29%	26.78%	21.04%	21.17%	16.86%	7.34%	15.88%	21.67%	23.93%	22.15%	45.41%	23.17%	9.78%	34.72%	22.66%	23.81%	19.67%	19.48%	6.56%	23.06%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	85	6	5	2	6	1	4	5	14	5	1	2	0	1	0	1	0	0	1	3	3	3	0	4	0	5	0	0	1	1	1	1	2	2	2	0	3					
		0.92%	1.08%	1.92%	0.42%	1.36%	0.48%	0.88%	1.69%	1.97%	3.76%	0.44%	0.49%	0.00%	0.23%	0.00%	0.68%	0.00%	0.00%	0.55%	0.56%	0.98%	0.57%	0.00%	1.44%	0.00%	2.14%	0.00%	0.00%	0.61%	1.09%	1.39%	0.49%	2.38%	1.09%	1.30%	0.00%	0.80%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4374	241	100	221	190	105	172	130	405	61	105	180	34	251	26	55	18	178	86	262	135	258	69	146	29	104	88	67	77	56	34	82	46	78	72	34	179					
		47.52%	43.58%	38.46%	46.04%	42.99%	50.72%	38.05%	43.92%	56.88%	45.86%	46.26%	44.01%	47.22%	57.44%	61.90%	37.67%	31.58%	56.51%	46.99%	48.79%	43.97%	48.86%	63.30%	52.71%	48.33%	44.44%	55.70%	36.22%	46.95%	60.87%	47.22%	40.39%	54.76%	42.62%	46.75%	55.74%	47.99%					
