Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Лихославльская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660					
1	"Число избирателей, внесенных в список"	23757	20	1251	1451	1381	1281	667	156	652	525	385	221	455	422	661	818	439	370	256	476	334	295	190	180	1428	322	713	192	279	1328	1098	1318	1338	603	1384	829	39					
2	Число полученных избирательных бюллетеней	23277	22	1200	1400	1300	1250	650	165	650	500	380	220	450	400	650	800	430	380	260	480	330	300	194	184	1400	330	700	201	280	1300	1050	1300	1300	590	1390	800	41					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11523	20	692	619	647	650	237	56	312	238	237	93	192	180	279	399	197	226	126	207	131	145	67	87	756	174	332	102	93	651	481	762	711	264	765	377	18					
5	"Число избирательных бюллетеней, выданных вне помещения"	2136	0	16	57	72	37	101	46	85	80	49	76	130	96	138	56	90	52	63	95	98	62	68	33	22	86	77	19	97	24	37	38	45	28	13	29	21					
6	Число погашенных избирательных бюллетеней	9618	2	492	724	581	563	312	63	253	182	94	51	128	124	233	345	143	102	71	178	101	93	59	64	622	70	291	80	90	625	532	500	544	298	612	394	2					
7	Число избирательных бюллетеней в переносных ящиках	2136	0	16	57	72	37	101	46	85	80	49	76	130	96	138	56	90	52	63	95	98	62	68	33	22	86	77	19	97	24	37	38	45	28	13	29	21					
8	Число бюллетеней в стационарных ящиках для голосования	11519	20	692	619	647	650	237	56	312	238	237	93	192	180	279	397	197	226	126	207	131	145	67	87	756	174	332	102	93	651	481	762	710	264	764	377	18					
9	Число недействительных избирательных бюллетеней	62	0	1	8	1	4	0	0	3	4	4	0	1	0	0	3	0	2	0	2	2	0	1	1	5	0	0	2	1	4	2	4	3	1	0	3	0					
10	Число действительных избирательных бюллетеней	13593	20	707	668	718	683	338	102	394	314	282	169	321	276	417	450	287	276	189	300	227	207	134	119	773	260	409	119	189	671	516	796	752	291	777	403	39					
11	Число полученных открепительных  удостоверений	383	0	32	15	15	15	7	9	17	10	9	5	5	5	10	10	5	13	12	10	8	5	5	6	15	15	10	6	7	20	10	22	15	10	15	10	0					
12	Число выданных открепительных удостоверений	250	0	30	2	6	5	5	7	17	2	9	2	2	4	10	7	3	10	10	10	7	1	1	6	12	15	9	4	5	13	7	9	6	4	7	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	222	20	7	4	7	4	9	0	6	5	14	2	3	2	5	5	4	5	6	3	7	2	3	6	9	3	14	1	4	3	4	2	8	5	4	3	33					
14	Число неиспользованных открепительных удостоверений	133	0	2	13	9	10	2	2	0	8	0	3	3	1	0	3	2	3	2	0	1	4	4	0	3	0	1	2	2	7	3	13	9	6	8	7	0					
15	"Число открепительных удостоверений, выданных в ТИК"	46	0	1	7	0	0	0	0	0	2	0	1	0	1	2	0	0	0	1	2	1	0	1	2	0	2	0	1	1	4	5	4	1	1	4	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	360	3	24	12	17	21	3	1	11	7	3	7	7	6	7	12	3	3	4	5	0	4	3	1	21	0	20	1	6	27	8	27	16	12	29	29	0					
