Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
"Наименование Избирательной комиссии:    Киров, Первомайская"																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534					
1	"Число избирателей, внесенных в списки"	68571	2802	2249	1998	2318	1926	2530	2363	2126	2061	2532	2309	1442	1722	1647	1364	2536	2328	2271	2443	1392	2648	1414	1715	2195	1490	1487	1411	1865	2169	2075	2965	961	1199	1215	802	601					
2	"Число бюллетеней, полученных участковыми комиссиями"	63000	2500	2000	1800	2100	1800	2300	2200	2000	1900	2300	2100	1300	1600	1500	1200	2300	2100	2100	2200	1300	2400	1300	1600	2000	1400	1400	1300	1700	2000	1900	2700	900	1100	1200	800	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39155	1660	1194	1309	1390	1196	1702	1504	1366	1260	1560	1498	843	974	862	583	1341	1228	1355	1298	731	1469	935	852	1060	680	817	680	867	1267	1200	1785	352	672	578	486	601					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	876	22	18	36	19	26	26	39	26	20	14	41	15	23	66	16	12	27	32	25	15	19	31	22	12	20	22	40	74	14	23	16	26	15	16	8	0					
6	Число погашенных бюллетеней	22968	818	788	455	691	578	570	657	608	620	726	561	442	603	572	601	947	845	713	877	554	912	334	727	928	700	561	580	759	719	677	899	522	413	606	306	99					
7	Число бюллетеней в переносных ящиках для голосования	876	22	18	36	19	26	26	39	26	20	14	41	15	23	66	16	12	27	32	25	15	19	31	22	12	20	22	40	74	14	23	16	26	15	16	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	39098	1653	1193	1309	1390	1196	1699	1503	1366	1260	1560	1489	839	974	862	583	1334	1227	1355	1298	711	1469	935	852	1060	680	817	680	867	1266	1200	1783	352	671	578	486	601					
9	Число недействительных бюллетеней	646	23	15	14	17	11	16	23	14	19	11	15	6	6	6	18	8	20	15	11	7	13	26	21	45	18	17	16	43	44	15	28	4	28	17	16	20					
10	Число действительных бюллетеней	39328	1652	1196	1331	1392	1211	1709	1519	1378	1261	1563	1515	848	991	922	581	1338	1234	1372	1312	719	1475	940	853	1027	682	822	704	898	1236	1208	1771	374	658	577	478	581					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1300	50	50	35	50	35	45	45	35	35	45	40	30	30	30	25	45	45	45	45	25	50	30	30	40	30	30	30	40	45	40	50	20	30	30	20	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	494	17	8	15	16	21	11	20	17	15	25	24	16	9	13	4	35	12	20	44	15	18	10	7	8	7	11	8	7	8	13	17	1	5	9	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	986	32	12	10	13	21	24	15	18	22	34	37	10	22	22	7	17	12	33	20	9	15	15	14	9	5	11	6	16	12	13	14	7	18	3	11	427					
14	Число погашенных открепительных удостоверений	806	33	42	20	34	14	34	25	18	20	20	16	14	21	17	21	10	33	25	1	10	32	20	23	32	23	19	22	33	37	27	33	19	25	21	12	0					
15	Число открепительных удостоверений выданных ТИК	46	6	2	1	5	0	0	1	0	3	1	0	0	0	0	3	2	1	2	1	1	5	1	0	1	1	0	1	1	0	1	0	2	2	0	2	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	441	7	17	17	9	17	15	14	15	11	10	17	9	9	9	6	11	11	12	9	2	18	11	14	19	5	10	15	16	22	18	31	9	6	2	7	11					
		1.10%	0.41%	1.40%	1.26%	0.63%	1.39%	0.86%	0.90%	1.07%	0.85%	0.63%	1.11%	1.05%	0.90%	0.96%	1.00%	0.81%	0.87%	0.86%	0.68%	0.27%	1.20%	1.13%	1.60%	1.77%	0.71%	1.19%	2.08%	1.70%	1.71%	1.47%	1.72%	2.38%	0.87%	0.33%	1.41%	1.83%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3080	99	91	115	112	107	145	117	118	130	150	171	91	94	110	60	136	131	89	105	92	109	63	53	60	43	36	33	44	70	52	113	26	41	32	13	29					
