Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Каа-Хемская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84					
1	"Число избирателей, внесенных в списки"	7297	451	498	408	387	78	311	1435	1411	448	359	117	174	107	68	493	552					
2	"Число бюллетеней, полученных участковыми комиссиями"	6954	431	471	420	396	80	309	1300	1300	427	350	120	166	104	66	461	553					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	111	22	0	8	0	0	1	0	0	0	35	0	16	0	0	22	7					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4524	277	354	293	291	56	215	725	724	293	254	95	113	75	38	357	364					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	314	8	47	11	43	5	18	65	41	19	20	0	0	0	0	16	21					
6	Число погашенных бюллетеней	2005	124	70	108	62	19	75	510	535	115	41	25	37	29	28	66	161					
7	Число бюллетеней в переносных ящиках для голосования	425	30	47	19	43	5	19	65	41	19	55	0	16	0	0	38	28					
8	Число бюллетеней в стационарных ящиках для голосования	4524	277	354	293	291	56	215	725	724	293	254	95	113	75	38	357	364					
9	Число недействительных бюллетеней	130	17	12	9	4	1	8	24	12	8	4	0	0	0	0	17	14					
10	Число действительных бюллетеней	4819	290	389	303	330	60	226	766	753	304	305	95	129	75	38	378	378					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	192	10	10	15	30	0	3	32	30	5	21	1	5	5	5	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	135	0	10	14	25	0	1	31	16	3	21	0	0	0	0	4	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	4	6	3	6	0	3	9	8	2	4	8	3	0	0	3	4					
