Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Удомельская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1257					
1	"Число избирателей, внесенных в список избирателей"	33770	862	1522	2006	2014	1820	2040	1980	2040	1928	1994	1702	2026	1979	2187	718	543	256	312	333	232	109	89	182	698	534	118	241	313	518	593	568	241	443	114	515					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27900	700	1250	1600	1650	1450	1650	1600	1650	1550	1550	1400	1650	1600	1800	700	450	250	250	300	200	100	100	150	600	450	100	200	250	400	500	500	200	400	200	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17197	365	587	1211	1154	1001	1175	1030	999	1004	1070	927	1193	1076	1252	244	213	113	102	158	92	53	57	106	204	188	47	93	123	177	290	202	103	203	45	340					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1972	14	24	10	17	14	11	18	13	22	13	9	6	9	10	152	141	113	109	85	45	34	13	26	247	207	50	87	38	114	59	77	32	84	69	0					
6	Число погашенных избирательных бюллетеней	8731	321	639	379	479	435	464	552	638	524	467	464	451	515	538	304	96	24	39	57	63	13	30	18	149	55	3	20	89	109	151	221	65	113	86	160					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1972	14	24	10	17	14	11	18	13	22	13	9	6	9	10	152	141	113	109	85	45	34	13	26	247	207	50	87	38	114	59	77	32	84	69	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17191	365	587	1211	1154	1001	1174	1030	998	1002	1069	927	1193	1076	1252	244	212	113	102	158	92	53	57	106	204	188	47	93	123	177	290	202	103	203	45	340					
9	Число недействительных избирательных бюллетеней	297	4	8	24	30	17	18	24	8	24	13	19	8	23	22	11	6	1	2	2	1	1	0	0	4	0	0	2	1	1	5	5	1	5	0	7					
10	Число действительных избирательных бюллетеней	18866	375	603	1197	1141	998	1167	1024	1003	1000	1069	917	1191	1062	1240	385	347	225	209	241	136	86	70	132	447	395	97	178	160	290	344	274	134	282	114	333					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	754	13	20	25	32	23	24	26	13	14	23	29	21	26	30	24	40	17	20	30	20	20	25	25	30	45	15	11	5	15	38	15	15	25	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	748	12	19	25	31	23	24	26	13	14	21	29	21	26	29	24	40	17	20	30	20	20	25	25	30	45	15	11	5	15	38	15	15	25	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	609	10	15	32	22	54	43	57	26	25	69	19	19	15	21	7	10	4	8	6	4	0	6	9	6	11	7	3	6	20	15	9	6	4	14	27					
14	Число погашенных неиспользованных открепительных удостоверений	6	1	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	66	1	2	3	2	4	3	3	1	2	0	1	2	0	4	7	2	0	1	4	1	0	1	2	1	5	2	0	0	0	8	3	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3672	73	111	248	249	229	283	243	198	226	206	215	280	236	284	72	51	28	25	19	12	10	6	12	35	31	10	12	33	18	71	33	11	40	22	40					
		19.16%	19.26%	18.17%	20.31%	21.26%	22.56%	23.88%	23.19%	19.58%	22.07%	19.04%	22.97%	23.35%	21.75%	22.50%	18.18%	14.45%	12.39%	11.85%	7.82%	8.76%	11.49%	8.57%	9.09%	7.76%	7.85%	10.31%	6.67%	20.50%	6.19%	20.34%	11.83%	8.15%	13.94%	19.30%	11.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2532	61	76	158	159	138	182	130	130	124	156	119	131	129	162	70	36	40	7	30	12	11	10	20	62	62	6	23	31	23	42	30	24	34	18	86					
		13.21%	16.09%	12.44%	12.94%	13.58%	13.60%	15.36%	12.40%	12.86%	12.11%	14.42%	12.71%	10.93%	11.89%	12.84%	17.68%	10.20%	17.70%	3.32%	12.35%	8.76%	12.64%	14.29%	15.15%	13.75%	15.70%	6.19%	12.78%	19.25%	7.90%	12.03%	10.75%	17.78%	11.85%	15.79%	25.29%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	239	5	8	14	12	14	18	10	15	14	17	18	22	12	19	4	0	0	1	4	0	1	0	1	3	3	1	1	1	0	5	2	3	7	0	4					
		1.25%	1.32%	1.31%	1.15%	1.02%	1.38%	1.52%	0.95%	1.48%	1.37%	1.57%	1.92%	1.83%	1.11%	1.51%	1.01%	0.00%	0.00%	0.47%	1.65%	0.00%	1.15%	0.00%	0.76%	0.67%	0.76%	1.03%	0.56%	0.62%	0.00%	1.43%	0.72%	2.22%	2.44%	0.00%	1.18%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4073	80	149	280	269	213	253	235	225	246	230	211	256	253	300	75	56	33	30	46	24	24	18	11	86	84	9	18	28	47	69	51	23	54	35	52					
		21.25%	21.11%	24.39%	22.93%	22.97%	20.99%	21.35%	22.42%	22.26%	24.02%	21.26%	22.54%	21.35%	23.32%	23.77%	18.94%	15.86%	14.60%	14.22%	18.93%	17.52%	27.59%	25.71%	8.33%	19.07%	21.27%	9.28%	10.00%	17.39%	16.15%	19.77%	18.28%	17.04%	18.82%	30.70%	15.29%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	583	1	24	64	52	44	43	38	28	35	30	23	47	54	40	4	2	3	2	2	1	2	0	1	2	6	2	3	2	1	7	1	1	3	3	12					
