Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Хохольская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833	УИК №3834					
1	"Число избирателей, внесенных в список избирателей"	25660	2010	1445	801	2000	354	1407	291	1081	583	779	98	243	346	535	414	419	461	427	238	710	803	913	1333	985	1770	129	813	1249	652	579	248	384	367	793					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26175	2050	1500	800	2050	350	1450	300	1100	600	800	100	250	350	550	400	400	450	450	250	700	800	950	1350	1000	1800	125	800	1300	650	600	250	450	400	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14811	1368	743	318	932	104	641	60	403	257	368	50	132	152	277	180	200	296	170	94	435	710	600	934	747	1269	76	518	702	402	340	97	270	367	599					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6081	330	161	373	285	174	390	173	345	195	185	31	88	136	187	180	144	130	223	128	208	70	50	187	172	235	47	220	473	179	164	95	74	0	49					
6	Число погашенных избирательных бюллетеней	5283	352	596	109	833	72	419	67	352	148	247	19	30	62	86	40	56	24	57	28	57	20	300	229	81	296	2	62	125	69	96	58	106	33	152					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6081	330	161	373	285	174	390	173	345	195	185	31	88	136	187	180	144	130	223	128	208	70	50	187	172	235	47	220	473	179	164	95	74	0	49					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14808	1366	743	318	932	104	641	60	403	257	368	50	132	152	277	180	200	296	170	94	435	710	600	934	747	1269	76	517	702	402	340	97	270	367	599					
9	Число недействительных избирательных бюллетеней	340	14	15	0	19	2	9	0	2	2	5	2	3	15	3	1	2	4	60	14	15	50	3	6	3	5	0	11	34	6	15	7	8	2	3					
10	Число действительных избирательных бюллетеней	20549	1682	889	691	1198	276	1022	233	746	450	548	79	217	273	461	359	342	422	333	208	628	730	647	1115	916	1499	123	726	1141	575	489	185	336	365	645					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	580	38	32	11	35	3	22	11	14	7	26	2	12	25	30	10	19	10	10	5	13	8	30	40	19	27	0	16	30	6	9	5	40	0	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	580	38	32	11	35	3	22	11	14	7	26	2	12	25	30	10	19	10	10	5	13	8	30	40	19	27	0	16	30	6	9	5	40	0	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	219	12	9	0	17	0	13	7	4	3	3	8	2	4	2	5	2	7	2	6	6	11	5	6	6	13	4	4	17	10	4	17	5	0	5					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2174	186	123	82	160	26	95	22	81	43	49	6	9	34	42	14	21	23	5	14	83	152	77	140	86	142	16	83	87	50	50	11	40	29	93					
		10.41%	10.97%	13.61%	11.87%	13.15%	9.35%	9.21%	9.44%	10.83%	9.51%	8.86%	7.41%	4.09%	11.81%	9.05%	3.89%	6.10%	5.40%	1.27%	6.31%	12.91%	19.49%	11.85%	12.49%	9.36%	9.44%	13.01%	11.26%	7.40%	8.61%	9.92%	5.73%	11.63%	7.90%	14.35%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1280	105	102	28	92	25	36	28	56	16	39	3	8	10	27	15	24	20	7	2	45	44	54	69	52	63	2	36	50	40	26	5	26	58	67					
		6.13%	6.19%	11.28%	4.05%	7.56%	8.99%	3.49%	12.02%	7.49%	3.54%	7.05%	3.70%	3.64%	3.47%	5.82%	4.17%	6.98%	4.69%	1.78%	0.90%	6.99%	5.64%	8.31%	6.16%	5.66%	4.19%	1.63%	4.88%	4.26%	6.88%	5.16%	2.60%	7.56%	15.80%	10.34%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	129	18	10	8	7	0	8	0	5	3	4	0	2	0	1	2	0	0	0	0	2	2	5	9	8	7	2	6	2	1	3	0	2	7	5					
		0.62%	1.06%	1.11%	1.16%	0.58%	0.00%	0.78%	0.00%	0.67%	0.66%	0.72%	0.00%	0.91%	0.00%	0.22%	0.56%	0.00%	0.00%	0.00%	0.00%	0.31%	0.26%	0.77%	0.80%	0.87%	0.47%	1.63%	0.81%	0.17%	0.17%	0.60%	0.00%	0.58%	1.91%	0.77%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3509	349	251	132	285	33	140	30	157	70	54	9	9	23	36	30	45	30	25	19	139	130	176	180	229	223	9	142	136	81	69	22	81	47	118					
		16.80%	20.58%	27.77%	19.10%	23.42%	11.87%	13.58%	12.88%	20.99%	15.49%	9.76%	11.11%	4.09%	7.99%	7.76%	8.33%	13.08%	7.04%	6.36%	8.56%	21.62%	16.67%	27.08%	16.06%	24.92%	14.83%	7.32%	19.27%	11.57%	13.94%	13.69%	11.46%	23.55%	12.81%	18.21%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	193	25	14	5	15	1	18	2	5	2	0	1	1	1	3	0	0	4	2	0	17	5	11	2	6	9	1	7	11	5	5	4	2	3	6					
		0.92%	1.47%	1.55%	0.72%	1.23%	0.36%	1.75%	0.86%	0.67%	0.44%	0.00%	1.23%	0.45%	0.35%	0.65%	0.00%	0.00%	0.94%	0.51%	0.00%	2.64%	0.64%	1.69%	0.18%	0.65%	0.60%	0.81%	0.95%	0.94%	0.86%	0.99%	2.08%	0.58%	0.82%	0.93%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13198	989	387	429	634	190	722	151	439	314	402	60	188	205	349	298	252	345	294	173	341	397	321	715	534	1053	92	449	853	396	335	139	183	218	351					
		63.18%	58.31%	42.81%	62.08%	52.10%	68.35%	70.03%	64.81%	58.69%	69.47%	72.69%	74.07%	85.45%	71.18%	75.22%	82.78%	73.26%	80.99%	74.81%	77.93%	53.03%	50.90%	49.38%	63.78%	58.11%	70.01%	74.80%	60.92%	72.60%	68.16%	66.47%	72.40%	53.20%	59.40%	54.17%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	66	10	2	7	5	1	3	0	3	2	0	0	0	0	3	0	0	0	0	0	1	0	3	0	1	2	1	3	2	2	1	4	2	3	5					
		0.32%	0.59%	0.22%	1.01%	0.41%	0.36%	0.29%	0.00%	0.40%	0.44%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.46%	0.00%	0.11%	0.13%	0.81%	0.41%	0.17%	0.34%	0.20%	2.08%	0.58%	0.82%	0.77%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
