Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    Хохольская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831	УИК №3832	УИК №3833					
1	"Число избирателей, внесенных в списки избирателей"	26479	2159	1398	820	2106	341	1403	323	1053	544	742	121	257	398	507	428	415	549	490	277	1520	835	909	1352	1092	1748	135	850	1292	622	583	317	449	444					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26000	1800	1200	800	1900	350	1300	350	1000	550	750	150	250	400	550	450	400	500	500	300	1400	800	900	1400	1000	1700	150	900	1300	650	600	350	500	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15119	1105	704	519	1143	159	654	107	527	177	368	72	160	203	213	200	169	262	160	111	1022	604	678	734	768	1211	74	488	839	427	402	137	278	444					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4850	163	149	140	210	92	169	185	209	238	145	31	90	111	157	153	98	238	283	141	192	93	56	104	117	315	45	210	224	140	140	125	87	0					
6	Число погашенных избирательных бюллетеней	6031	532	347	141	547	99	477	58	264	135	237	47	0	86	180	97	133	0	57	48	186	103	166	562	115	174	31	202	237	83	58	88	135	406					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4850	163	149	140	210	92	169	185	209	238	145	31	90	111	157	153	98	238	283	141	192	93	56	104	117	315	45	210	224	140	140	125	87	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15119	1105	704	519	1143	159	654	107	527	177	368	72	160	203	213	200	169	262	160	111	1022	604	678	734	768	1211	74	488	839	427	402	137	278	444					
9	Число недействительных избирательных бюллетеней	245	16	12	1	5	4	8	0	18	0	9	1	1	30	1	0	3	3	55	2	10	7	4	7	16	6	0	2	4	3	5	1	3	8					
10	Число действительных избирательных бюллетеней	19724	1252	841	658	1348	247	815	292	718	415	504	102	249	284	369	353	264	497	388	250	1204	690	730	831	869	1520	119	696	1059	564	537	261	362	436					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	459	39	18	8	24	3	13	11	10	5	10	2	5	6	32	6	12	5	9	6	14	8	29	47	10	16	2	13	27	6	5	3	55	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	445	29	18	8	22	3	13	11	10	5	10	2	5	6	32	6	10	5	9	6	14	8	29	47	10	16	2	13	27	6	5	3	55	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	165	29	7	1	5	0	4	3	2	2	0	3	0	1	5	0	4	2	7	6	9	6	8	5	9	7	4	2	14	6	0	4	10	0					
14	Число погашенных неиспользованных открепительных удостоверений	14	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	1.Политическая партия «Аграрная партия России»	382	29	22	11	27	12	23	8	19	5	19	0	7	3	16	12	2	4	9	4	28	24	12	8	18	18	0	6	19	7	2	1	4	3					
		1.91%	2.29%	2.58%	1.67%	1.99%	4.78%	2.79%	2.74%	2.58%	1.20%	3.70%	0.00%	2.80%	0.96%	4.32%	3.40%	0.75%	0.80%	2.03%	1.59%	2.31%	3.44%	1.63%	0.95%	2.03%	1.18%	0.00%	0.86%	1.79%	1.23%	0.37%	0.38%	1.10%	0.68%					
19	2.Всероссийская политическая партия «Гражданская Сила»	64	7	2	5	11	0	5	0	0	2	0	0	0	0	0	2	1	0	3	0	7	6	2	0	2	2	0	2	0	0	1	2	1	1					
