Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Мариинская городская																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550					
1	"Число избирателей, внесенных в списки"	39394	564	1206	1358	1608	1577	1684	1260	1740	1492	1660	1890	1093	1307	1160	1368	1844	1359	1808	384	1022	155	298	91	549	145	65	592	258	982	145	152	892	308	232	227	125	348	48	283	262	174	507	203	198	615	271	1054	1213	74	52	215	361	160	52	238	125	225	116					
2	"Число бюллетеней, полученных участковыми комиссиями"	39535	866	1206	1328	1612	1549	1656	1285	1742	1507	1660	1926	990	1227	1094	1420	1785	1307	1776	395	1077	157	309	94	543	145	66	613	253	992	142	155	900	313	242	232	126	350	51	295	267	204	506	209	202	595	268	1065	1220	74	52	222	357	150	53	230	137	218	120					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23813	482	487	728	1037	895	730	562	968	792	814	886	466	688	731	724	938	768	1036	283	600	129	245	91	406	123	60	418	229	764	97	130	774	299	213	175	125	324	46	231	219	150	374	115	190	432	248	551	639	64	51	183	302	125	52	211	121	184	108					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3170	82	70	88	61	98	99	122	57	146	83	155	178	107	313	130	111	53	115	4	137	0	19	0	59	10	0	98	0	39	28	0	15	0	0	0	0	0	0	8	6	0	62	57	0	59	8	238	189	6	0	7	27	17	0	9	0	0	0					
6	Число погашенных бюллетеней	12552	302	649	512	514	556	827	601	717	569	763	885	346	432	50	566	736	486	625	108	340	28	45	3	78	12	6	97	24	189	17	25	111	14	29	57	1	26	5	56	42	54	70	37	12	104	12	276	392	4	1	32	28	8	1	10	16	34	12					
7	Число бюллетеней в переносных ящиках для голосования	3170	82	70	88	61	98	99	122	57	146	83	155	178	107	313	130	111	53	115	4	137	0	19	0	59	10	0	98	0	39	28	0	15	0	0	0	0	0	0	8	6	0	62	57	0	59	8	238	189	6	0	7	27	17	0	9	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	23813	482	487	728	1037	895	730	562	968	792	814	886	466	688	731	724	938	768	1036	283	600	129	245	91	406	123	60	418	229	764	97	130	774	299	213	175	125	324	46	231	219	150	374	115	190	432	248	551	639	64	51	183	302	125	52	211	121	184	108					
9	Число недействительных бюллетеней	416	7	25	5	18	7	4	4	1	35	11	15	7	43	8	6	0	9	59	0	11	2	5	0	8	1	0	4	0	18	0	0	14	1	0	5	0	3	0	1	9	1	21	0	8	14	11	3	3	0	0	2	0	1	3	0	0	2	1					
10	Число действительных бюллетеней	26567	557	532	811	1080	986	825	680	1024	903	886	1026	637	752	1036	848	1049	812	1092	287	726	127	259	91	457	132	60	512	229	785	125	130	775	298	213	170	125	321	46	238	216	149	415	172	182	477	245	786	825	70	51	188	329	141	49	220	121	182	107					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	850	5	25	30	30	30	30	30	30	30	30	30	25	25	25	30	30	25	30	10	10	5	10	5	10	5	5	35	10	10	5	10	20	10	5	5	5	5	5	10	5	5	10	10	10	20	10	20	20	5	5	5	10	5	5	5	5	5	5					
