Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Черняховская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42932	595	1940	1294	1372	1376	2158	1064	1269	2603	1924	1184	2082	2600	2168	2120	1248	1369	1226	1474	1651	1217	957	606	475	326	609	420	272	841	379	506	680	669	428	569	317	944									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39800	500	1800	1200	1300	1300	2000	1000	1200	2500	1800	1000	2000	2500	2000	2000	1200	1200	1100	1300	1600	1200	900	500	400	300	500	400	200	800	300	500	600	600	400	500	300	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16031	200	599	494	782	434	612	378	505	1003	765	422	784	1016	749	914	454	445	443	589	740	490	343	239	198	102	201	131	90	213	126	138	294	253	167	167	96	455									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1050	10	20	6	0	19	292	11	9	13	14	0	17	8	76	17	12	59	13	18	12	8	38	32	19	5	40	27	5	24	4	39	21	9	38	15	7	93									
6	Число погашенных избирательных бюллетеней	22719	290	1181	700	518	847	1096	611	686	1484	1021	578	1199	1476	1175	1069	734	696	644	693	848	702	519	229	183	193	259	242	105	563	170	323	285	338	195	318	197	352									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1050	10	20	6	0	19	292	11	9	13	14	0	17	8	76	17	12	59	13	18	12	8	38	32	19	5	40	27	5	24	4	39	21	9	38	15	7	93									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16008	200	599	493	782	434	612	378	501	1003	763	422	783	1013	749	906	454	445	441	589	740	490	343	239	198	102	201	131	89	213	126	138	294	253	167	167	96	454									
9	Число недействительных избирательных бюллетеней	595	13	16	14	24	14	34	13	5	21	31	10	25	18	26	30	16	10	15	22	22	11	28	17	10	5	7	3	5	7	25	7	12	7	1	9	7	55									
10	Число действительных избирательных бюллетеней	16463	197	603	485	758	439	870	376	505	995	746	412	775	1003	799	893	450	494	439	585	730	487	353	254	207	102	234	155	89	230	105	170	303	255	204	173	96	492									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	420	10	10	10	20	10	10	10	10	20	10	20	10	10	10	20	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	169	0	6	9	10	6	7	2	4	14	4	12	5	10	10	12	6	2	10	10	8	7	1	0	0	0	0	0	0	0	4	1	3	1	0	2	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	189	1	2	7	5	1	12	26	4	4	8	45	12	5	3	7	6	1	4	9	8	3	1	0	0	1	2	0	0	2	1	1	1	0	0	0	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	251	10	4	1	10	4	3	8	6	6	6	8	5	0	0	8	4	8	0	10	2	3	9	10	10	10	10	10	10	10	6	9	7	9	10	8	10	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	66	0	4	2	5	2	4	2	4	4	4	1	5	2	1	1	1	2	3	6	4	3	0	1	0	0	0	1	0	2	0	0	0	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	252	3	5	6	15	8	55	6	9	15	6	5	12	15	8	9	3	3	7	14	13	7	2	1	2	2	2	1	0	0	2	2	2	3	4	2	1	2									
		1.48%	1.43%	0.81%	1.20%	1.92%	1.77%	6.08%	1.54%	1.76%	1.48%	0.77%	1.18%	1.50%	1.47%	0.97%	0.98%	0.64%	0.60%	1.54%	2.31%	1.73%	1.41%	0.52%	0.37%	0.92%	1.87%	0.83%	0.63%	0.00%	0.00%	1.54%	1.13%	0.63%	1.15%	1.95%	1.10%	0.97%	0.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	642	3	13	11	26	24	36	23	22	47	31	12	29	40	32	42	26	24	19	19	32	21	12	15	5	4	9	5	2	4	8	6	7	8	2	9	1	13									
		3.76%	1.43%	2.10%	2.20%	3.32%	5.30%	3.98%	5.91%	4.31%	4.63%	3.99%	2.84%	3.63%	3.92%	3.88%	4.55%	5.58%	4.76%	4.19%	3.13%	4.26%	4.22%	3.15%	5.54%	2.30%	3.74%	3.73%	3.16%	2.13%	1.69%	6.15%	3.39%	2.22%	3.05%	0.98%	4.95%	0.97%	2.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	316	3	14	12	25	7	18	7	12	24	12	6	14	14	16	15	2	12	8	11	17	11	8	3	2	2	5	4	0	3	3	5	3	6	4	3	1	4									
		1.85%	1.43%	2.26%	2.40%	3.20%	1.55%	1.99%	1.80%	2.35%	2.36%	1.54%	1.42%	1.75%	1.37%	1.94%	1.63%	0.43%	2.38%	1.76%	1.81%	2.26%	2.21%	2.10%	1.11%	0.92%	1.87%	2.07%	2.53%	0.00%	1.27%	2.31%	2.82%	0.95%	2.29%	1.95%	1.65%	0.97%	0.73%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6948	98	243	168	355	138	323	156	171	358	288	188	289	434	303	291	148	203	180	245	285	180	217	132	139	63	133	95	56	121	50	84	173	133	122	85	62	239									
