Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																		
Дата голосования: 02.12.2007																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    ТИК Свердловского района г.Перми																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490	УИК №3491					
1	"Число избирателей, внесенных в списки избирателей"	170546	2600	2657	2505	2911	2732	2390	2719	1556	2224	1990	2045	2566	1359	1439	1927	1253	1161	1199	1502	1535	1159	1944	1931	1481	1543	1228	1407	2305	1885	1804	1609	1528	2254	2412	2245	2499	2151	2246	2053	2170	2077	1904	2576	1756	2465	2526	1907	2149	2092	2473	1989	1722	2239	1784	1924	1654	2362	1619	2145	1919	1765	1516	2129	2643	1322	2660	2650	2555	2509	2123	2478	1976	2609	2421	2347	2168	1573	1769	1323	921	609	2536	2678	2495	119	281	140	48	185	170	422					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	151805	2300	2300	2200	2600	2400	2100	2400	1450	2000	2000	2000	2200	1250	1300	1800	1100	1000	1000	1300	1400	1000	1700	1700	1300	1400	1100	1200	2100	1600	1600	1400	1300	2000	2100	2000	2200	1900	2000	1800	1900	1800	1700	2300	1500	2100	2000	1700	1900	1900	2200	1800	1500	2000	1600	1700	1500	2100	1400	1900	1700	1600	1300	1900	2300	1300	2400	2400	2300	2200	1900	2200	1800	2300	2200	2100	1900	1400	1500	1200	900	600	2200	2400	2200	150	350	190	60	185	170	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	85920	1114	1304	1338	1627	1379	1256	1407	860	1132	1119	1168	1482	831	762	1073	779	635	581	720	688	612	937	1033	851	859	711	802	1143	1002	1001	878	748	1279	1244	1224	1069	1114	1198	968	1106	1073	832	1245	857	1097	1006	989	1142	1079	1204	924	749	1125	962	827	863	1216	659	1083	846	891	668	1035	1169	600	1185	1383	1055	1134	1053	1382	943	1352	1250	1259	1141	664	691	519	468	298	986	1298	1319	119	281	140	48	185	170	422					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1738	26	19	30	16	14	13	24	8	27	6	35	20	35	48	41	25	14	11	30	27	15	7	23	8	25	20	21	16	34	22	51	14	23	14	19	26	22	21	24	34	22	14	27	32	23	65	14	9	4	18	17	9	11	19	2	10	10	3	22	33	14	22	6	11	18	20	32	14	15	3	20	7	12	30	23	27	22	52	39	7	4	31	22	15	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	64147	1160	977	832	957	1007	831	969	582	841	875	797	698	384	490	686	296	351	408	550	685	373	756	644	441	516	369	377	941	564	577	471	538	698	842	757	1105	764	781	808	760	705	854	1028	611	980	929	697	749	817	978	859	742	864	619	871	627	874	738	795	821	695	610	859	1120	682	1195	985	1231	1051	844	798	850	936	920	818	732	714	757	642	425	298	1183	1080	866	31	69	50	12	0	0	78					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1738	26	19	30	16	14	13	24	8	27	6	35	20	35	48	41	25	14	11	30	27	15	7	23	8	25	20	21	16	34	22	51	14	23	14	19	26	22	21	24	34	22	14	27	32	23	65	14	9	4	18	17	9	11	19	2	10	10	3	22	33	14	22	6	11	18	20	32	14	15	3	20	7	12	30	23	27	22	52	39	7	4	31	22	15	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	85851	1114	1303	1336	1627	1379	1256	1401	860	1130	1119	1156	1482	831	762	1073	778	634	581	720	688	612	937	1033	851	859	711	802	1143	1002	1001	878	748	1276	1236	1218	1069	1114	1194	968	1103	1073	832	1239	857	1095	1006	989	1141	1079	1203	924	749	1125	962	827	862	1216	659	1083	845	889	668	1035	1168	599	1183	1383	1055	1134	1053	1382	943	1352	1250	1259	1140	664	690	519	468	298	986	1298	1319	119	281	140	48	185	170	422					
9	Число недействительных избирательных бюллетеней	1102	15	13	15	20	10	33	14	10	16	8	20	14	12	7	14	6	12	4	39	10	12	12	8	6	6	9	9	11	14	14	9	8	19	32	13	26	14	13	10	21	14	15	16	10	8	17	7	10	7	20	11	10	12	11	10	10	8	7	12	9	10	13	11	16	9	9	11	11	14	15	14	13	11	17	20	21	12	10	5	5	5	7	22	11	1	3	3	0	6	0	15					
10	Число действительных избирательных бюллетеней	86487	1125	1309	1351	1623	1383	1236	1411	858	1141	1117	1171	1488	854	803	1100	797	636	588	711	705	615	932	1048	853	878	722	814	1148	1022	1009	920	754	1280	1218	1224	1069	1122	1202	982	1116	1081	831	1250	879	1110	1054	996	1140	1076	1201	930	748	1124	970	819	862	1218	655	1093	869	893	677	1030	1163	608	1194	1404	1058	1135	1041	1388	937	1353	1263	1262	1146	674	732	553	470	297	1010	1298	1323	118	278	137	48	179	170	407					
