Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Невьянская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546					
1	"Число избирателей, внесенных в списки избирателей"	35081	2148	2125	1947	2194	2104	2022	1411	1005	959	986	1002	814	1068	114	322	56	2271	2617	2364	653	306	365	2020	388	127	549	136	234	37	642	458	136	684	144	209	464					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33350	2000	2000	1850	2100	2000	1950	1400	1100	850	950	900	700	1000	150	300	50	2250	2600	2300	600	250	300	2000	350	100	500	100	200	30	600	400	100	650	120	200	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20198	1120	1201	1251	1271	1350	1262	851	676	444	529	551	441	562	106	166	32	1274	1453	1365	414	164	188	961	195	80	328	85	170	27	387	278	94	450	93	148	231					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1296	62	26	50	40	33	55	78	40	74	20	43	29	32	8	12	4	121	47	79	4	29	61	78	45	15	30	7	17	3	58	32	3	32	4	9	16					
6	Число погашенных избирательных бюллетеней	11856	818	773	549	789	617	633	471	384	332	401	306	230	406	36	122	14	855	1100	856	182	57	51	961	110	5	142	8	13	0	155	90	3	168	23	43	153					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1295	62	26	50	40	33	55	78	40	73	20	43	29	32	8	12	4	121	47	79	4	29	61	78	45	15	30	7	17	3	58	32	3	32	4	9	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20196	1120	1201	1251	1271	1350	1262	851	676	444	529	551	441	562	106	166	32	1274	1453	1365	414	164	188	959	195	80	328	85	170	27	387	278	94	450	93	148	231					
9	Число недействительных избирательных бюллетеней	287	12	14	7	57	3	13	67	11	1	4	1	5	3	1	0	0	14	17	15	1	0	3	8	2	0	2	0	0	0	10	2	2	9	2	1	0					
10	Число действительных избирательных бюллетеней	21204	1170	1213	1294	1254	1380	1304	862	705	516	545	593	465	591	113	178	36	1381	1483	1429	417	193	246	1029	238	95	356	92	187	30	435	308	95	473	95	156	247					
