Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Богучарская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30175	2139	2504	830	1173	1515	1155	1808	303	362	392	452	106	2000	566	384	285	873	530	308	246	52	56	78	799	115	69	523	180	401	1176	266	392	825	556	319	262	394	887	283	136	549	272	505	143	115	455	2436									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30980	2120	2540	845	1200	1605	1200	1850	320	370	395	460	100	2045	580	390	300	895	535	325	260	65	55	90	815	115	70	535	185	415	1200	275	410	855	590	340	260	410	895	300	150	565	285	530	150	120	465	2500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22609	1805	2096	729	954	1175	941	1460	192	274	330	230	74	1489	377	194	203	599	333	221	161	28	44	60	642	78	45	362	123	266	763	207	189	613	359	204	190	267	702	132	86	377	190	298	125	88	310	2024									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4472	222	189	60	116	103	146	318	96	62	48	36	14	158	115	90	68	241	152	58	63	18	11	7	133	32	18	103	36	103	296	40	68	146	97	71	51	99	122	97	42	144	69	132	11	16	118	37									
6	Число погашенных избирательных бюллетеней	3899	93	255	56	130	327	113	72	32	34	17	194	12	398	88	106	29	55	50	46	36	19	0	23	40	5	7	70	26	46	141	28	153	96	134	65	19	44	71	71	22	44	26	100	14	16	37	439									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4472	222	189	60	116	103	146	318	96	62	48	36	14	158	115	90	68	241	152	58	63	18	11	7	133	32	18	103	36	103	296	40	68	146	97	71	51	99	122	97	42	144	69	132	11	16	118	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22609	1805	2096	729	954	1175	941	1460	192	274	330	230	74	1489	377	194	203	599	333	221	161	28	44	60	642	78	45	362	123	266	763	207	189	613	359	204	190	267	702	132	86	377	190	298	125	88	310	2024									
9	Число недействительных избирательных бюллетеней	195	12	14	4	12	0	16	5	2	7	1	8	0	11	0	1	0	1	1	2	1	0	0	0	0	1	0	10	3	2	0	0	9	6	7	8	0	0	3	3	0	11	0	3	0	0	0	31									
10	Число действительных избирательных бюллетеней	26886	2015	2271	785	1058	1278	1071	1773	286	329	377	258	88	1636	492	283	271	839	484	277	223	46	55	67	775	109	63	455	156	367	1059	247	248	753	449	267	241	366	821	226	128	510	259	427	136	104	428	2030									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	794	50	50	20	30	65	45	30	15	15	5	15	2	25	10	8	15	18	8	15	15	14	3	16	13	8	2	20	10	10	20	10	10	20	28	20	6	16	30	20	5	10	10	20	4	4	9	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	665	25	32	20	28	65	40	20	15	15	5	6	0	22	10	8	15	18	8	15	15	14	3	16	13	4	2	8	6	10	20	10	10	20	28	20	0	16	1	20	5	10	10	20	4	4	9	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	180	14	20	3	11	7	7	5	2	2	5	4	2	7	3	3	3	1	2	1	2	1	2	1	4	4	1	1	0	3	2	0	5	1	2	2	2	3	1	2	18	1	0	0	1	0	6	13									
14	Число погашенных неиспользованных открепительных удостоверений	129	25	18	0	2	0	5	10	0	0	0	9	2	3	0	0	0	0	0	0	0	0	0	0	0	4	0	12	4	0	0	0	0	0	0	0	6	0	29	0	0	0	0	0	0	0	0	0									
