Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
"Наименование Избирательной комиссии:    Красноярск, Центральная"																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504					
1	"Число избирателей, внесенных в списки"	46145	2230	1500	1124	800	1422	1968	1590	678	1563	1846	1878	1309	1951	1797	940	1145	1241	1700	1941	2517	1177	1618	1564	1552	1171	1263	2113	2109	565	974	899					
2	"Число бюллетеней, полученных участковыми комиссиями"	46025	2230	1500	1120	805	1430	1940	1595	680	1570	1860	1840	1300	1925	1760	880	1140	1245	1700	1950	2530	1190	1630	1580	1565	1180	1280	2130	2130	520	920	900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19033	1230	769	569	365	776	790	802	357	792	732	927	447	714	1022	516	591	577	962	855	857	475	470	360	343	268	243	644	629	276	355	320					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	667	35	21	11	7	17	40	26	16	17	9	77	5	9	79	80	17	14	33	16	16	16	8	28	9	13	14	9	22	0	0	3					
6	Число погашенных бюллетеней	26325	965	710	540	433	637	1110	767	307	761	1119	836	848	1202	659	284	532	654	705	1079	1657	699	1152	1192	1213	899	1023	1477	1479	244	565	577					
7	Число бюллетеней в переносных ящиках для голосования	667	35	21	11	7	17	40	26	16	17	9	77	5	9	79	80	17	14	33	16	16	16	8	28	9	13	14	9	22	0	0	3					
8	Число бюллетеней в стационарных ящиках для голосования	19023	1230	769	569	365	776	790	802	357	792	732	927	447	712	1016	515	591	577	962	854	857	475	470	360	343	268	243	644	629	276	355	320					
9	Число недействительных бюллетеней	192	8	3	5	3	5	3	3	9	9	0	2	8	4	28	7	2	2	7	12	3	8	12	5	4	5	0	11	12	2	2	8					
10	Число действительных бюллетеней	19498	1257	787	575	369	788	827	825	364	800	741	1002	444	717	1067	588	606	589	988	858	870	483	466	383	348	276	257	642	639	274	353	315					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	700	25	25	25	10	25	25	25	10	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	147	14	6	3	2	5	7	5	3	12	5	10	2	5	6	3	8	4	5	7	4	3	9	3	3	0	0	3	5	0	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	225	6	6	3	3	1	8	6	6	5	7	56	17	11	2	29	13	7	9	1	2	3	2	3	0	1	1	2	2	0	4	9					
14	Число погашенных открепительных удостоверений	553	11	19	22	8	20	18	20	7	13	20	15	23	20	19	22	17	21	20	18	21	22	16	22	22	25	25	22	20	10	7	8					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	123	11	3	7	0	9	4	4	1	6	3	5	4	6	5	5	3	0	0	2	7	2	3	2	4	3	4	3	7	3	7	0					
		0.62%	0.86%	0.37%	1.20%	0.0%	1.13%	0.48%	0.48%	0.26%	0.74%	0.40%	0.49%	0.88%	0.83%	0.45%	0.84%	0.49%	0.0%	0.0%	0.22%	0.80%	0.40%	0.62%	0.51%	1.13%	1.06%	1.55%	0.45%	1.07%	1.08%	1.97%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1215	77	42	55	23	35	78	53	18	63	68	78	31	48	53	46	47	43	78	36	38	31	18	17	14	14	10	31	14	17	15	24					
		6.17%	6.08%	5.31%	9.48%	6.18%	4.41%	9.39%	6.40%	4.82%	7.78%	9.17%	7.76%	6.85%	6.65%	4.84%	7.73%	7.73%	7.27%	7.83%	4.13%	4.35%	6.31%	3.76%	4.38%	3.97%	4.98%	3.89%	4.74%	2.15%	6.15%	4.22%	7.43%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	437	22	18	13	7	16	23	27	4	15	10	19	14	18	20	16	11	10	16	25	13	13	6	11	14	10	5	20	28	4	4	5					
		2.21%	1.73%	2.27%	2.24%	1.88%	2.01%	2.77%	3.26%	1.07%	1.85%	1.34%	1.89%	3.09%	2.49%	1.82%	2.68%	1.80%	1.69%	1.60%	2.87%	1.48%	2.64%	1.25%	2.83%	3.97%	3.55%	1.94%	3.06%	4.30%	1.44%	1.12%	1.54%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1349	96	78	37	17	68	69	68	22	64	50	83	32	49	82	59	39	59	57	54	48	38	27	18	21	14	14	24	23	7	10	22					
		6.85%	7.58%	9.87%	6.37%	4.56%	8.57%	8.31%	8.21%	5.89%	7.91%	6.74%	8.26%	7.07%	6.79%	7.48%	9.91%	6.41%	9.98%	5.72%	6.20%	5.49%	7.73%	5.64%	4.63%	5.96%	4.98%	5.44%	3.67%	3.53%	2.53%	2.81%	6.81%					
22	"5. ""За Русь Святую"""	105	8	5	3	7	3	4	3	1	5	2	1	3	2	4	2	6	3	2	7	3	5	4	1	2	3	3	3	4	2	3	1					
		0.53%	0.63%	0.63%	0.51%	1.88%	0.37%	0.48%	0.36%	0.26%	0.61%	0.26%	0.09%	0.66%	0.27%	0.36%	0.33%	0.98%	0.50%	0.20%	0.80%	0.34%	1.01%	0.83%	0.25%	0.56%	1.06%	1.16%	0.45%	0.61%	0.72%	0.84%	0.30%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	2	2	1	1	1	0	1	0	1	0	0	1	1	1	0	0	2	6	0	0	0	0	0	1	2	0	1	3	0	2	0					
		0.14%	0.15%	0.25%	0.17%	0.26%	0.12%	0.0%	0.12%	0.0%	0.12%	0.0%	0.0%	0.22%	0.13%	0.09%	0.0%	0.0%	0.33%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.71%	0.0%	0.15%	0.46%	0.0%	0.56%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	199	10	7	5	4	12	9	7	5	14	10	13	6	8	8	4	5	9	0	11	3	7	4	7	5	3	1	9	7	2	1	3					
		1.01%	0.79%	0.88%	0.86%	1.07%	1.51%	1.08%	0.84%	1.34%	1.73%	1.34%	1.29%	1.32%	1.10%	0.73%	0.67%	0.82%	1.52%	0.0%	1.26%	0.34%	1.42%	0.83%	1.80%	1.42%	1.06%	0.38%	1.37%	1.07%	0.72%	0.28%	0.92%					
25	"8. ""Народно-республиканская партия России"""	7	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0					
		0.03%	0.15%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%					
