Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Эжвинская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278					
1	"Число избирателей, внесенных в списки"	40917	2257	2367	2485	1609	2704	2413	2775	2644	2020	2080	2350	2248	2400	2445	1422	1219	2393	1393	1581	112					
2	"Число бюллетеней, полученных участковыми комиссиями"	36730	2000	2100	2200	2500	2400	2100	2400	2300	1800	1800	2000	2000	2100	2100	1200	1000	2100	1200	1300	130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22566	937	987	1316	1599	1586	1402	1712	1581	1165	1188	1326	1303	1398	1163	778	525	1016	777	778	29					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	323	67	8	9	10	13	9	11	10	10	15	15	15	19	6	6	13	6	9	17	55					
6	Число погашенных бюллетеней	13841	996	1105	875	891	801	689	677	709	625	597	659	682	683	931	416	462	1078	414	505	46					
7	Число бюллетеней в переносных ящиках для голосования	323	67	8	9	10	13	9	11	10	10	15	15	15	19	6	6	13	6	9	17	55					
8	Число бюллетеней в стационарных ящиках для голосования	22538	937	987	1316	1599	1586	1402	1688	1578	1165	1188	1326	1303	1398	1163	778	525	1016	777	777	29					
9	Число недействительных бюллетеней	242	27	18	10	10	7	4	21	11	9	13	12	21	23	18	5	4	7	16	5	1					
10	Число действительных бюллетеней	22619	977	977	1315	1599	1592	1407	1678	1577	1166	1190	1329	1297	1394	1151	779	534	1015	770	789	83					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	108	4	7	8	9	10	7	10	4	4	7	4	5	6	3	6	2	3	7	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	5	2	2	4	3	4	5	6	0	8	5	3	3	3	5	2	6	3	2	14					
14	Число погашенных открепительных удостоверений	92	6	3	2	1	0	3	10	6	6	3	6	5	4	7	4	8	7	3	8	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	257	18	13	13	12	9	14	19	20	17	6	11	15	22	11	10	9	15	11	12	0					
		1.12%	1.79%	1.30%	0.98%	0.74%	0.56%	0.99%	1.11%	1.25%	1.44%	0.49%	0.82%	1.13%	1.55%	0.94%	1.27%	1.67%	1.46%	1.39%	1.51%	0.0%					
