Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Тереньгульская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13414	1489	1645	1077	554	279	120	252	387	317	211	449	315	149	692	391	284	290	272	117	871	320	74	1198	938	565	158									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13901	1518	1673	1094	585	288	116	255	409	337	267	496	357	158	726	435	312	303	286	118	891	329	79	1197	952	556	164									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6074	647	711	432	252	135	65	119	159	100	147	269	185	84	311	286	136	204	129	60	342	122	37	505	352	152	133									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	988	54	50	39	59	46	12	19	26	51	20	35	29	22	66	85	28	21	30	17	36	26	4	90	72	50	1									
6	Число погашенных избирательных бюллетеней	6839	817	912	623	274	107	39	117	224	186	100	192	143	52	349	64	148	78	127	41	513	181	38	602	528	354	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	988	54	50	39	59	46	12	19	26	51	20	35	29	22	66	85	28	21	30	17	36	26	4	90	72	50	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6074	647	711	432	252	135	65	119	159	100	147	269	185	84	311	286	136	204	129	60	342	122	37	505	352	152	133									
9	Число недействительных избирательных бюллетеней	149	14	13	11	5	7	0	8	2	2	1	8	5	1	10	5	2	4	8	1	13	10	0	7	6	3	3									
10	Число действительных избирательных бюллетеней	6913	687	748	460	306	174	77	130	183	149	166	296	209	105	367	366	162	221	151	76	365	138	41	588	418	199	131									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	880	40	40	40	30	20	10	20	20	20	40	40	40	10	50	40	30	30	30	10	50	20	10	100	70	50	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	489	40	21	16	30	12	1	1	20	17	40	40	40	10	25	40	30	10	15	10	14	10	7	10	17	1	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	133	11	9	4	2	3	7	2	1	4	3	5	2	3	3	4	5	3	3	1	6	7	5	8	12	7	13									
14	Число погашенных неиспользованных открепительных удостоверений	391	0	19	24	0	8	9	19	0	3	0	0	0	0	25	0	0	20	15	0	36	10	3	90	53	49	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	80	14	14	5	1	0	0	1	2	2	17	9	2	0	5	6	0	0	0	0	1	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	73	5	10	5	3	2	0	2	1	4	0	5	2	0	3	2	4	2	0	0	13	1	3	3	1	0	2									
		1.03%	0.71%	1.31%	1.06%	0.96%	1.10%	0.00%	1.45%	0.54%	2.65%	0.00%	1.64%	0.93%	0.00%	0.80%	0.54%	2.44%	0.89%	0.00%	0.00%	3.44%	0.68%	7.32%	0.50%	0.24%	0.00%	1.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	221	29	28	11	12	5	1	5	9	6	4	9	11	3	7	2	6	4	3	4	16	5	2	16	12	8	3									
		3.13%	4.14%	3.68%	2.34%	3.86%	2.76%	1.30%	3.62%	4.86%	3.97%	2.40%	2.96%	5.14%	2.83%	1.86%	0.54%	3.66%	1.78%	1.89%	5.19%	4.23%	3.38%	4.88%	2.69%	2.83%	3.96%	2.24%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	126	15	22	8	8	3	2	5	5	9	3	1	3	0	1	2	3	3	3	4	5	1	0	8	9	3	0									
		1.78%	2.14%	2.89%	1.70%	2.57%	1.66%	2.60%	3.62%	2.70%	5.96%	1.80%	0.33%	1.40%	0.00%	0.27%	0.54%	1.83%	1.33%	1.89%	5.19%	1.32%	0.68%	0.00%	1.34%	2.12%	1.49%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3595	304	317	189	160	97	34	56	67	60	85	196	64	90	272	291	98	126	76	35	186	64	21	279	224	101	103									
		50.91%	43.37%	41.66%	40.13%	51.45%	53.59%	44.16%	40.58%	36.22%	39.74%	50.90%	64.47%	29.91%	84.91%	72.15%	78.44%	59.76%	56.00%	47.80%	45.45%	49.21%	43.24%	51.22%	46.89%	52.83%	50.00%	76.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	2	1	1	1	1	1	1	2	0	1	2	1	0	2	0	0	0	1	0	2	0	0	0	3	0	0									
		0.31%	0.29%	0.13%	0.21%	0.32%	0.55%	1.30%	0.72%	1.08%	0.00%	0.60%	0.66%	0.47%	0.00%	0.53%	0.00%	0.00%	0.00%	0.63%	0.00%	0.53%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	0	0	1	1	1	0	1	0	1	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0									
		0.16%	0.00%	0.00%	0.00%	0.32%	0.55%	1.30%	0.00%	0.54%	0.00%	0.60%	0.33%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1227	145	137	119	47	24	22	27	42	25	40	33	38	4	32	33	22	32	39	9	66	21	7	143	65	39	16									
		17.37%	20.68%	18.00%	25.27%	15.11%	13.26%	28.57%	19.57%	22.70%	16.56%	23.95%	10.86%	17.76%	3.77%	8.49%	8.89%	13.41%	14.22%	24.53%	11.69%	17.46%	14.19%	17.07%	24.03%	15.33%	19.31%	11.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	2	3	2	3	2	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.24%	0.29%	0.39%	0.42%	0.96%	1.10%	0.00%	0.00%	0.00%	0.66%	0.00%	0.66%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	102	19	13	10	3	1	0	10	3	2	1	5	2	0	5	1	3	2	0	0	3	1	0	16	2	0	0									
		1.44%	2.71%	1.71%	2.12%	0.96%	0.55%	0.00%	7.25%	1.62%	1.32%	0.60%	1.64%	0.93%	0.00%	1.33%	0.27%	1.83%	0.89%	0.00%	0.00%	0.79%	0.68%	0.00%	2.69%	0.47%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	2	3	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	1	0	0	2	1	0	0									
		0.21%	0.29%	0.39%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.44%	0.63%	0.00%	0.26%	0.00%	0.00%	0.34%	0.24%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	83	12	13	4	8	2	1	0	2	2	1	5	4	2	0	5	1	3	0	2	2	2	0	2	10	0	0									
		1.18%	1.71%	1.71%	0.85%	2.57%	1.10%	1.30%	0.00%	1.08%	1.32%	0.60%	1.64%	1.87%	1.89%	0.00%	1.35%	0.61%	1.33%	0.00%	2.60%	0.53%	1.35%	0.00%	0.34%	2.36%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1249	131	180	97	53	33	12	19	43	36	22	36	78	6	35	26	24	42	22	21	57	40	7	104	80	39	6									
		17.69%	18.69%	23.65%	20.59%	17.04%	18.23%	15.58%	13.77%	23.24%	23.84%	13.17%	11.84%	36.45%	5.66%	9.28%	7.01%	14.63%	18.67%	13.84%	27.27%	15.08%	27.03%	17.07%	17.48%	18.87%	19.31%	4.48%									
