Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    ТИК Ильинского МР																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226					
1	"Число избирателей, внесенных в списки избирателей"	16092	1766	1529	1462	425	374	367	578	334	245	197	500	310	536	390	545	1260	359	284	341	480	119	167	164	1125	1256	979					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16024	1750	1500	1400	420	400	380	600	350	250	200	500	350	550	400	550	1240	350	300	300	500	120	180	180	1150	1200	904					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7868	912	815	672	210	207	150	281	162	133	136	247	202	256	167	215	530	178	165	148	235	59	88	56	565	622	457					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1816	55	58	80	54	22	101	164	39	2	12	91	45	92	33	122	216	46	11	60	79	18	22	60	144	107	83					
6	Число погашенных избирательных бюллетеней	6340	783	627	648	156	171	129	155	149	115	52	162	103	202	200	213	494	126	124	92	186	43	70	64	441	471	364					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1816	55	58	80	54	22	101	164	39	2	12	91	45	92	33	122	216	46	11	60	79	18	22	60	144	107	83					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7866	912	815	670	210	207	150	281	162	133	136	247	202	256	167	215	530	178	165	148	235	59	88	56	565	622	457					
9	Число недействительных избирательных бюллетеней	95	7	7	8	3	4	2	2	3	1	4	0	0	2	2	3	23	3	4	2	2	1	1	0	1	4	6					
10	Число действительных избирательных бюллетеней	9587	960	866	742	261	225	249	443	198	134	144	338	247	346	198	334	723	221	172	206	312	76	109	116	708	725	534					
