Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Богородская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246					
1	"Число избирателей, внесенных в списки"	56267	1261	1712	833	1272	2374	1090	1683	850	1151	1578	1160	1885	808	2405	2335	1570	2168	2220	1815	832	901	359	553	623	607	1124	2698	1543	120	1339	1545	199	463	1332	265	522	425	835	396	1550	563	1911	373	620	980	339	205	79	979	251	438	533	595					
2	"Число бюллетеней, полученных участковыми комиссиями"	50886	1145	1525	750	1155	2195	1020	1550	806	1040	1410	1065	1700	730	2185	2135	1465	1970	2015	1640	750	790	320	480	560	545	1025	2425	1450	106	1190	1355	168	410	1220	263	480	384	765	355	1365	485	1690	338	590	870	293	172	72	870	209	396	464	530					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24120	503	742	333	494	1048	495	772	330	488	613	489	942	265	837	1147	670	997	1037	746	366	501	154	254	282	156	364	1214	1036	33	476	669	74	192	552	56	154	175	353	106	592	231	640	174	250	413	178	93	46	435	164	252	284	253					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2630	8	20	10	42	41	23	13	34	24	39	37	39	27	94	49	48	17	16	44	6	27	27	21	117	52	23	30	38	24	144	5	27	95	83	68	120	85	64	96	144	49	146	11	115	123	11	1	4	56	15	16	49	113					
6	Число погашенных бюллетеней	24135	634	763	407	619	1106	502	764	442	528	758	539	719	438	1254	939	747	956	962	850	378	262	139	205	161	337	638	1181	376	49	570	681	67	123	585	139	206	124	348	153	629	205	904	153	225	334	104	78	22	379	30	128	131	164					
7	Число бюллетеней в переносных ящиках для голосования	2630	8	20	10	42	41	23	13	34	24	39	37	39	27	94	49	48	17	16	44	6	27	27	21	117	52	23	30	38	24	144	5	27	95	83	68	120	85	64	96	144	49	146	11	115	123	11	1	4	56	15	16	49	113					
8	Число бюллетеней в стационарных ящиках для голосования	24120	503	742	333	494	1048	495	774	330	488	613	489	942	265	836	1147	670	996	1037	746	366	501	154	254	282	156	364	1214	1036	33	476	669	74	192	552	56	154	175	353	106	592	231	640	174	250	413	178	93	46	435	164	252	284	253					
9	Число недействительных бюллетеней	719	8	15	10	11	20	11	13	11	22	23	16	17	7	23	23	16	26	28	12	10	14	4	9	8	6	20	40	22	0	21	16	2	11	17	4	7	17	10	6	9	20	23	0	10	26	7	5	5	14	5	17	15	7					
10	Число действительных бюллетеней	26031	503	747	333	525	1069	507	774	353	490	629	510	964	285	907	1173	702	987	1025	778	362	514	177	266	391	202	367	1204	1052	57	599	658	99	276	618	120	267	243	407	196	727	260	763	185	355	510	182	89	45	477	174	251	318	359					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1130	20	25	15	20	35	20	25	15	20	20	20	25	15	35	35	25	35	35	25	15	15	10	15	15	15	20	35	170	10	20	20	10	10	20	10	15	10	15	10	20	15	25	10	15	15	10	10	10	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	268	2	11	3	1	7	6	8	6	3	6	3	11	1	6	14	7	24	20	9	4	2	0	2	0	0	3	0	61	0	0	3	1	1	5	0	0	2	8	1	5	0	3	2	1	2	0	2	0	9	1	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	232	3	6	3	4	8	3	5	2	5	5	3	7	1	6	1	4	5	10	5	3	3	4	4	2	2	7	3	29	4	4	6	4	1	5	0	0	2	4	5	8	7	3	2	6	4	3	3	0	3	5	2	3	5					
14	Число погашенных открепительных удостоверений	862	18	14	12	19	28	14	17	9	17	14	17	14	14	29	21	18	11	15	16	11	13	10	13	15	15	17	35	109	10	20	17	9	9	15	10	15	8	7	9	15	15	22	8	14	13	10	8	10	6	14	13	15	15					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	"1. ""ЕДИНЕНИЕ"""	545	9	16	9	7	10	11	13	9	11	11	11	5	5	24	12	8	19	15	10	6	14	6	5	9	0	10	35	41	4	13	18	3	3	11	5	7	13	8	1	22	11	17	2	5	10	8	5	0	14	6	8	6	4					
		2.03%	1.76%	2.09%	2.62%	1.30%	0.91%	2.12%	1.65%	2.47%	2.14%	1.68%	2.09%	0.50%	1.71%	2.58%	1.00%	1.11%	1.87%	1.42%	1.26%	1.61%	2.65%	3.31%	1.81%	2.25%	0.0%	2.58%	2.81%	3.81%	7.01%	2.09%	2.67%	2.97%	1.04%	1.73%	4.03%	2.55%	5.0%	1.91%	0.49%	2.98%	3.92%	2.16%	1.08%	1.36%	1.86%	4.23%	5.31%	0.0%	2.85%	3.35%	2.98%	1.80%	1.09%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1044	32	47	17	23	56	12	41	17	21	19	34	47	11	26	57	31	39	42	36	12	14	5	3	12	12	7	39	43	1	9	20	7	7	21	5	10	5	20	6	41	9	44	9	14	17	6	2	0	16	5	2	6	7					
		3.90%	6.26%	6.16%	4.95%	4.29%	5.14%	2.31%	5.20%	4.67%	4.10%	2.91%	6.46%	4.79%	3.76%	2.79%	4.76%	4.31%	3.84%	3.98%	4.55%	3.22%	2.65%	2.76%	1.09%	3.00%	5.76%	1.80%	3.13%	4.00%	1.75%	1.45%	2.96%	6.93%	2.43%	3.30%	4.03%	3.64%	1.92%	4.79%	2.97%	5.57%	3.21%	5.59%	4.86%	3.83%	3.17%	3.17%	2.12%	0.0%	3.25%	2.79%	0.74%	1.80%	1.91%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	938	12	27	10	22	43	17	22	15	13	19	13	40	13	39	65	40	32	32	24	9	12	10	10	18	6	17	39	22	5	49	11	6	14	15	10	14	6	13	7	19	9	30	10	13	14	10	0	1	10	5	3	10	13					
		3.50%	2.34%	3.54%	2.91%	4.10%	3.94%	3.28%	2.79%	4.12%	2.53%	2.91%	2.47%	4.07%	4.45%	4.19%	5.43%	5.57%	3.15%	3.03%	3.03%	2.41%	2.27%	5.52%	3.63%	4.51%	2.88%	4.39%	3.13%	2.04%	8.77%	7.90%	1.63%	5.94%	4.87%	2.36%	8.06%	5.10%	2.30%	3.11%	3.46%	2.58%	3.21%	3.81%	5.40%	3.56%	2.61%	5.29%	0.0%	2.0%	2.03%	2.79%	1.11%	3.00%	3.55%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	519	8	27	16	16	18	12	16	7	13	9	10	20	16	24	31	13	22	22	20	11	6	3	2	8	2	3	19	27	0	7	11	1	0	13	2	1	4	8	4	12	2	10	3	4	15	2	1	2	6	2	0	2	6					
		1.94%	1.56%	3.54%	4.66%	2.98%	1.65%	2.31%	2.03%	1.92%	2.53%	1.38%	1.90%	2.03%	5.47%	2.58%	2.59%	1.81%	2.17%	2.08%	2.53%	2.95%	1.13%	1.65%	0.72%	2.00%	0.96%	0.77%	1.52%	2.51%	0.0%	1.12%	1.63%	0.99%	0.0%	2.04%	1.61%	0.36%	1.53%	1.91%	1.98%	1.63%	0.71%	1.27%	1.62%	1.09%	2.79%	1.05%	1.06%	4.0%	1.22%	1.11%	0.0%	0.60%	1.63%					
22	"5. ""За Русь Святую"""	186	2	1	1	2	5	4	1	2	4	10	3	5	3	7	8	3	4	7	4	3	3	3	1	6	8	0	8	7	1	4	3	1	5	7	0	0	0	2	2	7	6	10	4	0	3	0	3	1	4	1	2	3	2					
