Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Нолинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836					
1	"Число избирателей, внесенных в список"	19109	2351	2568	2709	2066	1609	231	374	231	209	317	282	925	693	370	172	634	317	916	111	164	136	760	787	177					
2	Число полученных избирательных бюллетеней	18950	2300	2600	2700	2050	1600	230	350	230	200	320	280	950	700	350	170	600	300	900	110	170	130	750	790	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10464	1290	1321	1600	1089	756	144	202	136	125	213	175	496	314	192	118	315	173	471	88	107	90	459	466	124					
5	"Число избирательных бюллетеней, выданных вне помещения"	1112	91	43	69	87	109	30	49	25	10	26	25	91	91	30	8	62	0	79	7	21	20	82	44	13					
6	Число погашенных избирательных бюллетеней	7374	919	1236	1031	874	735	56	99	69	65	81	80	363	295	128	44	223	127	350	15	42	20	209	280	33					
7	Число избирательных бюллетеней в переносных ящиках	1112	91	43	69	87	109	30	49	25	10	26	25	91	91	30	8	62	0	79	7	21	20	82	44	13					
8	Число бюллетеней в стационарных ящиках для голосования	10464	1290	1321	1600	1089	756	144	202	136	125	213	175	496	314	192	118	315	173	471	88	107	90	459	466	124					
9	Число недействительных избирательных бюллетеней	69	11	5	11	6	8	0	3	2	0	0	0	3	0	1	0	6	2	5	0	1	0	1	2	2					
10	Число действительных избирательных бюллетеней	11507	1370	1359	1658	1170	857	174	248	159	135	239	200	584	405	221	126	371	171	545	95	127	110	540	508	135					
11	Число полученных открепительных  удостоверений	197	30	20	24	15	15	3	5	3	6	10	5	5	7	3	6	5	3	5	3	3	3	10	5	3					
12	Число выданных открепительных удостоверений	89	9	9	14	8	3	2	1	2	3	7	2	3	7	1	4	5	0	0	2	1	1	2	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	19	7	2	6	6	0	1	2	1	0	0	2	3	0	1	1	0	2	0	0	2	3	1	2					
14	Число неиспользованных открепительных удостоверений	108	21	11	10	7	12	1	4	1	3	3	3	2	0	2	2	0	3	5	1	2	2	8	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	21	5	4	6	1	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	400	49	68	78	37	17	13	9	9	1	4	1	17	12	1	3	10	11	19	0	9	1	17	11	3					
		3.46%	3.55%	4.99%	4.67%	3.15%	1.97%	7.47%	3.59%	5.59%	0.74%	1.67%	0.50%	2.90%	2.96%	0.45%	2.38%	2.65%	6.36%	3.45%	0.00%	7.03%	0.91%	3.14%	2.16%	2.19%					
19	. Малышкин Олег Александрович	346	52	29	50	33	22	4	4	4	5	12	4	32	6	6	3	13	9	14	2	3	0	16	16	7					
		2.99%	3.77%	2.13%	3.00%	2.81%	2.54%	2.30%	1.59%	2.48%	3.70%	5.02%	2.00%	5.45%	1.48%	2.70%	2.38%	3.45%	5.20%	2.55%	2.11%	2.34%	0.00%	2.96%	3.14%	5.11%					
20	. Миронов Сергей Михайлович	113	15	12	30	9	3	2	2	1	0	1	1	10	4	0	0	4	2	6	0	0	0	9	2	0					
		0.98%	1.09%	0.88%	1.80%	0.77%	0.35%	1.15%	0.80%	0.62%	0.00%	0.42%	0.50%	1.70%	0.99%	0.00%	0.00%	1.06%	1.16%	1.09%	0.00%	0.00%	0.00%	1.66%	0.39%	0.00%					
21	. Путин Владимир Владимирович	7152	881	843	952	672	483	107	173	96	100	169	163	355	239	154	103	246	114	373	43	60	93	323	337	73					
		61.78%	63.79%	61.80%	57.04%	57.14%	55.84%	61.49%	68.92%	59.63%	74.07%	70.71%	81.50%	60.48%	59.01%	69.37%	81.75%	65.25%	65.90%	67.82%	45.26%	46.88%	84.55%	59.70%	66.08%	53.28%					
22	. Хакамада Ирина Муцуовна	232	36	43	43	25	10	0	3	3	1	4	1	9	9	1	0	9	4	7	0	3	2	13	5	1					
		2.00%	2.61%	3.15%	2.58%	2.13%	1.16%	0.00%	1.20%	1.86%	0.74%	1.67%	0.50%	1.53%	2.22%	0.45%	0.00%	2.39%	2.31%	1.27%	0.00%	2.34%	1.82%	2.40%	0.98%	0.73%					
23	. Харитонов Николай Михайлович	3054	308	338	450	379	317	46	54	45	24	47	29	148	129	57	12	79	29	113	48	48	13	159	133	49					
		26.38%	22.30%	24.78%	26.96%	32.23%	36.65%	26.44%	21.51%	27.95%	17.78%	19.67%	14.50%	25.21%	31.85%	25.68%	9.52%	20.95%	16.76%	20.55%	50.53%	37.50%	11.82%	29.39%	26.08%	35.77%					
																															
24	Против всех	210	29	26	55	15	5	2	3	1	4	2	1	13	6	2	5	10	2	13	2	4	1	3	4	2					
		1.81%	2.10%	1.91%	3.30%	1.28%	0.58%	1.15%	1.20%	0.62%	2.96%	0.84%	0.50%	2.21%	1.48%	0.90%	3.97%	2.65%	1.16%	2.36%	2.11%	3.12%	0.91%	0.55%	0.78%	1.46%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
