Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Катайская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18898	870	756	841	701	867	786	692	759	666	808	808	746	672	703	798	371	254	532	170	1361	256	330	135	402	650	597	129	211	119	173	431	131	186	143	233	121	490									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17400	800	700	800	650	800	750	600	700	600	750	750	700	600	620	700	350	230	500	150	1250	230	300	130	370	620	580	120	200	100	150	400	120	180	130	220	110	440									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7283	212	238	267	295	283	307	343	272	269	309	279	280	249	222	224	168	149	261	76	470	116	126	31	230	213	256	80	91	73	75	230	69	102	58	91	55	214									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	684	19	12	7	15	11	3	24	8	10	11	36	14	33	10	0	32	18	16	1	39	19	35	39	24	58	33	0	18	2	28	19	12	20	10	8	6	34									
6	Число погашенных избирательных бюллетеней	9433	569	450	526	340	506	440	233	420	321	430	435	406	318	388	476	150	63	223	73	741	95	139	60	116	349	291	40	91	25	47	151	39	58	62	121	49	192									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	684	19	12	7	15	11	3	24	8	10	11	36	14	33	10	0	32	18	16	1	39	19	35	39	24	58	33	0	18	2	28	19	12	20	10	8	6	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7282	212	238	267	295	283	307	343	272	269	309	279	280	249	222	224	168	149	261	76	469	116	126	31	230	213	256	80	91	73	75	230	69	102	58	91	55	214									
9	Число недействительных избирательных бюллетеней	117	3	7	2	5	2	5	3	6	2	5	4	7	5	3	6	4	0	0	2	9	1	2	2	2	6	8	2	2	2	2	1	1	3	0	0	0	3									
10	Число действительных избирательных бюллетеней	7849	228	243	272	305	292	305	364	274	277	315	311	287	277	229	218	196	167	277	75	499	134	159	68	252	265	281	78	107	73	101	248	80	119	68	99	61	245									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	405	6	7	13	10	12	13	3	4	7	7	10	9	7	7	3	20	5	25	5	20	5	10	15	25	35	37	5	10	5	5	23	2	5	5	6	4	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	383	6	7	13	9	12	13	3	4	7	7	10	9	7	5	3	20	5	25	1	20	5	5	15	25	35	37	5	10	0	5	23	2	5	0	6	4	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	190	7	7	13	7	14	5	10	16	10	6	8	5	4	11	7	3	4	4	1	4	1	3	3	5	5	1	3	1	3	5	1	3	2	2	3	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	22	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	5	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	75	4	5	3	8	4	2	7	6	4	0	6	2	5	3	4	1	0	1	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	108	3	3	1	4	4	1	11	0	3	5	4	2	5	8	6	2	0	3	1	6	3	5	1	6	4	5	1	0	1	1	2	0	2	0	3	1	1									
