Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Чердынская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  4201	УИК  4202	УИК  4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234					
1	"Число избирателей, внесенных в списки"	18174	1739	2450	1411	735	231	118	124	2263	286	168	195	1282	227	152	553	172	543	318	100	748	432	323	204	216	413	422	710	370	238	317	478	62	174					
2	"Число бюллетеней, полученных участковыми комиссиями"	18015	1600	2200	2100	800	220	125	135	2100	250	170	195	1200	200	145	500	195	500	300	115	700	400	300	200	200	400	500	650	400	220	300	450	65	180					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	36	10	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10764	876	1338	1262	469	185	92	88	1086	166	45	89	778	137	41	444	160	347	240	93	299	209	190	166	119	319	270	408	192	120	165	251	32	88					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1585	86	52	149	46	5	5	4	143	8	60	43	62	19	60	0	0	10	18	0	197	79	37	0	16	13	54	141	109	57	59	19	18	16					
6	Число погашенных бюллетеней	5609	638	810	689	285	30	28	43	871	76	65	63	360	44	44	56	35	132	42	22	204	112	73	34	65	32	166	101	99	43	76	180	15	76					
7	Число бюллетеней в переносных ящиках для голосования	1642	86	52	149	46	5	5	4	143	8	60	43	62	19	60	0	0	21	18	0	197	79	37	0	16	49	64	141	109	57	59	19	18	16					
8	Число бюллетеней в стационарных ящиках для голосования	10763	876	1338	1262	469	185	92	88	1086	166	45	89	778	137	41	444	160	346	240	93	299	209	190	166	119	319	270	408	192	120	165	251	32	88					
9	Число недействительных бюллетеней	245	13	35	30	14	1	1	1	20	4	2	0	25	4	1	13	1	8	2	0	7	3	1	0	7	0	8	22	8	2	5	7	0	0					
10	Число действительных бюллетеней	12160	949	1355	1381	501	189	96	91	1209	170	103	132	815	152	100	431	159	359	256	93	489	285	226	166	128	368	326	527	293	175	219	263	50	104					
