Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
"Наименование Избирательной комиссии:    Казань, Кировская"																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161					
1	"Число избирателей, внесенных в списки"	81023	2418	2130	2411	2665	1499	1803	2537	2030	1719	992	2189	2361	2293	1760	1148	1647	1585	1899	1060	2472	2398	2095	533	1018	2007	1963	1898	1301	602	1130	1671	1094	2683	2484	2027	2794	2730	2402	1876	341	2581	2003	1847	325	190	75	42	295					
2	"Число бюллетеней, полученных участковыми комиссиями"	77405	2200	2000	2200	2500	1500	1700	2400	2000	1400	1000	2100	2200	2100	1700	1800	1500	1500	1800	1100	2400	2300	2000	370	1000	2000	1900	1800	1200	520	1100	1600	1100	2500	2400	1900	2600	2500	2200	1900	320	2400	2000	1700	300	210	75	60	350					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	49751	1387	1521	1404	1568	977	1103	1610	1246	1296	622	1397	1378	1285	1113	1072	789	832	1212	748	1574	1337	1250	361	801	1293	1264	1217	673	457	621	957	613	1202	1550	1193	1724	1609	1215	970	196	1677	1239	1320	276	190	75	42	295					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2042	43	43	110	66	43	62	51	68	37	10	50	75	50	41	76	61	43	34	24	38	37	30	9	5	44	42	79	12	6	53	79	40	41	85	25	49	38	30	128	56	39	45	41	4	0	0	0	0					
6	Число погашенных бюллетеней	25612	770	436	686	866	480	535	739	686	67	368	653	747	765	546	652	650	625	554	328	788	926	720	0	194	663	594	504	515	57	426	564	447	1257	765	682	827	853	955	802	68	684	716	339	20	20	0	18	55					
7	Число бюллетеней в переносных ящиках для голосования	2042	43	43	110	66	43	62	51	68	37	10	50	75	50	41	76	61	43	34	24	38	37	30	9	5	44	42	79	12	6	53	79	40	41	85	25	49	38	30	128	56	39	45	41	4	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	49678	1386	1521	1381	1568	977	1103	1609	1246	1290	613	1395	1378	1271	1111	1072	789	832	1212	745	1572	1337	1250	361	800	1293	1264	1217	673	457	621	957	613	1202	1550	1193	1724	1609	1215	970	196	1668	1239	1320	276	190	75	42	295					
9	Число недействительных бюллетеней	1295	39	37	19	37	153	13	29	36	22	16	23	31	37	33	25	29	15	38	21	68	17	9	12	16	29	17	25	23	4	16	16	33	38	19	36	41	56	26	31	4	32	19	13	0	36	0	0	6					
10	Число действительных бюллетеней	50425	1390	1527	1472	1597	867	1152	1631	1278	1305	607	1422	1422	1284	1119	1123	821	860	1208	748	1542	1357	1271	358	789	1308	1289	1271	662	459	658	1020	620	1205	1616	1182	1732	1591	1219	1067	248	1675	1265	1348	280	154	75	42	289					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2310	50	70	50	70	50	50	65	50	50	50	70	70	65	70	70	50	50	50	50	80	85	50	10	60	60	50	60	50	10	50	50	50	50	75	50	50	50	50	50	10	50	50	50	10	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1739	49	50	46	54	47	34	59	40	38	20	62	63	58	65	57	42	31	31	38	71	70	45	5	53	55	48	57	14	4	25	24	10	44	66	23	32	26	23	36	3	38	35	43	5	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1921	55	21	36	15	22	18	41	34	249	8	50	48	46	10	25	32	18	41	35	9	13	22	135	26	30	20	31	10	32	14	19	9	24	20	16	25	40	15	46	4	24	15	25	8	190	70	42	183					
14	Число погашенных открепительных удостоверений	571	1	20	4	16	3	16	6	10	12	30	8	7	7	5	13	8	19	19	12	9	15	5	5	7	5	2	3	36	6	25	26	40	6	9	27	18	24	27	14	7	12	15	7	5	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	"1. ""ЕДИНЕНИЕ"""	698	32	13	17	20	9	17	16	11	20	8	13	12	14	12	17	8	12	11	21	34	13	30	6	22	23	21	23	13	6	10	11	12	14	20	14	20	28	16	5	1	32	18	10	4	2	2	0	5					
		1.34%	2.23%	0.83%	1.14%	1.22%	0.88%	1.45%	0.96%	0.83%	1.50%	1.28%	0.89%	0.82%	1.05%	1.04%	1.48%	0.94%	1.37%	0.88%	2.73%	2.11%	0.94%	2.34%	1.62%	2.73%	1.72%	1.60%	1.77%	1.89%	1.29%	1.48%	1.06%	1.83%	1.12%	1.22%	1.14%	1.12%	1.70%	1.28%	0.45%	0.39%	1.87%	1.40%	0.73%	1.42%	1.05%	2.66%	0.0%	1.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1441	36	47	44	58	42	26	52	32	23	18	37	57	51	50	43	23	33	42	27	46	19	33	14	23	49	48	41	9	0	14	32	29	25	33	28	46	38	23	33	0	43	22	35	3	2	4	0	8					
		2.78%	2.51%	3.00%	2.95%	3.54%	4.11%	2.23%	3.13%	2.43%	1.73%	2.88%	2.56%	3.92%	3.86%	4.34%	3.74%	2.70%	3.77%	3.37%	3.51%	2.85%	1.38%	2.57%	3.78%	2.85%	3.66%	3.67%	3.16%	1.31%	0.0%	2.07%	3.08%	4.44%	2.01%	2.01%	2.29%	2.59%	2.30%	1.84%	3.00%	0.0%	2.51%	1.71%	2.57%	1.07%	1.05%	5.33%	0.0%	2.71%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1826	64	56	55	76	42	20	57	55	36	21	63	58	59	49	47	40	40	48	30	54	19	61	9	14	38	62	52	19	21	23	8	21	47	79	36	52	65	49	46	6	48	42	17	4	7	5	2	4					
		3.53%	4.47%	3.58%	3.68%	4.65%	4.11%	1.71%	3.43%	4.18%	2.71%	3.37%	4.35%	3.99%	4.46%	4.25%	4.09%	4.70%	4.57%	3.85%	3.90%	3.35%	1.38%	4.76%	2.43%	1.73%	2.84%	4.74%	4.01%	2.77%	4.53%	3.41%	0.77%	3.21%	3.78%	4.83%	2.95%	2.93%	3.94%	3.93%	4.18%	2.38%	2.81%	3.27%	1.24%	1.42%	3.68%	6.66%	4.76%	1.35%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1799	56	37	61	74	50	32	74	57	39	22	47	72	54	76	66	36	39	78	27	53	10	49	17	25	57	44	67	16	17	16	14	16	35	45	37	57	49	36	24	8	32	39	25	5	6	3	0	0					
		3.47%	3.91%	2.36%	4.09%	4.52%	4.90%	2.74%	4.45%	4.33%	2.93%	3.53%	3.25%	4.95%	4.08%	6.59%	5.74%	4.23%	4.45%	6.26%	3.51%	3.29%	0.72%	3.82%	4.59%	3.10%	4.26%	3.36%	5.16%	2.33%	3.67%	2.37%	1.35%	2.45%	2.81%	2.75%	3.03%	3.21%	2.97%	2.89%	2.18%	3.17%	1.87%	3.03%	1.83%	1.78%	3.15%	4.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	262	4	11	3	10	5	3	7	2	4	0	6	4	8	9	10	4	8	5	5	7	4	7	1	10	6	5	3	4	2	6	5	4	5	14	17	15	11	10	4	1	5	4	0	0	2	1	0	1					
		0.50%	0.27%	0.70%	0.20%	0.61%	0.49%	0.25%	0.42%	0.15%	0.30%	0.0%	0.41%	0.27%	0.60%	0.78%	0.87%	0.47%	0.91%	0.40%	0.65%	0.43%	0.29%	0.54%	0.27%	1.24%	0.44%	0.38%	0.23%	0.58%	0.43%	0.89%	0.48%	0.61%	0.40%	0.85%	1.39%	0.84%	0.66%	0.80%	0.36%	0.39%	0.29%	0.31%	0.0%	0.0%	1.05%	1.33%	0.0%	0.33%					
23	"6. ""Объединенная Российская партия ""Русь"""	128	6	1	7	3	0	5	4	3	1	1	8	3	6	3	6	2	0	2	5	2	4	2	0	3	3	1	5	3	0	4	2	3	1	5	5	5	5	1	1	1	1	4	0	0	1	0	0	0					
		0.24%	0.41%	0.06%	0.46%	0.18%	0.0%	0.42%	0.24%	0.22%	0.07%	0.16%	0.55%	0.20%	0.45%	0.26%	0.52%	0.23%	0.0%	0.16%	0.65%	0.12%	0.29%	0.15%	0.0%	0.37%	0.22%	0.07%	0.38%	0.43%	0.0%	0.59%	0.19%	0.45%	0.08%	0.30%	0.41%	0.28%	0.30%	0.08%	0.09%	0.39%	0.05%	0.31%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	419	8	16	5	14	13	14	17	12	10	6	18	13	7	17	6	9	7	9	4	24	5	10	4	11	12	8	13	5	9	7	3	3	11	14	6	11	13	8	11	0	17	6	0	0	2	0	0	1					
		0.81%	0.55%	1.02%	0.33%	0.85%	1.27%	1.20%	1.02%	0.91%	0.75%	0.96%	1.24%	0.89%	0.52%	1.47%	0.52%	1.05%	0.8%	0.72%	0.52%	1.49%	0.36%	0.78%	1.08%	1.36%	0.89%	0.61%	1.00%	0.72%	1.94%	1.03%	0.28%	0.45%	0.88%	0.85%	0.49%	0.62%	0.78%	0.64%	1.00%	0.0%	0.99%	0.46%	0.0%	0.0%	1.05%	0.0%	0.0%	0.33%					
25	"8. ""Народно-республиканская партия России"""	101	2	3	3	1	5	0	5	5	3	0	2	4	0	3	2	5	1	1	3	4	1	1	0	3	1	0	5	3	3	3	2	0	1	4	0	0	5	3	7	0	4	3	0	0	0	0	0	0					
		0.19%	0.13%	0.19%	0.20%	0.06%	0.49%	0.0%	0.30%	0.38%	0.22%	0.0%	0.13%	0.27%	0.0%	0.26%	0.17%	0.58%	0.11%	0.08%	0.39%	0.24%	0.07%	0.07%	0.0%	0.37%	0.07%	0.0%	0.38%	0.43%	0.64%	0.44%	0.19%	0.0%	0.08%	0.24%	0.0%	0.0%	0.30%	0.24%	0.63%	0.0%	0.23%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	244	9	9	1	13	8	11	11	8	6	3	7	8	7	4	7	9	6	6	5	11	4	7	2	7	6	4	4	7	1	3	1	2	4	5	4	10	5	2	3	3	5	3	0	1	1	0	0	1					
		0.47%	0.62%	0.57%	0.06%	0.79%	0.78%	0.94%	0.66%	0.60%	0.45%	0.48%	0.48%	0.55%	0.52%	0.34%	0.60%	1.05%	0.68%	0.48%	0.65%	0.68%	0.29%	0.54%	0.54%	0.86%	0.44%	0.30%	0.30%	1.02%	0.21%	0.44%	0.09%	0.30%	0.32%	0.30%	0.32%	0.56%	0.30%	0.16%	0.27%	1.19%	0.29%	0.23%	0.0%	0.35%	0.52%	0.0%	0.0%	0.33%					
27	"10. ""Аграрная партия России"""	380	18	5	20	20	8	5	10	9	10	2	12	17	11	7	11	11	4	15	2	9	1	10	2	4	8	4	10	6	4	12	5	1	5	10	9	17	8	10	9	1	24	8	0	2	3	0	0	1					
		0.73%	1.25%	0.31%	1.34%	1.22%	0.78%	0.42%	0.60%	0.68%	0.75%	0.32%	0.83%	1.16%	0.83%	0.60%	0.95%	1.29%	0.45%	1.20%	0.26%	0.55%	0.07%	0.78%	0.54%	0.49%	0.59%	0.30%	0.77%	0.87%	0.86%	1.78%	0.48%	0.15%	0.40%	0.61%	0.73%	0.95%	0.48%	0.80%	0.81%	0.39%	1.40%	0.62%	0.0%	0.71%	1.57%	0.0%	0.0%	0.33%					
28	"11. ""Истинные патриоты России"""	122	7	2	4	3	0	2	7	2	3	0	1	4	5	2	1	1	6	2	3	4	4	4	0	19	2	3	1	5	3	3	0	1	2	2	2	1	1	1	2	0	5	2	0	0	0	0	0	0					
		0.23%	0.48%	0.12%	0.26%	0.18%	0.0%	0.17%	0.42%	0.15%	0.22%	0.0%	0.06%	0.27%	0.37%	0.17%	0.08%	0.11%	0.68%	0.16%	0.39%	0.24%	0.29%	0.31%	0.0%	2.36%	0.14%	0.22%	0.07%	0.72%	0.64%	0.44%	0.0%	0.15%	0.16%	0.12%	0.16%	0.05%	0.06%	0.08%	0.18%	0.0%	0.29%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	513	17	13	18	11	6	13	21	12	10	7	10	20	16	11	13	7	8	14	7	21	8	6	5	3	17	13	30	7	5	10	6	6	22	10	20	17	13	10	10	3	9	18	2	4	2	0	0	2					
