Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Красноармейская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057					
1	"Число избирателей, внесенных в списки избирателей"	35158	1332	1201	1386	1208	1288	1170	1475	980	197	1301	1332	844	525	1284	1150	1274	1220	628	745	282	328	595	424	232	348	243	583	961	452	314	233	443	387	647	365	673	648	673	381	616	585	185	577	343	786	660	761	678	215					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35243	1356	1235	1387	1208	1303	1100	1450	1000	194	1250	1356	864	532	1200	1171	1283	1215	650	764	274	339	609	426	234	347	242	595	964	456	316	232	453	401	657	370	679	651	681	375	616	599	187	582	347	793	659	754	672	215					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17338	595	517	652	549	597	517	535	348	83	511	560	356	232	595	526	539	595	295	350	168	177	317	251	121	174	132	310	434	307	181	139	303	240	508	163	461	401	411	275	345	314	110	337	220	351	342	493	401	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2024	37	36	78	66	96	54	80	64	11	20	37	45	14	56	47	50	64	28	29	18	22	75	19	13	8	6	47	52	51	20	24	60	68	26	37	33	22	20	0	59	23	6	4	16	80	40	24	24	215					
6	Число погашенных избирательных бюллетеней	15881	724	682	657	593	610	529	835	588	100	719	759	463	286	549	598	694	556	327	385	88	140	217	156	100	165	104	238	478	98	115	69	90	93	123	170	185	228	250	100	212	262	71	241	111	362	277	237	247	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2024	37	36	78	66	96	54	80	64	11	20	37	45	14	56	47	50	64	28	29	18	22	75	19	13	8	6	47	52	51	20	24	60	68	26	37	33	22	20	0	59	23	6	4	16	80	40	24	24	215					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17299	595	517	650	549	596	517	535	348	83	511	560	356	232	595	526	538	594	295	350	168	177	317	251	121	174	132	310	434	307	181	139	303	240	508	163	461	401	411	275	345	314	110	337	220	351	342	493	367	0					
9	Число недействительных избирательных бюллетеней	305	8	8	1	11	11	8	7	7	3	7	5	5	1	10	4	1	6	6	13	6	8	5	6	3	8	3	0	6	1	7	6	8	2	7	8	12	9	1	3	9	7	0	17	4	14	8	9	0	6					
10	Число действительных избирательных бюллетеней	19018	624	545	727	604	681	563	608	405	91	524	592	396	245	641	569	587	652	317	366	180	191	387	264	131	174	135	357	480	357	194	157	355	306	527	192	482	414	430	272	395	330	116	324	232	417	374	508	391	209					
