Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Нововоронежская городская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214					
1	"Число избирателей, внесенных в список избирателей"	31300	2497	2218	2398	2163	2364	2538	2242	2645	2272	2569	2605	2382	1256	1151					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30450	2614	2000	2100	2114	2100	2200	2000	2200	2000	2714	2200	2615	1000	2593					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17432	1343	1189	1138	1225	1177	1385	1203	1520	1361	1550	1418	1337	719	867					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	485	55	26	52	44	58	42	34	35	38	24	38	22	17	0					
6	Число погашенных избирательных бюллетеней	12533	1216	785	910	845	865	773	763	645	601	1140	744	1256	264	1726					
7	Число избирательных бюллетеней в переносных ящиках для голосования	485	55	26	52	44	58	42	34	35	38	24	38	22	17	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17415	1343	1189	1138	1225	1177	1383	1201	1508	1361	1550	1418	1337	719	866					
9	Число недействительных избирательных бюллетеней	243	17	9	14	30	22	16	14	14	24	20	18	21	7	17					
10	Число действительных избирательных бюллетеней	17657	1381	1206	1176	1239	1213	1409	1221	1529	1375	1554	1438	1338	729	849					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	296	15	40	15	35	20	20	10	30	20	25	21	25	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	254	12	39	11	19	19	19	4	29	17	22	21	23	19	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	766	85	10	49	93	20	27	44	45	29	34	6	20	88	216					
14	Число погашенных неиспользованных открепительных удостоверений	42	3	1	4	16	1	1	6	1	3	3	0	2	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	1	0	1	0	1	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2951	219	183	176	186	229	243	227	255	216	285	259	246	107	120					
		16.49%	15.67%	15.06%	14.79%	14.66%	18.54%	17.05%	18.38%	16.53%	15.44%	18.11%	17.79%	18.10%	14.54%	13.86%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2291	174	180	170	152	159	168	143	189	153	173	164	173	91	202					
		12.80%	12.45%	14.81%	14.29%	11.98%	12.87%	11.79%	11.58%	12.25%	10.94%	10.99%	11.26%	12.73%	12.36%	23.33%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	208	18	27	18	11	11	14	22	14	17	17	10	10	10	9					
		1.16%	1.29%	2.22%	1.51%	0.87%	0.89%	0.98%	1.78%	0.91%	1.22%	1.08%	0.69%	0.74%	1.36%	1.04%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4644	366	305	298	294	334	383	300	452	378	468	419	343	154	150					
		25.94%	26.18%	25.10%	25.04%	23.17%	27.04%	26.88%	24.29%	29.29%	27.02%	29.73%	28.78%	25.24%	20.92%	17.32%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	667	50	42	33	54	51	53	51	53	68	55	51	56	36	14					
		3.73%	3.58%	3.46%	2.77%	4.26%	4.13%	3.72%	4.13%	3.43%	4.86%	3.49%	3.50%	4.12%	4.89%	1.62%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6804	546	462	475	535	427	541	471	562	532	546	527	505	330	345					
		38.01%	39.06%	38.02%	39.92%	42.16%	34.57%	37.96%	38.14%	36.42%	38.03%	34.69%	36.20%	37.16%	44.84%	39.84%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	92	8	7	6	7	2	7	7	4	11	10	8	5	1	9					
		0.51%	0.57%	0.58%	0.50%	0.55%	0.16%	0.49%	0.57%	0.26%	0.79%	0.64%	0.55%	0.37%	0.14%	1.04%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
