Выборы Президента Российской Федерации																																																			
Дата голосования: 18.03.2018																																																			
																																																			
Наименование Избирательной комиссии:    район Северное Тушино																																																			
																																																			
Сводная таблица итогов голосования																																																			
																																																			
	Число участковых избирательных комиссий	40																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																																	
																																																			
		Сумма	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019									
1	"Число избирателей, включенных в список избирателей"	91025	2438	2233	2330	2195	2239	2220	2254	2685	2803	1557	2656	1873	2701	2087	2421	2431	2337	2449	2028	2429	2388	2368	1865	2410	2351	2294	2320	2282	2172	2419	2266	2103	2698	2282	2276	2277	2354	2470	2560	504									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77450	2000	2000	2000	2000	1800	2000	2000	2100	2100	1400	2500	1700	2000	1800	2000	2000	2000	2000	1800	2000	2000	2000	1700	2000	2000	2000	1800	2000	2000	2100	2000	1800	2000	2000	2000	2000	2100	2100	2100	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	51158	1366	1186	1287	1251	1387	1188	1179	1553	1627	1095	1402	1011	1478	1165	1410	1390	1357	1362	1138	1369	1337	1309	1042	1379	1275	1239	1245	1301	1226	1409	1269	1157	1428	1272	1283	1263	1231	1487	1463	342									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1889	63	57	61	53	16	59	49	44	50	7	52	26	38	33	59	51	44	58	42	50	56	44	41	43	43	60	49	52	36	63	54	48	44	54	51	0	47	50	54	88									
6	Число погашенных избирательных бюллетеней	24403	571	757	652	696	397	753	772	503	423	298	1046	663	484	602	531	559	599	580	620	581	607	647	617	578	682	701	506	647	738	628	677	595	528	674	666	737	822	563	583	120									
