Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Аскизская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208					
1	"Число избирателей, внесенных в списки"	28600	1509	1750	1445	292	318	158	1376	1850	429	690	758	289	128	360	580	183	123	101	609	951	490	63	121	62	491	253	692	272	147	65	200	1158	713	854	390	1493	1444	138	1357	153	2612	291	581	331	330					
2	"Число бюллетеней, полученных участковыми комиссиями"	28937	1515	1815	1415	320	345	152	1400	1858	440	690	770	265	130	390	620	177	127	95	540	951	500	62	115	64	500	255	720	275	146	65	192	1160	800	850	375	1460	1360	133	1360	150	2670	480	570	320	340					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14635	674	855	715	149	192	80	623	854	168	333	349	151	86	201	338	127	100	75	226	447	277	46	78	48	251	120	342	113	67	45	105	533	336	433	171	816	730	66	664	67	1711	279	329	124	141					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1309	41	44	13	8	17	3	42	67	24	30	13	44	0	5	30	6	0	0	69	66	10	6	6	0	60	27	34	15	25	0	3	37	41	49	24	60	87	0	84	19	38	12	8	73	69					
6	Число погашенных бюллетеней	12993	800	916	687	163	136	69	735	937	248	327	408	70	44	184	252	44	27	20	245	438	213	10	31	16	189	108	344	147	54	20	84	590	423	368	180	584	543	67	612	64	921	189	233	123	130					
7	Число бюллетеней в переносных ящиках для голосования	1309	41	44	13	8	17	3	42	67	24	30	13	44	0	5	30	6	0	0	69	66	10	6	6	0	60	27	34	15	25	0	3	37	41	49	24	60	87	0	84	19	38	12	8	73	69					
8	Число бюллетеней в стационарных ящиках для голосования	14634	674	855	715	149	192	80	623	854	168	333	349	151	86	201	338	127	100	75	226	447	277	46	78	48	251	120	342	113	67	45	105	533	336	433	171	815	730	66	664	67	1711	279	329	124	141					
9	Число недействительных бюллетеней	328	10	10	9	4	3	7	7	21	0	9	14	6	2	8	16	13	0	0	6	12	2	0	2	0	1	1	14	5	6	0	3	13	5	5	0	3	10	6	16	3	28	9	19	3	17					
10	Число действительных бюллетеней	15615	705	889	719	153	206	76	658	900	192	354	348	189	84	198	352	120	100	75	289	501	285	52	82	48	310	146	362	123	86	45	105	557	372	477	195	872	807	60	732	83	1721	282	318	194	193					
