Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Аткарская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582					
1	"Число избирателей, внесенных в списки избирателей"	33408	1743	903	1407	2082	1629	2073	2243	1489	783	1429	804	1504	960	1990	435	320	762	339	883	452	419	1047	611	478	492	378	379	684	910	304	514	399	422	217	1121	535	268					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33714	1768	854	1378	2103	1650	2018	2255	1526	781	1403	806	1541	979	1975	433	320	779	376	907	457	400	1066	622	465	500	381	385	855	925	314	521	403	429	223	1107	535	274					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20609	764	483	827	1007	1110	966	1307	884	498	697	436	708	511	686	345	250	496	208	554	400	375	892	532	358	366	329	342	387	810	180	468	359	337	151	903	456	227					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3944	110	248	44	140	95	264	229	89	60	112	86	140	95	427	81	66	131	131	161	41	14	134	28	67	117	39	29	297	45	112	28	24	46	23	94	60	37					
6	Число погашенных избирательных бюллетеней	9161	894	123	507	956	445	788	719	553	223	594	284	693	373	862	7	4	152	37	192	16	11	40	62	40	17	13	14	171	70	22	25	20	46	49	110	19	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3944	110	248	44	140	95	264	229	89	60	112	86	140	95	427	81	66	131	131	161	41	14	134	28	67	117	39	29	297	45	112	28	24	46	23	94	60	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20607	764	483	825	1007	1110	966	1307	884	498	697	436	708	511	686	345	250	496	208	554	400	375	892	532	358	366	329	342	387	810	180	468	359	337	151	903	456	227					
9	Число недействительных избирательных бюллетеней	280	14	23	10	16	15	17	29	14	8	9	11	13	2	7	0	0	2	1	17	0	1	2	11	5	0	0	4	6	5	0	3	0	3	1	19	10	2					
10	Число действительных избирательных бюллетеней	24271	860	708	859	1131	1190	1213	1507	959	550	800	511	835	604	1106	426	316	625	338	698	441	388	1024	549	420	483	368	367	678	850	292	493	383	380	173	978	506	262					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	815	29	29	29	29	28	44	29	38	29	29	29	44	29	29	15	15	15	15	22	15	15	24	15	15	15	15	15	15	25	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	502	28	15	18	25	16	37	25	28	10	23	14	38	19	22	2	1	15	5	16	8	6	24	15	7	6	5	3	7	11	6	7	9	8	3	14	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	256	5	13	45	7	7	21	13	6	8	32	12	4	3	17	1	1	2	4	5	3	4	4	1	8	1	5	1	1	2	1	2	4	4	2	4	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	313	1	14	11	4	12	7	4	10	19	6	15	6	10	7	13	14	0	10	6	7	9	0	0	8	9	10	12	8	14	9	8	6	7	12	1	12	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
