Выборы Президента Российской Федерации																																																												
																																																												
"Наименование Избирательной комиссии:    Новосибирск, Советская"																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960					
1	"Число избирателей, внесенных в список"	106531	1613	2102	2273	1883	1761	2244	2168	1956	1931	2384	2071	1436	1711	2198	2185	2206	2119	2310	2103	2460	2739	2219	2396	2620	2780	2841	2298	2484	2372	2337	2524	2230	2431	2919	1627	1833	1803	2487	2483	2626	2058	2062	2833	2646	2719	2699	2055	38	41	26	83	95	13					
2	Число полученных избирательных бюллетеней	104092	1600	2000	2200	1800	1700	2200	2100	1900	1900	2200	2000	1400	1600	2100	2100	2100	2100	2300	2100	2400	2700	2200	2400	2600	2700	2800	2300	2400	2300	2300	2400	2200	2400	2900	1600	1800	1700	2400	2500	2600	2000	2000	2800	2600	2700	2700	2000	40	43	26	79	91	13					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	61837	920	1315	1484	1178	1099	1261	1470	1117	1180	1468	1303	847	1022	1267	1256	1242	1233	1441	1254	1857	1918	1380	1521	1553	1661	1700	1172	1408	1326	1286	1221	1265	1275	1558	950	1140	1054	1406	1208	1446	1214	1129	1499	1334	1474	1334	960	28	41	26	72	51	13					
5	"Число избирательных бюллетеней, выданных вне помещения"	1473	18	38	50	35	26	29	37	23	37	0	39	54	28	27	34	25	11	28	22	58	16	18	15	21	15	32	53	39	49	30	23	12	44	23	35	16	45	24	43	12	23	25	42	59	33	44	34	0	0	0	0	29	0					
6	Число погашенных избирательных бюллетеней	40782	662	647	666	587	575	910	593	760	683	732	658	499	550	806	810	833	856	831	824	485	766	802	864	1026	1024	1068	1075	953	925	984	1156	923	1081	1319	615	644	601	970	1249	1142	763	846	1259	1207	1193	1322	1006	12	2	0	7	11	0					
7	Число избирательных бюллетеней в переносных ящиках	1473	18	38	50	35	26	29	37	23	37	0	39	54	28	27	34	25	11	28	22	58	16	18	15	21	15	32	53	39	49	30	23	12	44	23	35	16	45	24	43	12	23	25	42	59	33	44	34	0	0	0	0	29	0					
8	Число бюллетеней в стационарных ящиках для голосования	61562	920	1304	1475	1176	1093	1257	1465	1116	1177	1468	1299	844	990	1263	1254	1239	1232	1426	1250	1842	1918	1366	1519	1553	1655	1694	1172	1404	1324	1286	1175	1258	1275	1525	949	1140	1054	1406	1208	1442	1214	1104	1499	1334	1474	1334	959	28	41	26	72	51	13					
9	Число недействительных избирательных бюллетеней	453	15	5	10	8	9	4	4	5	3	0	8	7	9	5	5	12	8	10	8	14	10	5	4	12	7	18	11	15	6	15	9	14	13	3	6	4	5	13	9	14	26	17	13	21	5	14	13	0	1	0	0	1	0					
10	Число действительных избирательных бюллетеней	62582	923	1337	1515	1203	1110	1282	1498	1134	1211	1468	1330	891	1009	1285	1283	1252	1235	1444	1264	1886	1924	1379	1530	1562	1663	1708	1214	1428	1367	1301	1189	1256	1306	1545	978	1152	1094	1417	1242	1440	1211	1112	1528	1372	1502	1364	980	28	40	26	72	79	13					
