Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Кижингинская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13239	171	393	185	317	1202	396	1998	1924	1638	47	89	242	432	102	478	127	209	743	435	397	138	870	570	67	69									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13318	171	398	186	321	1196	401	2005	1963	1653	49	87	246	434	105	473	129	202	740	437	407	137	863	577	70	68									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6913	80	201	108	124	542	253	1021	969	764	39	51	119	279	66	227	76	129	450	197	207	78	534	290	51	58									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	300	2	5	6	18	27	5	15	25	29	0	0	18	12	4	10	7	2	7	25	14	2	29	27	4	7									
6	Число погашенных избирательных бюллетеней	6105	89	192	72	179	627	143	969	969	860	10	36	109	143	35	236	46	71	283	215	186	57	300	260	15	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	300	2	5	6	18	27	5	15	25	29	0	0	18	12	4	10	7	2	7	25	14	2	29	27	4	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6913	80	201	108	124	542	253	1021	969	764	39	51	119	279	66	227	76	129	450	197	207	78	534	290	51	58									
9	Число недействительных избирательных бюллетеней	192	0	4	1	6	11	4	22	16	34	2	3	2	4	0	11	1	2	11	7	6	5	27	9	4	0									
10	Число действительных избирательных бюллетеней	7021	82	202	113	136	558	254	1014	978	759	37	48	135	287	70	226	82	129	446	215	215	75	536	308	51	65									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	338	5	10	10	15	20	20	35	35	20	5	5	10	15	5	15	10	10	10	10	15	5	23	25	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	63	1	0	2	0	3	2	9	21	7	0	0	0	0	2	0	0	2	6	3	0	0	0	4	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	2	9	1	0	2	1	7	7	3	2	5	0	2	1	0	1	4	6	2	1	2	10	3	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	275	4	10	8	15	17	18	26	14	13	5	5	10	15	3	15	10	8	4	7	15	5	23	21	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	3	0	0	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	50	0	0	1	3	8	1	8	3	2	1	0	0	3	0	2	1	0	2	4	0	1	5	4	0	1									
		0.69%	0.00%	0.00%	0.88%	2.11%	1.41%	0.39%	0.77%	0.30%	0.25%	2.56%	0.00%	0.00%	1.03%	0.00%	0.84%	1.20%	0.00%	0.44%	1.80%	0.00%	1.25%	0.89%	1.26%	0.00%	1.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	197	5	3	1	4	26	6	35	31	26	1	2	4	5	1	9	2	2	12	5	4	1	1	7	2	2									
		2.73%	6.10%	1.46%	0.88%	2.82%	4.57%	2.33%	3.38%	3.12%	3.28%	2.56%	3.92%	2.92%	1.72%	1.43%	3.80%	2.41%	1.53%	2.63%	2.25%	1.81%	1.25%	0.18%	2.21%	3.64%	3.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	86	0	5	0	2	20	0	10	12	11	0	0	3	2	0	0	1	1	3	3	0	4	3	4	0	2									
		1.19%	0.00%	2.43%	0.00%	1.41%	3.51%	0.00%	0.97%	1.21%	1.39%	0.00%	0.00%	2.19%	0.69%	0.00%	0.00%	1.20%	0.76%	0.66%	1.35%	0.00%	5.00%	0.53%	1.26%	0.00%	3.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4687	48	142	65	64	258	160	694	652	466	16	39	103	234	50	135	54	94	310	135	153	57	467	201	46	44									
