Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Воловская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11131	352	310	188	251	184	1358	341	150	790	295	540	326	1346	1286	327	203	338	419	414	843	658	212									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11600	375	333	209	266	200	1365	363	167	820	315	555	362	1380	1290	350	220	370	440	440	870	680	230									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5867	197	156	95	76	111	410	197	48	331	142	330	232	714	926	199	87	233	239	265	473	308	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1637	86	93	26	125	40	299	80	33	87	84	96	54	26	60	74	50	11	62	37	54	96	64									
6	Число погашенных избирательных бюллетеней	4096	92	84	88	65	49	656	86	86	402	89	129	76	640	304	77	83	126	139	138	343	276	68									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1637	86	93	26	125	40	299	80	33	87	84	96	54	26	60	74	50	11	62	37	54	96	64									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5867	197	156	95	76	111	410	197	48	331	142	330	232	714	926	199	87	233	239	265	473	308	98									
9	Число недействительных избирательных бюллетеней	120	1	1	0	0	1	6	0	1	38	0	4	0	13	16	2	1	4	2	0	11	19	0									
10	Число действительных избирательных бюллетеней	7384	282	248	121	201	150	703	277	80	380	226	422	286	727	970	271	136	240	299	302	516	385	162									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	6	6	8	6	6	20	6	5	10	5	6	18	15	15	6	5	6	6	5	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	155	6	6	8	0	0	20	6	5	10	5	3	18	15	7	0	3	6	2	5	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	1	0	1	3	1	3	2	3	1	1	2	1	15	35	3	1	2	1	5	0	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	35	0	0	0	6	6	0	0	0	0	0	3	0	0	8	6	2	0	4	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	3	2	0	4	3	16	1	0	2	2	5	6	14	18	0	0	8	3	5	3	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	63	3	1	0	0	0	0	0	0	5	3	5	4	11	11	2	2	0	0	8	6	2	0									
		0.84%	1.06%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.20%	1.33%	1.17%	1.40%	1.49%	1.12%	0.73%	1.46%	0.00%	0.00%	2.65%	1.14%	0.50%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	143	5	5	0	0	1	16	7	1	11	3	5	4	15	30	2	2	4	9	3	9	8	3									
		1.91%	1.77%	2.01%	0.00%	0.00%	0.66%	2.26%	2.53%	1.23%	2.63%	1.33%	1.17%	1.40%	2.03%	3.04%	0.73%	1.46%	1.64%	2.99%	0.99%	1.71%	1.98%	1.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	138	3	5	1	0	2	10	0	2	12	4	3	2	25	21	3	1	3	5	11	15	6	4									
		1.84%	1.06%	2.01%	0.83%	0.00%	1.32%	1.41%	0.00%	2.47%	2.87%	1.77%	0.70%	0.70%	3.38%	2.13%	1.10%	0.73%	1.23%	1.66%	3.64%	2.85%	1.49%	2.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5011	212	197	84	174	121	475	220	41	234	134	284	217	391	653	219	95	198	212	200	324	199	127									
		66.78%	74.91%	79.12%	69.42%	86.57%	80.13%	66.99%	79.42%	50.62%	55.98%	59.29%	66.67%	75.87%	52.84%	66.23%	80.22%	69.34%	81.15%	70.43%	66.23%	61.48%	49.26%	78.40%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	50	3	0	0	0	2	4	0	0	1	0	3	0	10	12	0	1	1	1	3	5	3	1									
		0.67%	1.06%	0.00%	0.00%	0.00%	1.32%	0.56%	0.00%	0.00%	0.24%	0.00%	0.70%	0.00%	1.35%	1.22%	0.00%	0.73%	0.41%	0.33%	0.99%	0.95%	0.74%	0.62%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	0	0	0	0	0	1	0	0	1	0	8	0	1	3	0	0	0	0	0	0	3	0									
		0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.24%	0.00%	1.88%	0.00%	0.14%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	916	21	24	23	8	9	119	27	20	71	49	38	31	123	96	16	13	12	26	35	81	58	16									
		12.21%	7.42%	9.64%	19.01%	3.98%	5.96%	16.78%	9.75%	24.69%	16.99%	21.68%	8.92%	10.84%	16.62%	9.74%	5.86%	9.49%	4.92%	8.64%	11.59%	15.37%	14.36%	9.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	21	0	0	0	0	0	2	0	0	3	0	3	0	3	6	0	0	0	4	0	0	0	0									
		0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.72%	0.00%	0.70%	0.00%	0.41%	0.61%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	1	0	0	0	0	4	0	0	0	4	4	1	3	3	0	0	0	2	0	1	2	0									
		0.33%	0.35%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	1.77%	0.94%	0.35%	0.41%	0.30%	0.00%	0.00%	0.00%	0.66%	0.00%	0.19%	0.50%	0.00%									
