Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Лесная																				
																				
Итоги голосования 																				
																				
		Сумма	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624					
1	"Число избирателей, внесенных в список"	5301	266	225	171	179	351	249	286	1513	396	267	370	413	615					
2	Число полученных избирательных бюллетеней	5257	260	232	152	180	330	253	274	1520	398	268	365	422	603					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2373	147	121	79	112	157	89	89	778	170	121	224	193	93					
5	"Число избирательных бюллетеней, выданных вне помещения"	1423	65	70	52	66	105	114	176	112	78	95	47	157	286					
6	Число погашенных избирательных бюллетеней	1461	48	41	21	2	68	50	9	630	150	52	94	72	224					
7	Число избирательных бюллетеней в переносных ящиках	1423	65	70	52	66	105	114	176	112	78	95	47	157	286					
8	Число бюллетеней в стационарных ящиках для голосования	2373	147	121	79	112	157	89	89	778	170	121	224	193	93					
9	Число недействительных избирательных бюллетеней	12	0	1	0	1	0	2	0	3	1	0	2	2	0					
10	Число действительных избирательных бюллетеней	3784	212	190	131	177	262	201	265	887	247	216	269	348	379					
11	Число полученных открепительных  удостоверений	200	14	14	14	18	14	14	14	28	14	12	12	16	16					
12	Число выданных открепительных удостоверений	87	4	11	1	18	2	6	0	23	2	1	6	7	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	3	2	1	2	0	1	1	6	2	1	3	2	1					
14	Число неиспользованных открепительных удостоверений	113	10	3	13	0	12	8	14	5	12	11	6	9	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	93	3	6	1	1	4	3	5	44	6	1	3	9	7					
		2.45%	1.42%	3.14%	0.76%	0.56%	1.53%	1.48%	1.89%	4.94%	2.42%	0.46%	1.11%	2.57%	1.85%					
19	. Малышкин Олег Александрович	79	3	3	0	6	9	5	5	23	1	4	4	11	5					
		2.08%	1.42%	1.57%	0.00%	3.37%	3.44%	2.46%	1.89%	2.58%	0.40%	1.85%	1.48%	3.14%	1.32%					
20	. Миронов Сергей Михайлович	28	2	0	0	3	2	2	2	9	0	0	2	2	4					
		0.74%	0.94%	0.00%	0.00%	1.69%	0.76%	0.99%	0.75%	1.01%	0.00%	0.00%	0.74%	0.57%	1.06%					
21	. Путин Владимир Владимирович	2655	145	155	108	122	195	134	198	596	158	174	209	223	238					
		69.94%	68.40%	81.15%	82.44%	68.54%	74.43%	66.01%	74.72%	66.97%	63.71%	80.56%	77.12%	63.71%	62.80%					
22	. Хакамада Ирина Муцуовна	75	2	4	1	6	3	4	1	16	8	6	10	8	6					
		1.98%	0.94%	2.09%	0.76%	3.37%	1.15%	1.97%	0.38%	1.80%	3.23%	2.78%	3.69%	2.29%	1.58%					
23	. Харитонов Николай Михайлович	791	55	17	18	36	43	49	51	178	69	30	40	91	114					
		20.84%	25.94%	8.90%	13.74%	20.22%	16.41%	24.14%	19.25%	20.00%	27.82%	13.89%	14.76%	26.00%	30.08%					
																				
24	Против всех	63	2	5	3	3	6	4	3	21	5	1	1	4	5					
		1.66%	0.94%	2.62%	2.29%	1.69%	2.29%	1.97%	1.13%	2.36%	2.02%	0.46%	0.37%	1.14%	1.32%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
