Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
"Наименование Избирательной комиссии:    г. Тула, Привокзальная"																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958					
1	"Число избирателей, внесенных в списки избирателей"	69704	1572	2405	1264	2436	2704	2397	2241	1929	2101	2361	1100	1070	2140	2793	2789	1061	2082	130	1388	2010	2297	1372	1637	1539	2652	2057	1829	1923	1940	2099	2137	144	1874	2283	2091	2245	1612					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	65650	1500	2000	1200	2000	2500	2300	2200	1900	2000	2000	1000	1000	2000	2500	2500	1000	2000	150	1300	2000	2200	1300	1500	1500	2500	2000	1800	1900	1900	2000	2000	200	1800	2200	2000	2200	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	34071	719	1062	568	1201	1273	1299	1190	621	1001	1150	502	530	1066	1306	1250	626	1139	130	765	980	1157	674	822	838	1420	1013	947	1020	955	1007	835	144	885	1180	996	1144	656					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1916	36	67	47	48	68	53	46	143	39	88	37	23	28	98	104	14	18	0	50	72	50	28	40	35	49	57	41	64	48	54	119	0	62	54	50	36	50					
6	Число погашенных избирательных бюллетеней	29663	745	871	585	751	1159	948	964	1136	960	762	461	447	906	1096	1146	360	843	20	485	948	993	598	638	627	1031	930	812	816	897	939	1046	56	853	966	954	1020	894					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1916	36	67	47	48	68	53	46	143	39	88	37	23	28	98	104	14	18	0	50	72	50	28	40	35	49	57	41	64	48	54	119	0	62	54	50	36	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34048	719	1062	568	1201	1273	1299	1190	621	1001	1150	502	530	1066	1306	1250	625	1139	130	765	968	1157	674	822	838	1416	1013	946	1020	954	1007	835	144	883	1180	995	1143	656					
9	Число недействительных избирательных бюллетеней	345	10	6	6	17	8	20	11	3	11	18	3	13	14	13	18	5	6	0	8	7	14	15	7	10	12	7	14	7	9	11	8	0	10	0	9	9	6					
10	Число действительных избирательных бюллетеней	35619	745	1123	609	1232	1333	1332	1225	761	1029	1220	536	540	1080	1391	1336	634	1151	130	807	1033	1193	687	855	863	1453	1063	973	1077	993	1050	946	144	935	1234	1036	1170	700					
