Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Киров, Ленинская"																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																					
																																																																																																					
		Сумма	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402					
1	"Число избирателей, внесенных в списки"	171862	41	157	370	93	56	84	36	73	97	14	2430	1323	870	1056	1983	2289	261	2233	2304	2232	1978	2838	2262	1113	1266	1689	2843	814	789	2124	2894	2695	2109	2530	2116	2120	1560	1884	1804	2619	2524	2409	2104	2348	2673	1676	2400	1951	1827	2472	2349	1840	1247	2353	2642	2492	2347	1987	1616	2799	1907	290	2701	2909	2795	2480	2733	2697	2542	2789	2362	2482	2114	2537	2692	2245	2662	2182	2450	2345	2675	2342	1127	1781	1740	1629	2601	1483	1583	538	1822	521	1153	848					
2	"Число бюллетеней, полученных участковыми комиссиями"	165855	40	155	400	100	60	70	50	70	80	50	2290	1260	820	1020	1900	2180	330	2380	2200	2160	1880	2700	2140	1050	1200	1620	2710	780	750	2670	2780	2450	2010	2230	1950	1980	1480	1790	1770	2460	2410	2290	1980	2230	2550	1540	2280	1840	1750	2400	2240	2580	1180	2240	2530	2390	2240	1900	1530	2630	1800	280	2600	2760	2660	2390	2640	2600	2420	2650	2220	2490	2030	2430	2620	2100	2550	2100	2350	2240	2530	2220	1070	1650	1650	1550	2470	1420	1500	850	1740	480	1130	920					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	100475	36	107	227	93	36	46	29	61	37	14	1375	892	589	658	1308	1480	261	1389	1478	1360	1179	1624	1210	436	529	642	1580	333	228	1602	1784	1153	1094	909	1202	1122	1012	1125	1099	1661	1557	1452	1171	1493	1600	907	1512	1253	996	1321	1406	1650	749	1426	1615	1433	1348	1195	775	1648	994	94	1686	1545	1769	1563	1657	1690	1450	1586	1305	1553	1274	1611	1562	1334	1563	1362	1534	1467	1234	1334	776	904	1039	957	1499	871	916	534	966	358	568	413					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2022	2	27	106	0	11	24	0	0	0	0	27	15	15	16	20	56	0	44	34	37	33	54	46	7	9	11	14	9	3	11	54	40	28	8	18	19	32	30	54	29	26	42	16	24	36	19	22	10	25	21	20	20	13	10	27	32	44	23	11	26	33	23	21	4	18	29	22	10	34	11	18	18	13	9	31	7	22	15	18	15	20	5	14	7	17	31	33	17	6	4	41	9	28	9					
6	Число погашенных бюллетеней	63358	2	21	67	7	13	0	21	9	43	36	888	353	216	346	572	644	69	947	688	763	668	1022	884	607	662	967	1116	438	519	1057	942	1257	888	1313	730	839	436	635	617	770	827	796	793	713	914	614	746	577	729	1058	814	910	418	804	888	925	848	682	744	956	773	163	893	1211	873	798	961	900	936	1053	897	919	743	810	1027	759	965	723	798	758	1276	881	280	739	594	562	938	532	578	312	733	113	534	498					
7	Число бюллетеней в переносных ящиках для голосования	2021	2	27	106	0	11	24	0	0	0	0	26	15	15	16	20	56	0	44	34	37	33	54	46	7	9	11	14	9	3	11	54	40	28	8	18	19	32	30	54	29	26	42	16	24	36	19	22	10	25	21	20	20	13	10	27	32	44	23	11	26	33	23	21	4	18	29	22	10	34	11	18	18	13	9	31	7	22	15	18	15	20	5	14	7	17	31	33	17	6	4	41	9	28	9					
8	Число бюллетеней в стационарных ящиках для голосования	100296	36	107	227	93	36	46	29	61	37	14	1376	892	589	658	1278	1480	261	1389	1472	1360	1179	1618	1210	435	529	642	1579	333	228	1602	1779	1153	1094	904	1200	1120	1011	1125	1097	1661	1556	1448	1171	1492	1600	907	1512	1253	995	1321	1405	1647	748	1425	1614	1433	1348	1172	775	1648	993	94	1665	1534	1769	1560	1657	1686	1450	1575	1303	1549	1268	1608	1560	1334	1563	1362	1534	1466	1233	1334	775	904	1038	957	1499	871	916	534	959	358	565	413					
9	Число недействительных бюллетеней	1258	1	7	2	5	2	0	1	1	0	0	14	6	4	5	12	14	7	24	12	19	13	11	19	8	5	6	17	14	7	17	26	7	14	6	7	26	28	21	21	14	10	25	6	19	21	9	23	11	14	8	26	19	6	9	18	20	31	31	16	14	15	3	23	10	14	12	26	17	28	15	13	15	12	16	7	9	19	10	12	25	13	10	20	12	12	17	17	20	14	4	23	1	17	18					
10	Число действительных бюллетеней	101059	37	127	331	88	45	70	28	60	37	14	1388	901	600	669	1286	1522	254	1409	1494	1378	1199	1661	1237	434	533	647	1576	328	224	1596	1807	1186	1108	906	1211	1113	1015	1134	1130	1676	1572	1465	1181	1497	1615	917	1511	1252	1006	1334	1399	1648	755	1426	1623	1445	1361	1164	770	1660	1011	114	1663	1528	1773	1577	1653	1679	1456	1571	1308	1552	1269	1601	1584	1332	1566	1367	1540	1456	1240	1329	769	899	1043	971	1515	868	908	534	977	366	576	404					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2660	0	0	0	0	0	0	0	0	0	0	35	30	20	30	30	35	0	35	35	35	30	35	35	30	30	30	35	20	20	35	35	35	35	35	35	35	30	30	30	35	35	35	35	35	35	30	35	30	30	35	35	35	30	35	35	35	35	35	30	35	30	10	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	30	30	30	30	35	30	30	20	30	10	30	20					
