Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Шурышкарская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5825	213	1080	317	2316	312	798	268	521									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6160	231	1104	330	2420	360	845	330	540									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	400	28	20	40	30	66	181	0	35									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4072	168	755	250	1646	210	456	212	375									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	155	6	32	4	78	4	8	14	9									
6	Число погашенных избирательных бюллетеней	1533	29	297	36	666	80	200	104	121									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	555	34	52	44	108	70	189	14	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4072	168	755	250	1646	210	456	212	375									
9	Число недействительных избирательных бюллетеней	94	6	23	5	31	3	12	8	6									
10	Число действительных избирательных бюллетеней	4533	196	784	289	1723	277	633	218	413									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	235	22	30	15	78	15	30	20	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	206	21	24	10	69	15	29	19	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	157	9	10	1	76	4	42	5	10									
14	Число погашенных неиспользованных открепительных удостоверений	29	1	6	5	9	0	1	1	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	305	8	35	6	60	28	93	51	24									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	38	0	5	6	12	2	4	5	4									
		0.82%	0.00%	0.62%	2.04%	0.68%	0.71%	0.62%	2.21%	0.95%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	35	3	9	4	7	5	2	2	3									
		0.76%	1.49%	1.12%	1.36%	0.40%	1.79%	0.31%	0.88%	0.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	49	3	3	5	14	7	6	4	7									
		1.06%	1.49%	0.37%	1.70%	0.80%	2.50%	0.93%	1.77%	1.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3377	154	510	199	1375	201	526	169	243									
		72.98%	76.24%	63.20%	67.69%	78.39%	71.79%	81.55%	74.78%	57.99%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	4	4	3	4	0	3	0	2									
		0.43%	1.98%	0.50%	1.02%	0.23%	0.00%	0.47%	0.00%	0.48%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	1	2	2	1	1	1	0									
		0.17%	0.00%	0.12%	0.68%	0.11%	0.36%	0.16%	0.44%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	672	18	199	47	186	32	63	23	104									
		14.52%	8.91%	24.66%	15.99%	10.60%	11.43%	9.77%	10.18%	24.82%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	1	2	2	2	1	0	0	0									
		0.17%	0.50%	0.25%	0.68%	0.11%	0.36%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	0	4	1	9	2	2	1	3									
		0.48%	0.00%	0.50%	0.34%	0.51%	0.71%	0.31%	0.44%	0.72%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	1	1	0	5	1	2	0	1									
		0.24%	0.50%	0.12%	0.00%	0.29%	0.36%	0.31%	0.00%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	2	4	1	9	2	4	0	0									
		0.48%	0.99%	0.50%	0.34%	0.51%	0.71%	0.62%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	145	6	31	12	52	11	6	6	21									
		3.13%	2.97%	3.84%	4.08%	2.96%	3.93%	0.93%	2.65%	5.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	2	3	2	10	1	2	1	3									
		0.52%	0.99%	0.37%	0.68%	0.57%	0.36%	0.31%	0.44%	0.72%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	102	2	8	5	36	11	12	6	22									
		2.20%	0.99%	0.99%	1.70%	2.05%	3.93%	1.86%	2.65%	5.25%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
