Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Омсукчанская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64					
1	"Число избирателей, внесенных в списки избирателей"	4440	1727	1620	1026	67					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3996	1470	1566	880	80					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	291	182	8	101	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2616	980	994	584	58					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	143	57	45	37	4					
6	Число погашенных избирательных бюллетеней	946	251	519	158	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	434	239	53	138	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2615	980	993	584	58					
9	Число недействительных избирательных бюллетеней	36	13	18	5	0					
10	Число действительных избирательных бюллетеней	3013	1206	1028	717	62					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	22	4	7	7	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	21	4	7	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	22	12	1	8	1					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	3	5	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	47	17	12	15	3					
		1.54%	1.39%	1.15%	2.08%	4.84%					
19	2.Всероссийская политическая партия «Гражданская Сила»	29	9	10	10	0					
		0.95%	0.74%	0.96%	1.39%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	1	1	0	0					
		0.07%	0.08%	0.10%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	195	82	58	49	6					
		6.40%	6.73%	5.54%	6.79%	9.68%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	7	0	4	3	0					
		0.23%	0.00%	0.38%	0.42%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	8	3	4	1	0					
		0.26%	0.25%	0.38%	0.14%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	549	242	193	107	7					
		18.01%	19.85%	18.45%	14.82%	11.29%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	251	88	85	68	10					
		8.23%	7.22%	8.13%	9.42%	16.13%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	28	15	3	8	2					
		0.92%	1.23%	0.29%	1.11%	3.23%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1859	739	644	443	33					
		60.97%	60.62%	61.57%	61.36%	53.23%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	38	10	14	13	1					
		1.25%	0.82%	1.34%	1.80%	1.61%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
