Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва										
Дата голосования: 04.12.2011										
										
Наименование Избирательной комиссии:    Омсукчанская										
										
Сводная таблица предварительных итогов голосования										
										
		Сумма	УИК №53	УИК №54	УИК №55					
1	"Число избирателей, внесенных в список избирателей"	4511	1560	2186	765					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4068	1500	1918	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	897	286	611	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1542	540	635	367					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	121	43	34	44					
6	Число погашенных избирательных бюллетеней	1508	631	638	239					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1016	329	643	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1542	540	635	367					
9	Число недействительных избирательных бюллетеней	43	8	34	1					
10	Число действительных избирательных бюллетеней	2515	861	1244	410					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	114	40	40	34					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	23	5	11	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	13	0	6	7					
14	Число погашенных неиспользованных открепительных удостоверений	91	35	29	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	4	0					
16	Число утраченных открепительных удостоверений	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	233	62	124	47					
		9.11%	7.13%	9.70%	11.44%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	466	99	272	95					
		18.22%	11.39%	21.28%	23.11%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	9	19	3					
		1.21%	1.04%	1.49%	0.73%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	353	84	178	91					
		13.80%	9.67%	13.93%	22.14%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	65	18	32	15					
		2.54%	2.07%	2.50%	3.65%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1355	581	616	158					
		52.97%	66.86%	48.20%	38.44%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	8	3	1					
		0.47%	0.92%	0.23%	0.24%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
