Выборы Президента Российской Федерации																																																																	
Дата голосования: 02.03.2008																																																																	
																																																																	
"Наименование Избирательной комиссии:    Саратов, Кировская"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
	Число участковых избирательных комиссий	58																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	58																																																															
																																																																	
		Сумма	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
1	"Число избирателей, включенных в списки избирателей"	104712	2395	1619	1409	1152	1083	1100	1866	2507	2277	1442	2151	2147	860	2251	1818	1248	2390	1672	1580	1836	2035	1855	2472	2365	2308	1292	2060	1735	2111	2442	2081	985	1596	2086	1970	2462	2220	1763	2002	1545	2173	2016	990	1704	1146	1879	1876	1097	1357	1182	2524	1587	2412	2336	1306	1767	1862	1310					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	93750	2200	1400	1200	1000	1500	1100	1600	2300	2000	1300	1800	1800	1000	2000	1600	1100	2300	1400	1300	1800	1800	1500	2100	2000	2100	1200	1800	1700	1800	2000	1800	950	1400	1800	1700	2000	2000	1500	2000	1300	2300	2000	1000	1500	1200	1600	1600	1000	1200	1000	2100	1400	2100	2000	1100	1600	1600	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	72062	1845	1116	872	727	897	968	1316	1851	1488	1048	1372	1340	860	1364	1474	940	1396	990	941	1625	1179	1112	1167	1109	1853	878	1524	1360	1458	1527	1364	887	1274	1487	1186	1897	1541	1248	1960	1036	1638	1425	702	1121	946	1281	1259	681	843	874	1669	1116	1789	1449	792	755	1429	816					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	7402	319	253	65	32	57	77	246	177	110	40	95	114	0	379	30	72	695	75	44	126	253	59	88	25	134	165	113	140	213	260	53	28	126	36	129	42	82	45	24	84	24	188	164	121	34	141	174	121	63	72	62	85	121	242	174	462	27	22					
6	Число погашенных избирательных бюллетеней	14286	36	31	263	241	546	55	38	272	402	212	333	346	140	257	96	88	209	335	315	49	368	329	845	866	113	157	163	200	129	213	383	35	0	277	385	61	377	207	16	180	638	387	134	258	220	178	167	198	294	54	369	199	190	309	134	383	144	462					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7402	319	253	65	32	57	77	246	177	110	40	95	114	0	379	30	72	695	75	44	126	253	59	88	25	134	165	113	140	213	260	53	28	126	36	129	42	82	45	24	84	24	188	164	121	34	141	174	121	63	72	62	85	121	242	174	462	27	22					
8	Число бюллетеней в стационарных ящиках для голосования	72028	1845	1116	871	727	897	968	1313	1851	1488	1048	1372	1340	860	1363	1474	940	1396	990	941	1625	1179	1112	1164	1109	1853	878	1524	1360	1458	1527	1364	887	1274	1475	1186	1891	1541	1247	1960	1036	1638	1425	702	1121	945	1281	1259	677	843	874	1669	1116	1787	1449	792	755	1429	816					
9	Число недействительных избирательных бюллетеней	595	15	0	24	4	30	2	14	19	16	17	12	38	0	18	12	6	9	2	8	0	8	8	14	14	2	6	10	11	18	15	8	9	10	0	5	10	13	19	10	9	14	0	0	5	7	10	14	5	8	10	13	9	15	9	6	15	3	7					
10	Число действительных избирательных бюллетеней	78835	2149	1369	912	755	924	1043	1545	2009	1582	1071	1455	1416	860	1724	1492	1006	2082	1063	977	1751	1424	1163	1238	1120	1985	1037	1627	1489	1653	1772	1409	906	1390	1511	1310	1923	1610	1273	1974	1111	1648	1613	866	1237	972	1412	1419	793	898	936	1718	1192	1893	1682	960	1202	1453	831					
11	Число полученных открепительных  удостоверений	3960	80	80	80	80	50	80	65	100	100	50	80	70	0	80	90	80	80	50	60	50	50	50	80	80	80	80	80	80	70	70	80	50	80	80	80	80	80	80	100	80	90	50	50	50	50	52	48	45	50	50	55	50	80	80	75	80	70	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3911	80	80	80	80	49	80	65	100	98	50	78	70	0	80	90	80	80	50	57	50	50	42	80	78	80	80	80	80	70	70	80	50	80	78	77	68	80	80	100	80	89	50	49	49	50	52	48	45	50	50	55	50	80	80	75	80	70	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1365	3	15	26	0	202	35	2	5	5	5	12	49	691	9	0	5	3	5	30	10	4	18	5	11	3	2	14	12	9	4	2	10	12	5	4	7	9	4	8	8	8	0	2	7	25	3	5	1	4	5	6	7	14	6	3	0	1	5					
