Выборы Президента Российской Федерации																																																																					
																																																																					
"Наименование Избирательной комиссии:    Саратов, Кировская"																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340					
1	"Число избирателей, внесенных в список"	113563	1300	1723	1770	2265	2324	1885	1267	2193	1565	2481	1929	2360	1731	1737	1605	1617	1796	1971	1998	1166	2252	2688	1518	2087	1657	2358	2163	1257	1411	1736	1492	2107	2033	451	991	1281	1482	2504	1430	2010	1983	2254	2291	2527	1049	1651	1526	1988	2089	2577	2559	1623	1695	2884	2060	2012	1174	2005	1212	2088	1603	1122					
2	Число полученных избирательных бюллетеней	107965	1300	1550	1700	2250	2150	1800	1300	2100	1450	2250	1900	2400	1700	1650	1550	1600	1700	1850	1800	1100	2100	2600	1550	2100	1750	2200	2100	1200	1300	1600	1400	1900	1900	360	1005	1350	1300	2200	1300	2000	1800	2000	2200	2300	950	1700	1500	2000	1900	2400	2400	1550	1600	2700	2000	1900	1000	2000	1100	2100	1500	1050					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	76442	987	1246	1250	1686	1816	1485	991	1924	887	1318	1264	1380	1418	989	876	858	1290	1501	954	536	1555	2057	836	1462	1109	1400	1517	746	875	999	873	1033	1190	326	991	954	1118	1437	1115	1651	1125	1881	1832	1765	835	1399	1318	1631	1190	1537	2037	968	1169	1991	1511	1076	853	1260	855	1011	718	580					
5	"Число избирательных бюллетеней, выданных вне помещения"	4196	57	60	111	134	66	41	54	98	22	47	61	68	54	93	103	159	63	93	75	70	32	97	113	107	56	110	82	94	85	37	41	77	61	32	0	54	16	62	62	99	25	34	30	40	11	69	27	62	33	51	49	121	44	285	19	14	6	13	20	190	106	101					
6	Число погашенных избирательных бюллетеней	27327	256	244	339	430	268	274	255	78	541	885	575	952	228	568	571	583	347	256	771	494	513	446	601	531	585	690	501	360	340	564	486	790	649	2	14	342	166	701	123	250	650	85	338	495	104	232	155	307	677	812	314	461	387	424	470	810	141	727	225	899	676	369					
7	Число избирательных бюллетеней в переносных ящиках	4195	57	60	111	134	66	41	54	97	22	47	61	68	54	93	103	159	63	93	75	70	32	97	113	107	56	110	82	94	85	37	41	77	61	32	0	54	16	62	62	99	25	34	30	40	11	69	27	62	33	51	49	121	44	285	19	14	6	13	20	190	106	101					
8	Число бюллетеней в стационарных ящиках для голосования	76298	987	1246	1250	1685	1816	1485	991	1922	887	1318	1264	1380	1412	989	876	858	1290	1501	954	536	1555	2057	833	1462	1109	1400	1517	746	875	999	870	1031	1190	326	991	954	1117	1437	1115	1651	1125	1881	1832	1763	835	1399	1318	1629	1190	1537	2037	847	1169	1991	1511	1076	853	1260	855	1011	718	579					
9	Число недействительных избирательных бюллетеней	590	8	102	4	2	2	5	8	7	2	0	6	6	110	5	3	11	10	6	16	15	13	5	9	7	6	6	10	1	4	0	5	7	5	2	0	7	2	4	0	10	3	2	6	16	0	7	2	6	5	42	16	2	1	11	4	9	7	4	5	3	5	3					
10	Число действительных избирательных бюллетеней	79903	1036	1204	1357	1817	1880	1521	1037	2012	907	1365	1319	1442	1356	1077	976	1006	1343	1588	1013	591	1574	2149	937	1562	1159	1504	1589	839	956	1036	906	1101	1246	356	991	1001	1131	1495	1177	1740	1147	1913	1856	1787	846	1461	1343	1685	1218	1546	2070	966	1212	2265	1526	1081	852	1269	870	1198	819	677					
11	Число полученных открепительных  удостоверений	3660	50	50	50	70	50	50	100	70	50	50	60	70	50	50	50	65	100	50	50	50	65	80	50	50	50	50	50	50	50	50	50	70	70	50	0	80	50	150	50	65	50	55	50	50	50	50	50	50	70	55	50	50	50	95	50	50	50	60	160	50	50	50					
12	Число выданных открепительных удостоверений	2809	37	24	38	66	47	38	98	68	32	44	60	67	26	37	50	65	100	45	32	23	63	49	48	22	18	35	50	43	28	21	29	35	48	8	0	80	11	146	50	65	37	30	40	34	19	35	35	48	41	53	50	34	28	81	50	47	19	56	145	48	26	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1991	12	73	27	30	9	13	11	52	8	15	23	16	26	16	6	5	20	14	10	7	11	0	17	6	5	13	40	7	9	25	17	12	12	32	551	9	31	49	50	12	15	65	7	14	20	14	11	5	15	113	48	11	11	15	16	19	162	15	92	7	10	5					
14	Число неиспользованных открепительных удостоверений	851	13	26	12	4	3	12	2	2	18	6	0	3	24	13	0	0	0	5	18	27	2	31	2	28	32	15	0	7	22	29	21	35	22	42	0	0	39	4	0	0	13	25	10	16	31	15	15	2	29	2	0	16	22	14	0	3	31	4	15	2	24	43					
15	"Число открепительных удостоверений, выданных в ТИК"	252	0	0	1	207	2	0	1	0	2	0	0	0	0	1	2	0	2	0	0	0	0	2	0	1	2	0	0	0	0	0	3	0	2	1	0	1	0	0	0	4	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	2	1	2	3	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	. Глазьев Сергей Юрьевич	2990	19	31	67	16	22	66	40	59	28	92	81	92	89	50	66	67	41	49	67	25	52	70	76	21	31	48	12	46	46	7	52	58	77	12	0	22	12	58	35	54	79	35	93	40	3	51	46	31	25	112	29	58	43	74	90	101	48	30	33	24	57	32					
		3.71%	1.82%	2.37%	4.92%	0.88%	1.17%	4.33%	3.83%	2.92%	3.08%	6.74%	6.11%	6.35%	6.07%	4.62%	6.74%	6.59%	3.03%	3.07%	6.51%	4.13%	3.28%	3.25%	8.03%	1.34%	2.66%	3.18%	0.75%	5.48%	4.79%	0.68%	5.71%	5.23%	6.16%	3.35%	0.00%	2.18%	1.06%	3.87%	2.97%	3.09%	6.87%	1.83%	4.99%	2.22%	0.35%	3.47%	3.42%	1.83%	2.04%	7.05%	1.39%	5.99%	3.54%	3.25%	5.88%	9.27%	5.59%	2.36%	3.77%	2.00%	6.92%	4.71%					
