Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
"Наименование Избирательной комиссии:    Уфа, Кировская"																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157					
1	"Число избирателей, внесенных в списки избирателей"	107688	2295	2141	2073	2165	2602	1660	1564	853	1328	2400	1445	2552	2510	1102	1340	1768	1736	2203	1406	1135	1098	933	692	554	439	868	2242	2352	1545	1551	2587	1909	1793	1921	1998	2228	2571	2385	2665	2064	2240	2341	2267	667	219	1780	1450	1827	2039	2226	1701	1641	1317	1781	2868	2320	663	1544	2767	1076	437	220	248	193	235	107	320	521					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	98130	2260	2260	1930	2050	2190	1400	1420	760	1480	2400	1330	2200	2090	930	1720	1660	1540	2140	1060	1050	880	820	500	530	400	800	1990	2050	1460	1330	1980	1510	1650	1660	1830	1900	2290	2360	2020	1720	2110	2060	1950	740	220	1500	1360	1550	1750	2200	1640	1620	1630	1500	2480	1940	640	1600	2390	1150	500	210	350	200	250	120	320	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	86244	2068	2004	1756	1858	2139	1376	1286	715	1099	1534	963	2037	1927	808	1168	1391	1394	2086	952	694	821	778	468	488	397	663	1626	1916	1133	1120	1728	1470	1426	1639	1666	1839	2192	1944	1985	1490	1956	1914	1804	330	204	1186	1296	1454	1734	1855	1376	1518	1290	1446	2265	1831	541	1306	2254	629	302	210	248	193	153	107	298	500					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4595	38	19	26	37	49	24	43	27	43	820	36	57	157	73	14	50	66	27	78	219	44	16	20	10	2	2	26	86	268	44	40	28	98	18	68	57	25	25	35	140	27	33	5	285	0	44	19	42	16	38	152	21	27	36	79	38	25	26	20	447	135	0	0	0	82	0	22	21					
6	Число погашенных избирательных бюллетеней	7291	154	237	148	155	2	0	91	18	338	46	331	106	6	49	538	219	80	27	30	137	15	26	12	32	1	135	338	48	59	166	212	12	126	3	96	4	73	391	0	90	127	113	141	125	16	270	45	54	0	307	112	81	313	18	136	71	74	268	116	74	63	0	102	7	15	13	0	79					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4595	38	19	26	37	49	24	43	27	43	820	36	57	157	73	14	50	66	27	78	219	44	16	20	10	2	2	26	86	268	44	40	28	98	18	68	57	25	25	35	140	27	33	5	285	0	44	19	42	16	38	152	21	27	36	79	38	25	26	20	447	135	0	0	0	82	0	22	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86022	2068	2004	1756	1858	2139	1376	1286	715	1099	1534	963	1980	1927	808	1154	1391	1392	2032	952	694	819	778	468	488	397	663	1560	1916	1133	1120	1728	1470	1426	1639	1666	1839	2167	1944	1985	1490	1956	1914	1804	330	204	1186	1295	1454	1734	1855	1376	1518	1290	1446	2265	1831	540	1306	2254	629	302	210	248	193	153	107	298	500					
9	Число недействительных избирательных бюллетеней	650	5	11	2	12	25	25	7	11	3	18	7	13	7	8	18	17	10	8	2	7	5	9	0	0	0	4	40	8	6	6	8	12	83	6	0	4	0	0	15	14	9	9	3	0	0	16	14	22	8	21	0	5	17	0	19	1	4	15	16	6	0	6	16	1	0	0	0	6					
10	Число действительных избирательных бюллетеней	89967	2101	2012	1780	1883	2163	1375	1322	731	1139	2336	992	2024	2077	873	1150	1424	1448	2051	1028	906	858	785	488	498	399	661	1546	1994	1395	1158	1760	1486	1441	1651	1734	1892	2192	1969	2005	1616	1974	1938	1806	615	204	1214	1300	1474	1742	1872	1528	1534	1300	1482	2325	1868	561	1317	2258	1070	437	204	232	192	235	107	320	515					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2938	108	105	45	46	58	40	55	40	40	55	51	66	52	30	43	45	45	52	40	40	40	40	20	40	20	10	52	57	40	59	52	46	70	42	72	53	52	56	54	62	55	55	43	40	20	52	30	52	52	62	40	52	52	52	95	52	44	40	57	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2750	106	105	45	46	56	40	55	34	40	53	51	65	52	29	43	45	45	52	23	40	29	27	11	40	13	10	50	55	37	59	52	46	67	39	72	53	52	56	54	62	55	53	13	7	4	51	30	41	52	62	32	51	52	52	95	52	44	38	57	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3516	18	21	25	8	26	22	29	8	28	59	16	26	17	29	23	15	9	25	19	12	19	16	118	14	2	11	10	89	36	19	28	10	10	168	13	24	24	20	12	14	24	26	581	8	1	26	4	16	15	5	24	11	40	33	18	152	29	16	20	344	83	115	45	16	85	91	268	328					
14	Число погашенных неиспользованных открепительных удостоверений	188	2	0	0	0	2	0	0	6	0	2	0	1	0	1	0	0	0	0	17	0	11	13	9	0	7	0	2	2	3	0	0	0	3	3	0	0	0	0	0	0	0	2	30	33	16	1	0	11	0	0	8	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	3	0	0	0	0	2	0	7	0	1	1	0	0	1	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	1	1	2	0	1	0	0	2	0	0	0	1	1	2	2	2	3	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	1.Политическая партия «Аграрная партия России»	499	7	2	2	12	13	9	6	5	2	10	5	5	11	7	15	0	16	13	10	6	0	3	13	8	10	5	11	15	0	11	0	16	2	10	0	4	1	16	4	3	10	17	25	12	2	20	11	2	2	13	5	19	4	2	28	1	2	10	12	7	0	1	0	0	1	0	1	4					
		0.55%	0.33%	0.10%	0.11%	0.63%	0.59%	0.64%	0.45%	0.67%	0.18%	0.42%	0.50%	0.25%	0.53%	0.79%	1.28%	0.00%	1.10%	0.63%	0.97%	0.66%	0.00%	0.38%	2.66%	1.61%	2.51%	0.75%	0.69%	0.75%	0.00%	0.95%	0.00%	1.07%	0.13%	0.60%	0.00%	0.21%	0.05%	0.81%	0.20%	0.18%	0.50%	0.87%	1.38%	1.95%	0.98%	1.63%	0.84%	0.13%	0.11%	0.69%	0.33%	1.23%	0.30%	0.13%	1.19%	0.05%	0.35%	0.75%	0.53%	0.65%	0.00%	0.48%	0.00%	0.00%	0.43%	0.00%	0.31%	0.77%					
19	2.Всероссийская политическая партия «Гражданская Сила»	465	4	19	1	11	17	7	4	8	2	15	6	4	10	6	19	0	20	12	5	12	1	1	3	11	3	2	9	15	0	2	0	6	1	4	0	5	3	11	9	6	4	16	21	2	1	10	6	4	1	14	5	14	19	3	31	1	3	20	13	1	0	1	0	0	0	0	0	1					
		0.51%	0.19%	0.94%	0.06%	0.58%	0.78%	0.50%	0.30%	1.08%	0.18%	0.64%	0.60%	0.20%	0.48%	0.68%	1.63%	0.00%	1.37%	0.58%	0.49%	1.31%	0.12%	0.13%	0.61%	2.21%	0.75%	0.30%	0.57%	0.75%	0.00%	0.17%	0.00%	0.40%	0.07%	0.24%	0.00%	0.26%	0.14%	0.56%	0.45%	0.37%	0.20%	0.82%	1.16%	0.33%	0.49%	0.81%	0.46%	0.27%	0.06%	0.74%	0.33%	0.91%	1.44%	0.20%	1.32%	0.05%	0.53%	1.50%	0.57%	0.09%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%					
20	3.Политическая партия «Демократическая партия России»	128	2	8	1	2	7	3	3	2	1	3	1	3	0	0	7	0	0	6	0	0	1	1	1	0	0	0	0	2	0	4	0	0	2	6	0	0	2	5	2	3	2	3	21	0	0	3	0	0	0	4	2	1	0	3	4	2	0	2	1	0	0	0	0	0	0	0	0	2					
		0.14%	0.09%	0.40%	0.06%	0.11%	0.32%	0.21%	0.23%	0.27%	0.09%	0.13%	0.10%	0.15%	0.00%	0.00%	0.60%	0.00%	0.00%	0.29%	0.00%	0.00%	0.12%	0.13%	0.20%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.34%	0.00%	0.00%	0.13%	0.36%	0.00%	0.00%	0.09%	0.25%	0.10%	0.18%	0.10%	0.15%	1.16%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.21%	0.13%	0.06%	0.00%	0.20%	0.17%	0.11%	0.00%	0.15%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10640	295	156	256	85	179	125	164	92	172	189	179	310	341	78	107	214	157	192	106	82	120	109	62	46	39	92	217	146	213	162	247	297	215	216	260	259	307	209	292	231	287	162	199	42	14	223	150	153	263	149	90	222	162	207	230	274	35	183	235	28	6	36	0	4	6	2	20	40					
		11.74%	14.01%	7.71%	14.37%	4.49%	8.18%	8.93%	12.34%	12.40%	15.06%	8.03%	17.92%	15.22%	16.36%	8.85%	9.16%	14.85%	10.77%	9.32%	10.29%	8.98%	13.90%	13.73%	12.70%	9.24%	9.77%	13.83%	13.68%	7.29%	15.20%	13.92%	13.97%	19.83%	14.11%	13.04%	14.99%	13.66%	14.01%	10.61%	14.46%	14.17%	14.47%	8.32%	11.00%	6.83%	6.86%	18.13%	11.42%	10.23%	15.03%	7.87%	5.89%	14.42%	12.30%	13.97%	9.81%	14.66%	6.19%	13.74%	10.33%	2.60%	1.37%	17.14%	0.00%	2.07%	2.55%	1.87%	6.25%	7.68%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	442	15	12	1	5	11	10	6	8	2	12	4	3	11	6	19	0	10	11	7	7	7	2	1	5	3	5	6	31	0	3	0	9	4	16	0	2	4	25	7	7	3	17	11	3	0	3	11	3	4	8	4	19	4	3	31	1	1	5	11	1	0	0	0	0	0	0	0	2					
		0.49%	0.71%	0.59%	0.06%	0.26%	0.50%	0.71%	0.45%	1.08%	0.18%	0.51%	0.40%	0.15%	0.53%	0.68%	1.63%	0.00%	0.69%	0.53%	0.68%	0.77%	0.81%	0.25%	0.20%	1.00%	0.75%	0.75%	0.38%	1.55%	0.00%	0.26%	0.00%	0.60%	0.26%	0.97%	0.00%	0.11%	0.18%	1.27%	0.35%	0.43%	0.15%	0.87%	0.61%	0.49%	0.00%	0.24%	0.84%	0.20%	0.23%	0.42%	0.26%	1.23%	0.30%	0.20%	1.32%	0.05%	0.18%	0.38%	0.48%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%					
