Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
"Наименование Избирательной комиссии:    Уфа, Кировская"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №3528					
1	"Число избирателей, внесенных в список избирателей"	111681	2360	1894	1796	2405	2169	1663	1407	994	1022	2410	1463	2468	2380	1026	1934	1600	1811	592	2073	1285	1159	1497	1234	799	976	660	981	2271	2756	2515	1610	2140	2020	1735	1713	1941	1840	2225	2364	2479	2525	2031	2365	2873	1040	831	232	1963	2746	1446	1989	2057	2073	1671	2056	1114	2000	2533	2424	2618	1071	469	145	346	125	50	115	279	436	391					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95706	2240	1730	1310	2230	1880	1460	1380	840	1190	2070	1240	1820	1810	1050	1260	1360	1490	500	1690	1040	1280	1370	990	745	830	550	910	1940	2250	2080	1490	1860	1540	1280	1280	1490	1610	1850	1870	2240	2240	1750	2140	2250	1200	860	200	1790	2030	1150	1580	1630	1750	1320	1740	1450	1570	2240	2040	2240	1100	550	150	330	131	50	130	300	450	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	77965	2102	1494	1271	1656	1471	1350	1166	799	705	1510	1030	1746	1531	558	1083	1208	1238	373	1627	634	631	1047	834	453	703	491	811	1364	1842	1943	1112	1737	968	937	965	1438	1355	1349	1303	1462	1858	1374	1295	2038	1028	270	186	1769	1923	958	1442	1558	1679	1228	1640	1079	1492	1471	2009	2083	540	325	145	61	125	26	115	264	389	298					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4193	63	10	17	67	30	40	39	33	45	90	32	46	116	190	21	20	30	16	23	267	200	21	26	10	67	10	2	21	138	48	15	47	87	49	33	38	65	40	25	48	50	38	38	38	12	401	14	19	27	26	30	36	36	25	43	35	31	34	26	19	531	144	0	269	0	24	0	15	47	0					
6	Число погашенных избирательных бюллетеней	13332	75	226	22	295	371	70	175	8	440	470	178	28	163	302	156	132	222	111	40	139	449	302	130	282	60	49	97	555	270	88	363	76	485	294	282	22	190	461	542	730	332	338	806	174	160	189	0	2	78	166	108	36	35	67	57	336	47	735	5	138	29	81	5	0	6	0	15	21	14	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4193	63	10	17	67	30	40	39	33	45	90	32	46	116	190	21	20	30	16	23	267	200	21	26	10	67	10	2	21	138	48	15	47	87	49	33	38	65	40	25	48	50	38	38	38	12	401	14	19	27	26	30	36	36	25	43	35	31	34	26	19	531	144	0	269	0	24	0	15	47	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	77807	2102	1484	1271	1656	1471	1350	1166	799	705	1510	1030	1746	1531	558	1083	1208	1238	373	1627	634	631	1047	834	453	703	491	811	1310	1842	1943	1112	1730	968	937	965	1422	1355	1348	1303	1462	1858	1323	1294	2038	1028	270	186	1767	1923	958	1442	1558	1679	1228	1640	1066	1492	1471	2006	2083	540	325	145	61	125	26	115	264	389	298					
9	Число недействительных избирательных бюллетеней	1122	33	4	28	16	0	19	25	3	1	26	13	6	33	2	10	4	17	4	26	16	13	20	16	6	6	13	18	71	7	18	3	0	9	24	16	8	8	30	27	38	8	12	7	225	8	5	0	17	27	16	7	11	10	10	9	20	0	14	3	0	0	0	2	64	0	4	2	1	3	0					
10	Число действительных избирательных бюллетеней	80878	2132	1490	1260	1707	1501	1371	1180	829	749	1574	1049	1786	1614	746	1094	1224	1251	385	1624	885	818	1048	844	457	764	488	795	1260	1973	1973	1124	1777	1046	962	982	1452	1412	1358	1301	1472	1900	1349	1325	1851	1032	666	200	1769	1923	968	1465	1583	1705	1243	1674	1081	1523	1491	2029	2102	1071	469	143	266	125	46	113	278	433	298					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2784	50	25	50	30	55	30	35	25	30	60	25	62	55	30	40	45	50	30	55	40	45	35	28	25	25	25	25	40	55	55	40	50	42	55	55	75	50	50	70	58	56	55	73	60	40	25	25	50	78	30	40	59	65	45	60	40	40	68	60	65	0	0	0	0	0	0	0	0	0	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2546	48	25	46	29	50	30	35	20	27	54	19	62	51	29	36	43	46	26	52	32	39	31	28	22	21	16	21	40	52	54	33	49	42	46	54	75	43	50	69	48	56	55	68	54	38	19	3	50	76	28	35	51	58	40	60	34	35	67	52	60	0	0	0	0	0	0	0	0	0	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2898	30	34	33	22	26	21	22	45	32	19	7	12	10	17	29	15	23	13	10	51	26	17	9	165	23	9	28	8	26	23	7	18	16	12	12	10	14	27	30	13	10	40	26	16	27	5	1	69	17	0	25	15	5	8	0	18	11	13	169	35	426	88	145	63	17	28	92	208	345	12					
14	Число погашенных неиспользованных открепительных удостоверений	238	2	0	4	1	5	0	0	5	3	6	6	0	4	1	4	2	4	4	3	8	6	4	0	3	4	9	4	0	3	1	7	1	0	9	1	0	7	0	1	10	0	0	5	6	2	6	22	0	2	2	5	8	7	5	0	6	5	1	8	5	0	0	0	0	0	0	0	0	0	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	116	6	1	2	2	4	1	2	1	1	1	0	1	3	0	2	2	3	0	2	2	3	3	1	0	1	1	1	1	3	2	0	3	0	2	0	1	0	4	2	3	6	3	2	5	0	1	0	2	4	0	3	1	9	0	1	2	1	2	2	5	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	224	0	0	0	212	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
