Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Александровская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379					
1	"Число избирателей, внесенных в списки избирателей"	7592	160	202	250	373	381	1020	1036	1051	917	109	1051	1042					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7085	160	200	240	380	390	1000	1000	900	900	115	900	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	83	0	0	0	0	0	0	42	0	0	0	41	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4618	100	157	173	251	207	580	582	629	600	73	637	629					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	228	9	6	10	14	17	62	22	12	23	4	29	20					
6	Число погашенных избирательных бюллетеней	2156	51	37	57	115	166	358	354	259	277	38	193	251					
7	Число избирательных бюллетеней в переносных ящиках для голосования	311	9	6	10	14	17	62	64	12	23	4	70	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4615	100	157	173	251	207	579	582	629	598	73	637	629					
9	Число недействительных избирательных бюллетеней	56	1	1	4	2	4	14	6	5	5	1	8	5					
10	Число действительных избирательных бюллетеней	4870	108	162	179	263	220	627	640	636	616	76	699	644					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	850	25	50	50	50	50	100	100	100	100	25	100	100					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	241	9	23	24	8	8	21	27	28	35	6	26	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	49	3	10	0	0	1	3	5	4	3	3	10	7					
14	Число погашенных неиспользованных открепительных удостоверений	609	16	27	26	42	42	79	73	72	65	19	74	74					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	1	3	0	1	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	71	1	2	1	7	8	8	2	12	6	1	7	16					
		1.44%	0.92%	1.23%	0.55%	2.64%	3.57%	1.25%	0.31%	1.87%	0.97%	1.30%	0.99%	2.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	35	0	1	0	4	0	6	4	8	7	0	1	4					
		0.71%	0.00%	0.61%	0.00%	1.51%	0.00%	0.94%	0.62%	1.25%	1.13%	0.00%	0.14%	0.62%					
20	3.Политическая партия «Демократическая партия России»	8	1	1	0	0	0	0	0	1	0	0	1	4					
		0.16%	0.92%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.14%	0.62%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	266	4	12	8	8	18	38	25	36	29	2	52	34					
		5.40%	3.67%	7.36%	4.37%	3.02%	8.04%	5.93%	3.87%	5.62%	4.67%	2.60%	7.36%	5.24%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	31	1	1	0	1	3	3	8	3	4	0	3	4					
		0.63%	0.92%	0.61%	0.00%	0.38%	1.34%	0.47%	1.24%	0.47%	0.64%	0.00%	0.42%	0.62%					
23	6.Политическая партия «Партия социальной справедливости»	5	0	0	0	0	0	1	1	1	0	0	1	1					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.15%	0.16%	0.00%	0.00%	0.14%	0.15%					
24	7.Политическая партия «Либерально-демократическая партия России»	497	16	23	15	18	28	71	64	47	64	10	76	65					
		10.09%	14.68%	14.11%	8.20%	6.79%	12.50%	11.08%	9.91%	7.33%	10.31%	12.99%	10.75%	10.02%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	327	9	12	11	18	15	46	37	42	41	5	42	49					
		6.64%	8.26%	7.36%	6.01%	6.79%	6.70%	7.18%	5.73%	6.55%	6.60%	6.49%	5.94%	7.55%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	22	1	1	1	1	2	2	4	1	3	0	2	4					
		0.45%	0.92%	0.61%	0.55%	0.38%	0.89%	0.31%	0.62%	0.16%	0.48%	0.00%	0.28%	0.62%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3560	75	109	142	203	145	449	488	482	461	58	505	443					
		72.27%	68.81%	66.87%	77.60%	76.60%	64.73%	70.05%	75.54%	75.20%	74.24%	75.32%	71.43%	68.26%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	48	0	0	1	3	1	3	7	3	1	0	9	20					
		0.97%	0.00%	0.00%	0.55%	1.13%	0.45%	0.47%	1.08%	0.47%	0.16%	0.00%	1.27%	3.08%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
