Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Стародубская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005					
1	"Число избирателей, внесенных в списки"	33970	412	393	401	172	244	262	319	290	270	350	439	393	653	469	295	468	1167	305	505	245	720	260	194	1011	180	343	262	383	296	276	313	215	657	200	300	870	438	509	126	421	277	415	1033	379	450	176	219	380	348	1416	1499	1548	1737	1357	1303	1317	1204	1394	1492					
2	"Число бюллетеней, полученных участковыми комиссиями"	34014	410	400	420	180	240	270	320	290	270	370	460	410	680	470	300	490	1180	330	510	260	730	260	200	1010	180	340	270	400	300	280	310	230	660	200	300	880	440	510	134	430	280	400	1070	380	460	180	230	400	370	1410	1470	1460	1690	1310	1270	1280	1220	1350	1460					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16687	262	248	192	119	127	165	161	182	147	153	236	202	395	217	122	243	639	118	223	88	318	155	27	529	90	160	85	175	95	117	171	88	351	119	165	240	231	325	69	213	137	271	487	187	234	134	130	242	222	686	731	714	831	687	711	532	535	570	684					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2379	26	12	10	19	42	2	21	18	17	65	24	15	61	47	24	45	17	26	43	68	89	44	88	61	18	16	37	54	63	45	66	73	39	9	48	271	69	45	26	46	20	26	59	16	30	5	30	30	9	37	18	31	29	20	23	26	36	80	45					
6	Число погашенных бюллетеней	14948	122	140	218	42	71	103	138	90	106	152	200	193	224	206	154	202	524	186	244	104	323	61	85	420	72	164	148	171	142	118	73	69	270	72	87	369	140	140	39	171	123	103	524	177	196	41	70	128	139	687	721	715	830	603	536	722	649	700	731					
7	Число бюллетеней в переносных ящиках для голосования	2379	26	12	10	19	42	2	21	18	17	65	24	15	61	47	24	45	17	26	43	68	89	44	88	61	18	16	37	54	63	45	66	73	39	9	48	271	69	45	26	46	20	26	59	16	30	5	30	30	9	37	18	31	29	20	23	26	36	80	45					
8	Число бюллетеней в стационарных ящиках для голосования	16682	262	248	192	119	127	165	161	182	147	153	236	202	395	217	122	243	639	118	223	88	318	155	27	529	90	160	85	175	95	117	171	88	351	119	165	240	231	325	69	213	137	271	487	187	234	134	130	242	222	686	731	714	827	687	711	532	535	569	684					
9	Число недействительных бюллетеней	389	12	0	6	3	3	12	12	5	4	0	6	0	14	6	1	4	9	4	11	6	3	2	4	10	0	7	7	5	2	0	4	2	4	13	4	8	8	4	6	4	2	13	14	10	9	1	8	14	6	17	14	12	7	11	5	7	10	5	9					
10	Число действительных бюллетеней	18672	276	260	196	135	166	155	170	195	160	218	254	217	442	258	145	284	647	140	255	150	404	197	111	580	108	169	115	224	156	162	233	159	386	115	209	503	292	366	89	255	155	284	532	193	255	138	152	258	225	706	735	733	849	696	729	551	561	644	720					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	6	6	6	6	6	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	6	6	6	6	6	6	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	86	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	7	1	1	0	3	0	0	1	0	1	0	0	4	0	1	0	0	0	0	3	3	0	0	0	4	0	4	5	9	8	2	9	0	5	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	1	1	0	2	1	0	1	1	0	1	1	2	3	0	2	1	3	0	1	0	0	0	0	1	2	2	0	0	0	1	0	0	0	1	1	0	0	2	2	0	0	0	1	0	1	0	0	0	0	1	2	9	3	2	2	2	2	2	2					
14	Число погашенных открепительных удостоверений	414	6	6	5	6	6	6	6	5	6	6	6	5	6	5	6	5	7	6	5	5	5	6	6	1	5	5	6	3	6	6	5	6	5	6	6	2	6	5	6	6	6	6	5	3	6	6	6	2	6	16	15	11	12	18	11	20	15	14	20					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	"1. ""ЕДИНЕНИЕ"""	177	1	1	2	0	0	3	3	2	1	0	3	0	1	3	2	3	16	3	3	1	9	0	1	5	3	6	3	1	1	1	2	1	2	1	1	5	2	7	3	3	1	3	3	1	2	2	3	5	7	6	3	6	4	4	3	3	6	3	7					
		0.92%	0.34%	0.38%	0.99%	0.0%	0.0%	1.79%	1.64%	1.0%	0.60%	0.0%	1.15%	0.0%	0.21%	1.13%	1.36%	1.04%	2.43%	2.08%	1.12%	0.64%	2.21%	0.0%	0.86%	0.84%	2.77%	3.40%	2.45%	0.43%	0.63%	0.61%	0.84%	0.62%	0.51%	0.78%	0.46%	0.97%	0.66%	1.89%	3.15%	1.15%	0.63%	1.01%	0.54%	0.49%	0.75%	1.43%	1.87%	1.83%	3.03%	0.82%	0.40%	0.80%	0.46%	0.56%	0.40%	0.53%	1.05%	0.46%	0.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	143	0	3	0	0	1	1	0	1	0	3	2	1	2	0	0	3	2	1	1	2	1	2	0	4	0	0	0	2	1	1	2	0	1	1	0	3	0	1	1	1	1	0	4	2	2	1	0	0	0	2	13	12	8	13	14	4	11	10	2					
		0.75%	0.0%	1.15%	0.0%	0.0%	0.59%	0.59%	0.0%	0.5%	0.0%	1.37%	0.76%	0.46%	0.43%	0.0%	0.0%	1.04%	0.30%	0.69%	0.37%	1.28%	0.24%	1.00%	0.0%	0.67%	0.0%	0.0%	0.0%	0.87%	0.63%	0.61%	0.84%	0.0%	0.25%	0.78%	0.0%	0.58%	0.0%	0.27%	1.05%	0.38%	0.63%	0.0%	0.73%	0.98%	0.75%	0.71%	0.0%	0.0%	0.0%	0.27%	1.73%	1.61%	0.93%	1.83%	1.90%	0.71%	1.92%	1.54%	0.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	334	3	1	5	4	1	2	5	2	2	2	8	4	8	7	1	7	5	2	5	0	5	4	1	15	1	2	1	4	4	1	4	2	11	6	5	4	0	6	5	6	4	0	15	5	1	3	2	13	3	10	14	18	8	14	14	14	23	6	6					
		1.75%	1.04%	0.38%	2.47%	2.89%	0.59%	1.19%	2.74%	1.0%	1.21%	0.91%	3.07%	1.84%	1.75%	2.65%	0.68%	2.43%	0.76%	1.38%	1.87%	0.0%	1.22%	2.01%	0.86%	2.54%	0.92%	1.13%	0.81%	1.74%	2.53%	0.61%	1.68%	1.24%	2.82%	4.68%	2.34%	0.78%	0.0%	1.62%	5.26%	2.31%	2.54%	0.0%	2.74%	2.46%	0.37%	2.15%	1.25%	4.77%	1.29%	1.38%	1.86%	2.41%	0.93%	1.98%	1.90%	2.50%	4.02%	0.92%	0.82%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	214	1	3	1	1	0	0	0	4	1	2	5	0	6	1	0	1	8	3	3	1	3	3	3	4	1	0	2	1	2	0	0	0	5	0	2	5	0	0	4	0	2	5	4	2	1	0	0	3	1	14	15	17	10	19	12	12	3	14	4					
		1.12%	0.34%	1.15%	0.49%	0.72%	0.0%	0.0%	0.0%	2.0%	0.60%	0.91%	1.92%	0.0%	1.31%	0.37%	0.0%	0.34%	1.21%	2.08%	1.12%	0.64%	0.73%	1.50%	2.60%	0.67%	0.92%	0.0%	1.63%	0.43%	1.26%	0.0%	0.0%	0.0%	1.28%	0.0%	0.93%	0.97%	0.0%	0.0%	4.21%	0.0%	1.27%	1.68%	0.73%	0.98%	0.37%	0.0%	0.0%	1.10%	0.43%	1.93%	2.00%	2.28%	1.16%	2.68%	1.63%	2.15%	0.52%	2.15%	0.54%					
22	"5. ""За Русь Святую"""	96	1	1	0	0	0	1	1	1	0	0	2	0	2	0	0	3	2	4	2	7	1	1	1	6	0	0	0	4	2	0	3	2	3	0	0	1	2	0	2	0	1	2	2	1	1	2	0	2	4	2	0	2	3	1	8	2	3	2	3					
		0.50%	0.34%	0.38%	0.0%	0.0%	0.0%	0.59%	0.54%	0.5%	0.0%	0.0%	0.76%	0.0%	0.43%	0.0%	0.0%	1.04%	0.30%	2.77%	0.75%	4.48%	0.24%	0.50%	0.86%	1.01%	0.0%	0.0%	0.0%	1.74%	1.26%	0.0%	1.26%	1.24%	0.76%	0.0%	0.0%	0.19%	0.66%	0.0%	2.10%	0.0%	0.63%	0.67%	0.36%	0.49%	0.37%	1.43%	0.0%	0.73%	1.73%	0.27%	0.0%	0.26%	0.35%	0.14%	1.08%	0.35%	0.52%	0.30%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	50	1	0	0	1	0	2	1	1	0	0	0	0	0	1	0	0	3	1	1	0	1	4	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	7	0	0	0	1	0	1	0	0	5	0	0	0	2	1	2	1	3	0	2	1	1					
		0.26%	0.34%	0.0%	0.0%	0.72%	0.0%	1.19%	0.54%	0.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.45%	0.69%	0.37%	0.0%	0.24%	2.01%	0.0%	0.16%	0.0%	0.56%	0.0%	0.43%	0.0%	0.0%	0.42%	0.0%	0.25%	0.0%	0.0%	0.19%	0.0%	1.89%	0.0%	0.0%	0.0%	0.33%	0.0%	0.49%	0.0%	0.0%	3.12%	0.0%	0.0%	0.0%	0.26%	0.13%	0.23%	0.14%	0.40%	0.0%	0.35%	0.15%	0.13%					
24	"7. ""Новый курс - Автомобильная Россия"""	79	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	3	1	2	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	2	0	2	0	1	0	0	0	1	0	0	1	0	1	1	7	3	8	5	4	3	5	8	4	4					
		0.41%	0.69%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	1.04%	0.45%	0.69%	0.75%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.26%	0.0%	0.42%	0.0%	0.25%	0.0%	0.93%	0.0%	0.66%	0.0%	1.05%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.71%	0.0%	0.36%	0.43%	0.96%	0.40%	1.07%	0.58%	0.56%	0.40%	0.89%	1.40%	0.61%	0.54%					
25	"8. ""Народно-республиканская партия России"""	44	2	2	0	1	0	0	1	0	0	2	0	0	0	4	0	1	1	0	0	0	0	0	0	3	2	3	0	1	3	0	0	0	0	2	0	4	1	1	0	0	0	0	2	0	0	0	0	1	2	2	0	0	1	0	0	0	0	1	1					
		0.23%	0.69%	0.76%	0.0%	0.72%	0.0%	0.0%	0.54%	0.0%	0.0%	0.91%	0.0%	0.0%	0.0%	1.51%	0.0%	0.34%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	1.85%	1.70%	0.0%	0.43%	1.89%	0.0%	0.0%	0.0%	0.0%	1.56%	0.0%	0.78%	0.33%	0.27%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.36%	0.86%	0.27%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.15%	0.13%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	2	1	0	0	1	1	0	0	0	1	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.54%	0.0%	0.0%	0.0%	0.38%	0.0%	0.21%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.25%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.18%	0.49%	0.0%	0.71%	0.0%	0.0%	0.86%	0.13%	0.0%	0.0%	0.11%	0.14%	0.0%	0.0%	0.0%	0.15%	0.0%					
27	"10. ""Аграрная партия России"""	1020	14	5	29	5	2	24	27	14	21	4	31	20	51	14	3	17	33	4	12	3	48	16	4	19	4	5	3	9	14	7	10	5	37	3	14	20	10	22	1	18	14	39	32	19	18	7	19	13	8	49	27	19	31	13	20	27	22	22	19					
		5.35%	4.86%	1.92%	14.35%	3.62%	1.18%	14.37%	14.83%	7.0%	12.80%	1.83%	11.92%	9.21%	11.18%	5.30%	2.05%	5.90%	5.03%	2.77%	4.51%	1.92%	11.79%	8.04%	3.47%	3.22%	3.70%	2.84%	2.45%	3.93%	8.86%	4.32%	4.21%	3.10%	9.48%	2.34%	6.57%	3.91%	3.33%	5.94%	1.05%	6.94%	8.91%	13.13%	5.86%	9.35%	6.81%	5.03%	11.87%	4.77%	3.46%	6.77%	3.60%	2.55%	3.62%	1.83%	2.72%	4.83%	3.85%	3.38%	2.60%					
28	"11. ""Истинные патриоты России"""	34	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	2	1	2	3	0	0	0	3	3	1					
		0.17%	0.34%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.5%	0.0%	0.45%	0.0%	0.46%	0.0%	0.37%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	1.22%	0.50%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.38%	0.0%	0.33%	0.18%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.13%	0.26%	0.35%	0.0%	0.0%	0.0%	0.52%	0.46%	0.13%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	225	3	2	0	2	1	1	0	3	1	5	3	1	4	2	0	3	5	3	1	2	17	5	0	7	0	2	0	1	1	3	2	0	1	0	6	8	0	2	0	2	2	3	2	2	4	0	3	2	27	9	10	4	6	5	6	9	8	7	17					
		1.18%	1.04%	0.76%	0.0%	1.44%	0.59%	0.59%	0.0%	1.5%	0.60%	2.29%	1.15%	0.46%	0.87%	0.75%	0.0%	1.04%	0.76%	2.08%	0.37%	1.28%	4.17%	2.51%	0.0%	1.18%	0.0%	1.13%	0.0%	0.43%	0.63%	1.85%	0.84%	0.0%	0.25%	0.0%	2.81%	1.56%	0.0%	0.54%	0.0%	0.77%	1.27%	1.01%	0.36%	0.98%	1.51%	0.0%	1.87%	0.73%	11.68%	1.24%	1.33%	0.53%	0.70%	0.70%	0.81%	1.61%	1.40%	1.07%	2.33%					
