Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Фурмановская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324					
1	"Число избирателей, внесенных в списки"	38609	1604	1437	2811	2860	1298	1578	1815	1728	1472	1267	2927	2856	1556	1269	2757	1418	1490	942	1252	255	299	591	365	391	526	359	584	189	234	479					
2	"Число бюллетеней, полученных участковыми комиссиями"	35105	1460	1285	2550	2545	1185	1425	1635	1585	1345	1150	2630	2570	1430	1155	2535	1280	1350	875	1180	235	295	555	322	355	495	322	535	170	208	443					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16603	573	606	1282	1201	508	759	895	757	687	543	1251	1316	753	614	1226	592	545	507	550	12	145	185	100	148	88	107	300	112	83	158					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1986	82	60	68	70	66	44	18	43	49	29	35	53	71	92	37	24	50	17	117	153	71	133	48	7	217	66	18	21	62	165					
6	Число погашенных бюллетеней	16516	805	619	1200	1274	611	622	722	785	609	578	1344	1201	606	449	1272	664	755	351	513	70	79	237	174	200	190	149	217	37	63	120					
7	Число бюллетеней в переносных ящиках для голосования	1986	82	60	68	70	66	44	18	43	49	29	35	53	71	92	37	24	50	17	117	153	71	133	48	7	217	66	18	21	62	165					
8	Число бюллетеней в стационарных ящиках для голосования	16602	572	606	1282	1201	508	759	895	757	687	543	1251	1316	753	614	1226	592	545	507	550	12	145	185	100	148	88	107	300	112	83	158					
9	Число недействительных бюллетеней	238	12	15	19	13	7	11	15	11	10	4	18	15	7	10	13	8	4	6	8	3	7	5	0	3	5	2	0	3	1	3					
10	Число действительных бюллетеней	18350	642	651	1331	1258	567	792	898	789	726	568	1268	1354	817	696	1250	608	591	518	659	162	209	313	148	152	300	171	318	130	144	320					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	240	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5	5	5	5	5	5	10	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	52	1	3	4	5	0	4	0	4	1	2	4	4	2	1	2	1	3	1	2	0	1	2	0	3	1	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	3	1	8	2	0	4	2	5	2	1	4	6	3	1	1	0	4	6	2	0	0	2	3	1	0	0	1	0	2	0					
14	Число погашенных открепительных удостоверений	188	9	7	6	5	10	6	10	6	9	8	6	6	8	9	8	9	7	4	3	5	4	3	5	7	4	5	5	5	5	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	233	10	11	21	14	5	13	12	9	12	5	20	19	8	9	13	9	2	4	7	1	5	4	2	2	4	0	5	1	2	4					
		1.25%	1.52%	1.65%	1.55%	1.10%	0.87%	1.61%	1.31%	1.12%	1.63%	0.87%	1.55%	1.38%	0.97%	1.27%	1.02%	1.46%	0.33%	0.76%	1.04%	0.60%	2.31%	1.25%	1.35%	1.29%	1.31%	0.0%	1.57%	0.75%	1.37%	1.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	240	9	11	22	22	7	14	13	15	4	5	26	20	7	8	15	5	3	2	8	0	2	1	0	2	6	1	3	2	0	7					
		1.29%	1.37%	1.65%	1.62%	1.73%	1.21%	1.74%	1.42%	1.87%	0.54%	0.87%	2.02%	1.46%	0.84%	1.13%	1.18%	0.81%	0.50%	0.38%	1.19%	0.0%	0.92%	0.31%	0.0%	1.29%	1.96%	0.57%	0.94%	1.50%	0.0%	2.16%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	591	27	17	25	27	20	27	24	23	26	28	32	40	27	23	59	19	15	20	30	1	4	16	3	4	17	9	11	3	2	12					
		3.17%	4.12%	2.55%	1.85%	2.12%	3.48%	3.36%	2.62%	2.87%	3.53%	4.89%	2.48%	2.92%	3.27%	3.25%	4.67%	3.08%	2.52%	3.81%	4.49%	0.60%	1.85%	5.03%	2.02%	2.58%	5.57%	5.20%	3.45%	2.25%	1.37%	3.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	714	29	43	40	61	20	36	32	21	15	11	64	81	45	29	51	13	21	12	20	10	7	11	3	12	6	1	9	0	7	4					
		3.84%	4.43%	6.45%	2.96%	4.79%	3.48%	4.48%	3.50%	2.62%	2.03%	1.92%	4.97%	5.91%	5.46%	4.10%	4.03%	2.11%	3.52%	2.29%	2.99%	6.06%	3.24%	3.45%	2.02%	7.74%	1.96%	0.57%	2.83%	0.0%	4.82%	1.23%					
22	"5. ""За Русь Святую"""	82	1	3	5	3	1	2	6	2	3	4	7	6	2	3	8	3	0	3	5	3	1	4	1	0	0	1	0	1	0	4					
		0.44%	0.15%	0.45%	0.37%	0.23%	0.17%	0.24%	0.65%	0.25%	0.40%	0.69%	0.54%	0.43%	0.24%	0.42%	0.63%	0.48%	0.0%	0.57%	0.74%	1.81%	0.46%	1.25%	0.67%	0.0%	0.0%	0.57%	0.0%	0.75%	0.0%	1.23%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	1	1	0	1	0	1	1	1	2	1	2	3	4	1	1	1	2	1	1	3	0	1	0	0	0	0	0	0	1	0					
		0.16%	0.15%	0.15%	0.0%	0.07%	0.0%	0.12%	0.10%	0.12%	0.27%	0.17%	0.15%	0.21%	0.48%	0.14%	0.07%	0.16%	0.33%	0.19%	0.14%	1.81%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	96	1	1	3	7	2	5	7	2	5	5	10	8	4	5	12	3	2	3	0	0	0	3	1	1	2	0	2	0	1	1					
		0.51%	0.15%	0.15%	0.22%	0.55%	0.34%	0.62%	0.76%	0.25%	0.67%	0.87%	0.77%	0.58%	0.48%	0.70%	0.95%	0.48%	0.33%	0.57%	0.0%	0.0%	0.0%	0.94%	0.67%	0.64%	0.65%	0.0%	0.62%	0.0%	0.68%	0.30%					
25	"8. ""Народно-республиканская партия России"""	26	0	2	2	1	1	0	1	0	1	1	7	1	1	1	1	0	1	0	1	1	0	0	0	0	2	0	0	1	0	0					
		0.13%	0.0%	0.30%	0.14%	0.07%	0.17%	0.0%	0.10%	0.0%	0.13%	0.17%	0.54%	0.07%	0.12%	0.14%	0.07%	0.0%	0.16%	0.0%	0.14%	0.60%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.75%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	65	0	0	9	2	7	3	3	4	1	1	6	8	5	2	8	1	0	0	1	0	0	0	0	0	3	0	0	0	1	0					
		0.34%	0.0%	0.0%	0.66%	0.15%	1.21%	0.37%	0.32%	0.5%	0.13%	0.17%	0.46%	0.58%	0.60%	0.28%	0.63%	0.16%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.68%	0.0%					
27	"10. ""Аграрная партия России"""	790	16	24	51	50	14	20	24	25	20	27	42	33	35	34	37	18	19	31	20	12	48	36	12	1	18	17	23	20	9	54					
		4.25%	2.44%	3.60%	3.77%	3.93%	2.43%	2.49%	2.62%	3.12%	2.71%	4.72%	3.26%	2.41%	4.24%	4.81%	2.92%	2.92%	3.19%	5.91%	2.99%	7.27%	22.22%	11.32%	8.10%	0.64%	5.90%	9.82%	7.23%	15.03%	6.20%	16.71%					
28	"11. ""Истинные патриоты России"""	15	0	2	0	0	0	0	0	1	1	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0					
		0.08%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.13%	0.0%	0.15%	0.0%	0.24%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.31%	0.75%	1.37%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	187	7	4	12	12	4	7	8	7	11	3	12	10	7	10	12	12	6	7	4	2	0	3	3	5	5	5	6	1	1	1					
		1.00%	1.07%	0.60%	0.88%	0.94%	0.69%	0.87%	0.87%	0.87%	1.49%	0.52%	0.93%	0.73%	0.84%	1.41%	0.95%	1.94%	1.00%	1.33%	0.59%	1.21%	0.0%	0.94%	2.02%	3.22%	1.63%	2.89%	1.88%	0.75%	0.68%	0.30%					
30	"13. ""Демократическая партия России"""	24	2	1	4	2	1	0	5	0	0	1	2	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0					
		0.12%	0.30%	0.15%	0.29%	0.15%	0.17%	0.0%	0.54%	0.0%	0.0%	0.17%	0.15%	0.07%	0.12%	0.0%	0.07%	0.0%	0.16%	0.19%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	1	0	2	0	0	1	1	1	3	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.08%	0.15%	0.0%	0.14%	0.0%	0.0%	0.12%	0.10%	0.12%	0.40%	0.17%	0.15%	0.07%	0.0%	0.0%	0.0%	0.16%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	27	0	1	6	3	5	0	4	1	0	0	1	2	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.0%	0.15%	0.44%	0.23%	0.87%	0.0%	0.43%	0.12%	0.0%	0.0%	0.07%	0.14%	0.0%	0.0%	0.07%	0.16%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1373	51	56	86	117	37	75	80	39	64	59	96	124	67	54	95	31	47	38	46	1	4	10	5	6	24	14	15	9	8	15					
		7.38%	7.79%	8.40%	6.37%	9.20%	6.44%	9.33%	8.76%	4.87%	8.69%	10.31%	7.46%	9.05%	8.13%	7.64%	7.52%	5.03%	7.89%	7.25%	6.89%	0.60%	1.85%	3.14%	3.37%	3.87%	7.86%	8.09%	4.71%	6.76%	5.51%	4.64%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	3	1	2	3	2	0	1	2	3	1	2	0	2	0	2	0	4	1	1	1	0	2	1	1	3	0	1	0	0	0					
		0.20%	0.45%	0.15%	0.14%	0.23%	0.34%	0.0%	0.10%	0.25%	0.40%	0.17%	0.15%	0.0%	0.24%	0.0%	0.15%	0.0%	0.67%	0.19%	0.14%	0.60%	0.0%	0.62%	0.67%	0.64%	0.98%	0.0%	0.31%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2602	88	81	172	174	87	131	139	135	90	76	184	188	107	74	210	121	94	76	84	22	16	34	12	26	42	21	40	14	15	49					
		13.99%	13.45%	12.16%	12.74%	13.69%	15.15%	16.31%	15.22%	16.87%	12.22%	13.28%	14.30%	13.73%	12.98%	10.48%	16.62%	19.64%	15.79%	14.50%	12.59%	13.33%	7.40%	10.69%	8.10%	16.77%	13.77%	12.13%	12.57%	10.52%	10.34%	15.17%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	431	23	29	32	33	12	13	17	13	26	28	28	43	25	9	16	14	14	10	16	2	4	4	0	0	4	1	10	2	0	3					
		2.31%	3.51%	4.35%	2.37%	2.59%	2.09%	1.61%	1.86%	1.62%	3.53%	4.89%	2.17%	3.14%	3.03%	1.27%	1.26%	2.27%	2.35%	1.90%	2.39%	1.21%	1.85%	1.25%	0.0%	0.0%	1.31%	0.57%	3.14%	1.50%	0.0%	0.92%					
37	"20. ""Политическая партия ""Единая Россия"""	6559	250	215	438	441	232	265	332	319	273	197	450	420	291	231	428	220	251	176	230	54	85	111	78	58	126	72	114	43	55	104					
		35.28%	38.22%	32.28%	32.44%	34.69%	40.41%	33.00%	36.36%	39.87%	37.09%	34.44%	34.99%	30.67%	35.31%	32.71%	33.88%	35.71%	42.18%	33.58%	34.48%	32.72%	39.35%	34.90%	52.70%	37.41%	41.31%	41.61%	35.84%	32.33%	37.93%	32.19%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	0	1	1	1	0	1	1	1	2	2	1	3	3	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0					
		0.12%	0.0%	0.15%	0.07%	0.07%	0.0%	0.12%	0.10%	0.12%	0.27%	0.34%	0.07%	0.21%	0.36%	0.14%	0.07%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.57%	0.31%	0.75%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	41	1	1	5	4	0	1	1	0	0	1	1	4	2	0	7	2	1	1	1	1	0	2	0	1	0	0	1	1	2	0					
		0.22%	0.15%	0.15%	0.37%	0.31%	0.0%	0.12%	0.10%	0.0%	0.0%	0.17%	0.07%	0.29%	0.24%	0.0%	0.55%	0.32%	0.16%	0.19%	0.14%	0.60%	0.0%	0.62%	0.0%	0.64%	0.0%	0.0%	0.31%	0.75%	1.37%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2808	89	109	290	188	67	119	115	100	133	85	148	189	119	149	161	100	78	78	157	36	20	55	18	14	20	17	57	24	31	42					
		15.10%	13.60%	16.36%	21.48%	14.79%	11.67%	14.81%	12.59%	12.5%	18.07%	14.86%	11.50%	13.80%	14.44%	21.10%	12.74%	16.23%	13.10%	14.88%	23.53%	21.81%	9.25%	17.29%	12.16%	9.03%	6.55%	9.82%	17.92%	18.04%	21.37%	13.00%					
																																					
41	Против всех	1337	33	37	103	92	43	58	71	68	31	26	123	150	53	53	110	34	29	52	26	11	13	16	9	18	16	11	19	5	7	20					
		7.19%	5.04%	5.55%	7.62%	7.23%	7.49%	7.22%	7.77%	8.5%	4.21%	4.54%	9.56%	10.95%	6.43%	7.50%	8.70%	5.51%	4.87%	9.92%	3.89%	6.66%	6.01%	5.03%	6.08%	11.61%	5.24%	6.35%	5.97%	3.75%	4.82%	6.19%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
